Result of /data/leuven/370/vsc37064/new_queries_named_graph_openml/query_2.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
dataset                                                                           task
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/1714
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/1717
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/1719
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/172
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/1727
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/1731
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/1735
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/1736
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/174
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/1740
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/175
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/1757
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/176
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/177
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/178
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/179
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/180
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/181
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/182
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/183
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/185
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/186
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/187
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/188
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/189
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/190
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/191
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/192
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/193
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/194
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/195
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/196
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/197
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/198
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/199
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/200
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2056
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2126
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2127
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2128
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2129
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2130
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2131
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2132
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2133
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2134
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2149
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2150
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2151
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2152
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2153
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2154
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2155
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2156
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2157
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2158
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2159
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2160
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2162
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2163
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2164
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2165
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2167
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2168
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2170
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2171
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2172
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2173
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2174
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2175
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2176
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2177
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2178
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2179
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2180
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2181
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2182
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2183
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2184
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2186
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2188
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2190
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2191
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2192
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2193
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2194
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2195
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2196
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2197
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2198
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2199
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2200
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2202
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2204
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2205
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2206
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2210
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2211
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2213
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2215
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2217
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2218
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2219
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2220
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2221
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2222
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2223
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2225
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2226
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2227
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2228
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2229
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2230
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2239
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2244
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2245
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2247
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2248
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2249
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2250
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2251
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2252
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/65
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/66
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/70
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/73
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/74
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/75
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/98
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/99
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2203
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2207
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2209
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2216
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2231
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2246
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/134
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/137
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/143
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/156
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/1742
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/1748
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/1752
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/1764
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2124
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2268
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/272
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/4212
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/7293
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/7558
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/7556
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/14860
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/14875
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/14879
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/14886
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/14897
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/14942
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/14956
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/9946
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/3543
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/41
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/10093
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/125922
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/23
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/28
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/3481
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/3904
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/3948
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/7592
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/14
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/14964
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/14970
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/14971
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/16
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/3512
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/3902
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/9950
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/9960
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/9971
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/9977
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/9979
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/145847
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/145804
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/145836
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/145854
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/145857
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/145953
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/145979
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/146082
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/14951
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/14965
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/3
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/3485
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/3899
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/3903
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/3954
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/49
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/7295
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/9957
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/9967
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/9983
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/146066
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2077
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/146064
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/145848
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/9952
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/37
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/3494
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/6
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/9981
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/10101
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/11
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/125920
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/125921
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/14966
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/14967
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/14969
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/15
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/18
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/20
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2074
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2075
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/2079
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/219
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/22
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/24
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/29
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/32
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/34539
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/3492
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/3493
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/3510
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/3549
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/3560
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/3561
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/36
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/3891
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/3918
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/3946
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/3950
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/45
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/53
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/58
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/9955
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/9956
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/9964
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/9970
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/9978
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/9980
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/9985
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/9986
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/12
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/26
