Result of /data/leuven/370/vsc37064/new_queries_named_graph_type_split/query_22.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
measure                                                                           measureName
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%2810%20classes%29                                                                                  Accuracy (10 classes)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%2810%20unseen%20classes%29                                                                                  Accuracy (10 unseen classes)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%2810-fold%29                                                                                  Accuracy (10-fold)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%2812%20unseen%20classes%29                                                                                  Accuracy (12 unseen classes)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%282%20classes%29                                                                                  Accuracy (2 classes)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%2820%20classes%29                                                                                  Accuracy (20 classes)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%2824%20unseen%20classes%29                                                                                  Accuracy (24 unseen classes)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%283-way%29                                                                                  Accuracy (3-way)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%284-way%29                                                                                  Accuracy (4-way)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%285%20unseen%20classes%29                                                                                  Accuracy (5 unseen classes)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%285-fold%29                                                                                  Accuracy (5-fold)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%286%20emotion%29                                                                                  Accuracy (6 emotion)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%287%20emotion%29                                                                                  Accuracy (7 emotion)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%288%20emotion%29                                                                                  Accuracy (8 emotion)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28ADD%29                                                                                  Accuracy (ADD)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28AV%20I%29                                                                                  Accuracy (AV I)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28AV%20II%29                                                                                  Accuracy (AV II)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28Amazon%20Mechanical%20Turk%29                                                                                  Accuracy (Amazon Mechanical Turk)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28Binary%29                                                                                  Accuracy (Binary)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28Body%20%2B%20Fingers%20%2B%20Face%20joints%29                                                                                  Accuracy (Body + Fingers + Face joints)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28Body%20%2B%20Fingers%20joints%29                                                                                  Accuracy (Body + Fingers joints)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28Body%20joints%29                                                                                  Accuracy (Body joints)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28C%23%E2%86%92Java%29                                                                                  Accuracy (C#→Java)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28CS%29                                                                                  Accuracy (CS)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28CV%20I%29                                                                                  Accuracy (CV I)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28CV%20II%29                                                                                  Accuracy (CV II)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28CV%29                                                                                  Accuracy (CV)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28Counterexamples%29                                                                                  Accuracy (Counterexamples)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28Cross-Setup%29                                                                                  Accuracy (Cross-Setup)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28Cross-Subject%29                                                                                  Accuracy (Cross-Subject)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28Cross-View%29                                                                                  Accuracy (Cross-View)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28Cross-View%2C%20Avg%29                                                                                  Accuracy (Cross-View, Avg)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28Dev%29                                                                                  Accuracy (Dev)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28H50%29                                                                                  Accuracy (H50)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28High%29                                                                                  Accuracy (High)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28Inter-Patient%29                                                                                  Accuracy (Inter-Patient)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28Intra-Patient%29                                                                                  Accuracy (Intra-Patient)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28Java%E2%86%92C%23%29                                                                                  Accuracy (Java→C#)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28LOS%3E3%20Days%29                                                                                  Accuracy (LOS>3 Days)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28LOS%3E7%20Days%29                                                                                  Accuracy (LOS>7 Days)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28Middle%29                                                                                  Accuracy (Middle)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28Private%29                                                                                  Accuracy (Private)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28Public%29                                                                                  Accuracy (Public)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28RGB%2Bpose%29                                                                                  Accuracy (RGB+pose)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28Set%201%29                                                                                  Accuracy (Set 1)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28Set%202%29                                                                                  Accuracy (Set 2)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28TEST-DB%29                                                                                  Accuracy (TEST-DB)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28TRAIN-DB%29                                                                                  Accuracy (TRAIN-DB)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28Test%29                                                                                  Accuracy (Test)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28Test-P%29                                                                                  Accuracy (Test-P)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28Test-U%29                                                                                  Accuracy (Test-U)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28VEB%2B%29                                                                                  Accuracy (VEB+)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28Val%29                                                                                  Accuracy (Val)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28domain%29                                                                                  Accuracy (domain)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28easy%29                                                                                  Accuracy (easy)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28hard%29                                                                                  Accuracy (hard)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28max%29                                                                                  Accuracy (max)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28mean%29                                                                                  Accuracy (mean)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28median%29                                                                                  Accuracy (median)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28medium%29                                                                                  Accuracy (medium)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28pose%29                                                                                  Accuracy (pose)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28small%29                                                                                  Accuracy (small)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28trained%20on%2010k%29                                                                                  Accuracy (trained on 10k)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28trained%20on%201k%29                                                                                  Accuracy (trained on 1k)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28training-test%29                                                                                  Accuracy (training-test)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28under%2020%25%20Sym.%20label%20noise%29                                                                                  Accuracy (under 20% Sym. label noise)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28under%2050%25%20Sym.%20label%20noise%29                                                                                  Accuracy (under 50% Sym. label noise)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28under%2080%25%20Sym.%20label%20noise%29                                                                                  Accuracy (under 80% Sym. label noise)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28under%2090%25%20Sym.%20label%20noise%29                                                                                  Accuracy (under 90% Sym. label noise)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28under%2095%25%20Sym.%20label%20noise%29                                                                                  Accuracy (under 95% Sym. label noise)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20-%20All%20Images                                                                                  Accuracy - All Images
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20-%20Clean%20Images                                                                                  Accuracy - Clean Images
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20-%20Corrupted%20Images                                                                                  Accuracy - Corrupted Images
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20Improvement                                                                                  Accuracy Improvement
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20Per-patient                                                                                  Accuracy Per-patient
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20Per-segment                                                                                  Accuracy Per-segment
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20Seen                                                                                  Accuracy Seen
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20Unseen                                                                                  Accuracy Unseen
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20at%201%25                                                                                  Accuracy at 1%
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20of%20Agreeableness                                                                                  Accuracy of Agreeableness
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20of%20Conscientiousness                                                                                  Accuracy of Conscientiousness
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20of%20Extraversion                                                                                  Accuracy of Extraversion
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20of%20Neurotism                                                                                  Accuracy of Neurotism
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20of%20Openness                                                                                  Accuracy of Openness
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20of%20Sentiment                                                                                  Accuracy of Sentiment
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20on%20ACL%20Tear%20%28ACL%29                                                                                  Accuracy on ACL Tear (ACL)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20on%20Abnormality%20%28ABN%29                                                                                  Accuracy on Abnormality (ABN)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20on%20Meniscus%20Tear%20%28MEN%29                                                                                  Accuracy on Meniscus Tear (MEN)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20w%2F%203%20frames%20error%20%28Hard%29                                                                                  Accuracy w/ 3 frames error (Hard)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20w%2F%203%20frames%20error%20%28Light%29                                                                                  Accuracy w/ 3 frames error (Light)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20w%2F%203%20frames%20error%20%28Medium%20color%29                                                                                  Accuracy w/ 3 frames error (Medium color)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20w%2F%203%20frames%20error%20%28Medium%20geometric%29                                                                                  Accuracy w/ 3 frames error (Medium geometric)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%2810-fold%29                                                                                  Accuracy(10-fold)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%2830-fold%29                                                                                  Accuracy(30-fold)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%28on%20validation%20set%29                                                                                  Accuracy(on validation set)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%28pretrained%29                                                                                  Accuracy(pretrained)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%28stratified10-fold%29                                                                                  Accuracy(stratified10-fold)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy-CN                                                                                  Accuracy-CN
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy-EN%20%28%25%29                                                                                  Accuracy-EN (%)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy-FR%20%28%25%29                                                                                  Accuracy-FR (%)
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy-NE                                                                                  Accuracy-NE
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy-NM                                                                                  Accuracy-NM
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%405                                                                                  Accuracy@5
http://w3id.org/mlsea/pwc/evaluationMeasure/Actions%20Recall%405                                                                                  Actions Recall@5
http://w3id.org/mlsea/pwc/evaluationMeasure/All%20accuracy%20%2810%25%20Labeled%29                                                                                  All accuracy (10% Labeled)
http://w3id.org/mlsea/pwc/evaluationMeasure/All%20accuracy%20%2850%25%20Labeled%29                                                                                  All accuracy (50% Labeled)
http://w3id.org/mlsea/pwc/evaluationMeasure/Alpha-Word%20accuracy                                                                                  Alpha-Word accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/Answer%20Accuracy                                                                                  Answer Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/Armstand%20Accuracy                                                                                  Armstand Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/Attribute%20accuracy                                                                                  Attribute accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/AutoAttacked%20Accuracy                                                                                  AutoAttacked Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/Average%20AD-Accuracy                                                                                  Average AD-Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/Average%20Accuracy                                                                                  Average Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/Average%20Accuracy%20%2810%20times%29                                                                                  Average Accuracy (10 times)
http://w3id.org/mlsea/pwc/evaluationMeasure/Average%20Balanced%20Accuracy%20%28across%20datasets%29                                                                                  Average Balanced Accuracy (across datasets)
http://w3id.org/mlsea/pwc/evaluationMeasure/Average%20Class%20Accuracy%20                                                                                  Average Class Accuracy 
http://w3id.org/mlsea/pwc/evaluationMeasure/Average%20Incremental%20Accuracy                                                                                  Average Incremental Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/Average%20Incremental%20Accuracy%20Top-5                                                                                  Average Incremental Accuracy Top-5
http://w3id.org/mlsea/pwc/evaluationMeasure/Average%20Per-Class%20Accuracy                                                                                  Average Per-Class Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/Average%20Precision                                                                                  Average Precision
http://w3id.org/mlsea/pwc/evaluationMeasure/Average%20Precision%20%28%25%29                                                                                  Average Precision (%)
http://w3id.org/mlsea/pwc/evaluationMeasure/Average%20Precision%20at%200.5%203D%20IoU                                                                                  Average Precision at 0.5 3D IoU
http://w3id.org/mlsea/pwc/evaluationMeasure/Average%20Recall                                                                                  Average Recall
http://w3id.org/mlsea/pwc/evaluationMeasure/Average%20Recall%40IoU%3A0.5-0.95                                                                                  Average Recall@IoU:0.5-0.95
http://w3id.org/mlsea/pwc/evaluationMeasure/Average%20Test%20Accuracy%20over%20all%20magnifications                                                                                  Average Test Accuracy over all magnifications
http://w3id.org/mlsea/pwc/evaluationMeasure/Average%20Top-1%20Accuracy                                                                                  Average Top-1 Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/Average%20Top-1%20localization%20accuracy                                                                                  Average Top-1 localization accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/Average%20accuracy%20-%205%20tasks                                                                                  Average accuracy - 5 tasks
http://w3id.org/mlsea/pwc/evaluationMeasure/Average%20accuracy%20of%203%20splits                                                                                  Average accuracy of 3 splits
http://w3id.org/mlsea/pwc/evaluationMeasure/Averaged%20Precision                                                                                  Averaged Precision
http://w3id.org/mlsea/pwc/evaluationMeasure/Avg%20accuracy                                                                                  Avg accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/Avg.%20Accuracy                                                                                  Avg. Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/Balanced%20Accuracy                                                                                  Balanced Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/Balanced%20Multi-Class%20Accuracy                                                                                  Balanced Multi-Class Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/BertScore%20%28Precision%29                                                                                  BertScore (Precision)
http://w3id.org/mlsea/pwc/evaluationMeasure/Bias-Conflicting%20Accuracy                                                                                  Bias-Conflicting Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/Binary%20Accuracy                                                                                  Binary Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/Blur%20Segmentation%20Accuracy                                                                                  Blur Segmentation Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/CIFAR-10%20W4A4%20Top-1%20Accuracy                                                                                  CIFAR-10 W4A4 Top-1 Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/CIFAR-10%20W5A5%20Top-1%20Accuracy                                                                                  CIFAR-10 W5A5 Top-1 Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/CIFAR-10%20W6A6%20Top-1%20Accuracy                                                                                  CIFAR-10 W6A6 Top-1 Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/CIFAR-10%20W8A8%20Top-1%20Accuracy                                                                                  CIFAR-10 W8A8 Top-1 Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/CIFAR-100%20W4A4%20Top-1%20Accuracy                                                                                  CIFAR-100 W4A4 Top-1 Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/CIFAR-100%20W5A5%20Top-1%20Accuracy                                                                                  CIFAR-100 W5A5 Top-1 Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/CIFAR-100%20W6A6%20Top-1%20Accuracy                                                                                  CIFAR-100 W6A6 Top-1 Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/CIFAR-100%20W8A8%20Top-1%20Accuracy                                                                                  CIFAR-100 W8A8 Top-1 Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/CLIP%20R-Precision                                                                                  CLIP R-Precision
http://w3id.org/mlsea/pwc/evaluationMeasure/Categorical%20Accuracy                                                                                  Categorical Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/Class-dependent%20localization%20recall                                                                                  Class-dependent localization recall
http://w3id.org/mlsea/pwc/evaluationMeasure/Classification%20Accuracy                                                                                  Classification Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/Classification%20Accuracy%20%28BN-free%29                                                                                  Classification Accuracy (BN-free)
http://w3id.org/mlsea/pwc/evaluationMeasure/Classification%20Accuracy%20%28Deep%29                                                                                  Classification Accuracy (Deep)
http://w3id.org/mlsea/pwc/evaluationMeasure/Classification%20Accuracy%20%28Dense%29                                                                                  Classification Accuracy (Dense)
http://w3id.org/mlsea/pwc/evaluationMeasure/Classification%20Accuracy%20%28ID-test%29                                                                                  Classification Accuracy (ID-test)
http://w3id.org/mlsea/pwc/evaluationMeasure/Classification%20Accuracy%20%28ResNet-50%29                                                                                  Classification Accuracy (ResNet-50)
http://w3id.org/mlsea/pwc/evaluationMeasure/Classification%20Accuracy%20%28ViT%29                                                                                  Classification Accuracy (ViT)
http://w3id.org/mlsea/pwc/evaluationMeasure/Classification%20Accuracy%20%28Wide%29                                                                                  Classification Accuracy (Wide)
http://w3id.org/mlsea/pwc/evaluationMeasure/Clean%20Accuracy                                                                                  Clean Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/Clustering%20Accuracy                                                                                  Clustering Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/Completion%20accuracy                                                                                  Completion accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/Continual%20Weighted%20Accuracy                                                                                  Continual Weighted Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/Cross%20Subject%20Accuracy                                                                                  Cross Subject Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/Cross%20View%20Accuracy                                                                                  Cross View Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/Cross-person%20Accuracy                                                                                  Cross-person Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/Denotation%20Accuracy                                                                                  Denotation Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/Denotation%20accuracy%20%28test%29                                                                                  Denotation accuracy (test)
http://w3id.org/mlsea/pwc/evaluationMeasure/Detection%20Accuracy                                                                                  Detection Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/Dev%20Accuracy                                                                                  Dev Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/Element%20Accuracy                                                                                  Element Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/Exact%20Match%20Accuracy                                                                                  Exact Match Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/Exact%20Match%20Accuracy%20%28Dev%29                                                                                  Exact Match Accuracy (Dev)
http://w3id.org/mlsea/pwc/evaluationMeasure/Exact%20Match%20Accuracy%20%28Test%29                                                                                  Exact Match Accuracy (Test)
http://w3id.org/mlsea/pwc/evaluationMeasure/Exact%20Match%20Accuracy%20%28in%20Dev%29                                                                                  Exact Match Accuracy (in Dev)
http://w3id.org/mlsea/pwc/evaluationMeasure/Example-Precision-14                                                                                  Example-Precision-14
http://w3id.org/mlsea/pwc/evaluationMeasure/Example-Recall-14                                                                                  Example-Recall-14
http://w3id.org/mlsea/pwc/evaluationMeasure/Execution%20Accuracy                                                                                  Execution Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/Execution%20Accuracy%20%25%20%28Dev%29                                                                                  Execution Accuracy % (Dev)
http://w3id.org/mlsea/pwc/evaluationMeasure/Execution%20Accuracy%20%25%20%28Test%29                                                                                  Execution Accuracy % (Test)
http://w3id.org/mlsea/pwc/evaluationMeasure/Execution%20Accuracy%20%28Dev%29                                                                                  Execution Accuracy (Dev)
http://w3id.org/mlsea/pwc/evaluationMeasure/Execution%20Accuracy%20%28Test%29                                                                                  Execution Accuracy (Test)
http://w3id.org/mlsea/pwc/evaluationMeasure/Execution%20Accuracy%20%28in%20Dev%29                                                                                  Execution Accuracy (in Dev)
http://w3id.org/mlsea/pwc/evaluationMeasure/Explanation%20Accuracy                                                                                  Explanation Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/F-measure%20%28Recall%29                                                                                  F-measure (Recall)
http://w3id.org/mlsea/pwc/evaluationMeasure/Fashion%20Accuracy                                                                                  Fashion Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/Feature%20Matching%20Recall                                                                                  Feature Matching Recall
http://w3id.org/mlsea/pwc/evaluationMeasure/Final%20Accuracy                                                                                  Final Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/Final%20Accuracy%20Top-5                                                                                  Final Accuracy Top-5
http://w3id.org/mlsea/pwc/evaluationMeasure/Frame%20accuracy                                                                                  Frame accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/G-Score%20%28BLEU%2C%20Accuracy%29                                                                                  G-Score (BLEU, Accuracy)
http://w3id.org/mlsea/pwc/evaluationMeasure/GT-known%20localization%20accuracy                                                                                  GT-known localization accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/Global%20Accuracy                                                                                  Global Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/Global%20Average%20Precision                                                                                  Global Average Precision
http://w3id.org/mlsea/pwc/evaluationMeasure/Image%20to%20Text%20Recall%401                                                                                  Image to Text Recall@1
http://w3id.org/mlsea/pwc/evaluationMeasure/Image-Level%20Recall                                                                                  Image-Level Recall
http://w3id.org/mlsea/pwc/evaluationMeasure/ImageNet%20Top-1%20Accuracy                                                                                  ImageNet Top-1 Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/ImageNet%20Top-5%20Accuracy                                                                                  ImageNet Top-5 Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/ImageNet%20W4A4%20Top-1%20Accuracy                                                                                  ImageNet W4A4 Top-1 Accuracy
