Result of /data/leuven/370/vsc37064/new_queries_named_graph_openml/query_38.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
featureName                                                                       characteristicName                                                                characteristicValue                                                               relationshipType
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  type
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  label
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  http://purl.org/dc/terms/title
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  type
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  label
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  http://purl.org/dc/terms/title
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  type
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  label
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  http://purl.org/dc/terms/title
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  type
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  label
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  http://purl.org/dc/terms/title
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  type
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  label
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  http://purl.org/dc/terms/title
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  type
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  label
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  http://purl.org/dc/terms/title
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  type
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  label
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  http://purl.org/dc/terms/title
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  type
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  label
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  http://purl.org/dc/terms/title
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  type
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  label
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  http://purl.org/dc/terms/title
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  type
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  label
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  http://purl.org/dc/terms/title
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  type
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  label
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  http://purl.org/dc/terms/title
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  type
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  label
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  http://purl.org/dc/terms/title
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  type
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  label
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  http://purl.org/dc/terms/title
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  type
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  label
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  http://purl.org/dc/terms/title
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT number of missing values                                                                                  0                                                                                  hasQuality
Energy.Efficnecy.Target                                                                                  Energy.Efficnecy.Target data-type                                                                                  string                                                                                  hasQuality
Energy.Efficnecy.Target                                                                                  Energy.Efficnecy.Target data-type                                                                                  string                                                                                  label
Energy.Efficnecy.Target                                                                                  Energy.Efficnecy.Target data-type                                                                                  string                                                                                  hasQuality
Energy.Efficnecy.Target                                                                                  Energy.Efficnecy.Target data-type                                                                                  string                                                                                  type
Energy.Efficnecy.Target                                                                                  Energy.Efficnecy.Target data-type                                                                                  string                                                                                  http://purl.org/dc/terms/title
Energy.Efficnecy.Target                                                                                  Energy.Efficnecy.Target number of missing values                                                                                  163                                                                                  hasQuality
Energy.Efficnecy.Target                                                                                  Energy.Efficnecy.Target number of missing values                                                                                  163                                                                                  label
Energy.Efficnecy.Target                                                                                  Energy.Efficnecy.Target number of missing values                                                                                  163                                                                                  hasQuality
Energy.Efficnecy.Target                                                                                  Energy.Efficnecy.Target number of missing values                                                                                  163                                                                                  type
Energy.Efficnecy.Target                                                                                  Energy.Efficnecy.Target number of missing values                                                                                  163                                                                                  http://purl.org/dc/terms/title
Federal_Funds_Lower_Target                                                                                  Federal_Funds_Lower_Target data-type                                                                                  numeric                                                                                  hasQuality
Federal_Funds_Lower_Target                                                                                  Federal_Funds_Lower_Target data-type                                                                                  numeric                                                                                  type
Federal_Funds_Lower_Target                                                                                  Federal_Funds_Lower_Target data-type                                                                                  numeric                                                                                  label
Federal_Funds_Lower_Target                                                                                  Federal_Funds_Lower_Target data-type                                                                                  numeric                                                                                  http://purl.org/dc/terms/title
Federal_Funds_Lower_Target                                                                                  Federal_Funds_Lower_Target data-type                                                                                  numeric                                                                                  hasQuality
Federal_Funds_Lower_Target                                                                                  Federal_Funds_Lower_Target number of missing values                                                                                  801                                                                                  label
Federal_Funds_Lower_Target                                                                                  Federal_Funds_Lower_Target number of missing values                                                                                  801                                                                                  type
Federal_Funds_Lower_Target                                                                                  Federal_Funds_Lower_Target number of missing values                                                                                  801                                                                                  http://purl.org/dc/terms/title
Federal_Funds_Lower_Target                                                                                  Federal_Funds_Lower_Target number of missing values                                                                                  801                                                                                  hasQuality
Federal_Funds_Lower_Target                                                                                  Federal_Funds_Lower_Target number of missing values                                                                                  801                                                                                  hasQuality
Federal_Funds_Target_Rate                                                                                  Federal_Funds_Target_Rate data-type                                                                                  numeric                                                                                  hasQuality
Federal_Funds_Target_Rate                                                                                  Federal_Funds_Target_Rate data-type                                                                                  numeric                                                                                  http://purl.org/dc/terms/title
Federal_Funds_Target_Rate                                                                                  Federal_Funds_Target_Rate data-type                                                                                  numeric                                                                                  hasQuality
Federal_Funds_Target_Rate                                                                                  Federal_Funds_Target_Rate data-type                                                                                  numeric                                                                                  label
