Result of /data/leuven/370/vsc37064/new_queries/query_32.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
characteristicName                                                                featureCount
FCFP6_1024_313 number of missing values                                                                                  1083
FCFP6_1024_315 number of missing values                                                                                  1083
FCFP6_1024_319 number of missing values                                                                                  1083
FCFP6_1024_326 data-type                                                                                  1083
FCFP6_1024_326 number of missing values                                                                                  1083
FCFP6_1024_32 data-type                                                                                  1083
FCFP6_1024_331 data-type                                                                                  1083
FCFP6_1024_334 data-type                                                                                  1083
FCFP6_1024_335 data-type                                                                                  1083
FCFP6_1024_338 number of missing values                                                                                  1083
FCFP6_1024_340 data-type                                                                                  1083
FCFP6_1024_342 data-type                                                                                  1083
FCFP6_1024_345 data-type                                                                                  1083
FCFP6_1024_367 data-type                                                                                  1083
FCFP6_1024_368 data-type                                                                                  1083
FCFP6_1024_371 number of missing values                                                                                  1083
FCFP6_1024_373 data-type                                                                                  1083
FCFP6_1024_374 data-type                                                                                  1083
FCFP6_1024_380 data-type                                                                                  1083
FCFP6_1024_381 number of missing values                                                                                  1083
FCFP6_1024_383 number of missing values                                                                                  1083
FCFP6_1024_386 data-type                                                                                  1083
FCFP6_1024_386 number of missing values                                                                                  1083
FCFP6_1024_387 data-type                                                                                  1083
FCFP6_1024_388 data-type                                                                                  1083
FCFP6_1024_388 number of missing values                                                                                  1083
FCFP6_1024_393 data-type                                                                                  1083
FCFP6_1024_393 number of missing values                                                                                  1083
FCFP6_1024_396 number of missing values                                                                                  1083
FCFP6_1024_406 number of missing values                                                                                  1083
FCFP6_1024_411 number of missing values                                                                                  1083
FCFP6_1024_412 data-type                                                                                  1083
FCFP6_1024_422 data-type                                                                                  1083
FCFP6_1024_425 number of missing values                                                                                  1083
FCFP6_1024_426 data-type                                                                                  1083
FCFP6_1024_431 data-type                                                                                  1083
FCFP6_1024_431 number of missing values                                                                                  1083
FCFP6_1024_435 number of missing values                                                                                  1083
FCFP6_1024_442 number of missing values                                                                                  1083
FCFP6_1024_445 number of missing values                                                                                  1083
FCFP6_1024_446 number of missing values                                                                                  1083
FCFP6_1024_447 number of missing values                                                                                  1083
FCFP6_1024_450 number of missing values                                                                                  1083
FCFP6_1024_451 data-type                                                                                  1083
FCFP6_1024_458 number of missing values                                                                                  1083
FCFP6_1024_459 data-type                                                                                  1083
FCFP6_1024_46 data-type                                                                                  1083
FCFP6_1024_486 number of missing values                                                                                  1083
FCFP6_1024_487 data-type                                                                                  1083
FCFP6_1024_48 number of missing values                                                                                  1083
FCFP6_1024_489 data-type                                                                                  1083
FCFP6_1024_489 number of missing values                                                                                  1083
FCFP6_1024_492 data-type                                                                                  1083
FCFP6_1024_492 number of missing values                                                                                  1083
FCFP6_1024_502 number of missing values                                                                                  1083
FCFP6_1024_504 data-type                                                                                  1083
FCFP6_1024_507 number of missing values                                                                                  1083
FCFP6_1024_513 data-type                                                                                  1083
FCFP6_1024_513 number of missing values                                                                                  1083
FCFP6_1024_520 data-type                                                                                  1083
FCFP6_1024_520 number of missing values                                                                                  1083
FCFP6_1024_521 number of missing values                                                                                  1083
FCFP6_1024_527 number of missing values                                                                                  1083
FCFP6_1024_52 number of missing values                                                                                  1083
FCFP6_1024_533 data-type                                                                                  1083
FCFP6_1024_53 data-type                                                                                  1083
FCFP6_1024_53 number of missing values                                                                                  1083
FCFP6_1024_543 data-type                                                                                  1083
FCFP6_1024_545 number of missing values                                                                                  1083
FCFP6_1024_554 number of missing values                                                                                  1083
FCFP6_1024_560 number of missing values                                                                                  1083
FCFP6_1024_564 number of missing values                                                                                  1083
FCFP6_1024_57 data-type                                                                                  1083
FCFP6_1024_57 number of missing values                                                                                  1083
FCFP6_1024_583 data-type                                                                                  1083
FCFP6_1024_583 number of missing values                                                                                  1083
FCFP6_1024_587 data-type                                                                                  1083
FCFP6_1024_587 number of missing values                                                                                  1083
FCFP6_1024_603 data-type                                                                                  1083
FCFP6_1024_60 number of missing values                                                                                  1083
FCFP6_1024_609 data-type                                                                                  1083
FCFP6_1024_613 number of missing values                                                                                  1083
FCFP6_1024_616 number of missing values                                                                                  1083
FCFP6_1024_621 number of missing values                                                                                  1083
FCFP6_1024_62 data-type                                                                                  1083
FCFP6_1024_62 number of missing values                                                                                  1083
FCFP6_1024_629 data-type                                                                                  1083
FCFP6_1024_631 number of missing values                                                                                  1083
FCFP6_1024_643 data-type                                                                                  1083
FCFP6_1024_644 number of missing values                                                                                  1083
FCFP6_1024_646 data-type                                                                                  1083
FCFP6_1024_647 number of missing values                                                                                  1083
FCFP6_1024_650 number of missing values                                                                                  1083
FCFP6_1024_652 data-type                                                                                  1083
FCFP6_1024_656 data-type                                                                                  1083
FCFP6_1024_665 data-type                                                                                  1083
FCFP6_1024_676 number of missing values                                                                                  1083
FCFP6_1024_682 number of missing values                                                                                  1083
FCFP6_1024_685 data-type                                                                                  1083
FCFP6_1024_685 number of missing values                                                                                  1083
FCFP6_1024_690 data-type                                                                                  1083
FCFP6_1024_693 data-type                                                                                  1083
FCFP6_1024_693 number of missing values                                                                                  1083
FCFP6_1024_694 number of missing values                                                                                  1083
FCFP6_1024_695 number of missing values                                                                                  1083
FCFP6_1024_704 data-type                                                                                  1083
FCFP6_1024_714 data-type                                                                                  1083
FCFP6_1024_718 data-type                                                                                  1083
FCFP6_1024_71 number of missing values                                                                                  1083
FCFP6_1024_730 number of missing values                                                                                  1083
FCFP6_1024_731 data-type                                                                                  1083
FCFP6_1024_737 data-type                                                                                  1083
FCFP6_1024_741 data-type                                                                                  1083
FCFP6_1024_748 data-type                                                                                  1083
FCFP6_1024_748 number of missing values                                                                                  1083
FCFP6_1024_757 number of missing values                                                                                  1083
FCFP6_1024_761 data-type                                                                                  1083
FCFP6_1024_761 number of missing values                                                                                  1083
FCFP6_1024_762 number of missing values                                                                                  1083
FCFP6_1024_771 data-type                                                                                  1083
FCFP6_1024_774 number of missing values                                                                                  1083
FCFP6_1024_778 number of missing values                                                                                  1083
FCFP6_1024_782 data-type                                                                                  1083
FCFP6_1024_782 number of missing values                                                                                  1083
FCFP6_1024_785 data-type                                                                                  1083
FCFP6_1024_787 number of missing values                                                                                  1083
FCFP6_1024_793 number of missing values                                                                                  1083
FCFP6_1024_794 data-type                                                                                  1083
FCFP6_1024_794 number of missing values                                                                                  1083
FCFP6_1024_798 data-type                                                                                  1083
FCFP6_1024_800 data-type                                                                                  1083
FCFP6_1024_800 number of missing values                                                                                  1083
FCFP6_1024_805 data-type                                                                                  1083
FCFP6_1024_817 data-type                                                                                  1083
FCFP6_1024_820 number of missing values                                                                                  1083
FCFP6_1024_824 number of missing values                                                                                  1083
FCFP6_1024_828 data-type                                                                                  1083
FCFP6_1024_828 number of missing values                                                                                  1083
FCFP6_1024_834 data-type                                                                                  1083
FCFP6_1024_834 number of missing values                                                                                  1083
FCFP6_1024_837 number of missing values                                                                                  1083
FCFP6_1024_838 data-type                                                                                  1083
FCFP6_1024_838 number of missing values                                                                                  1083
FCFP6_1024_839 number of missing values                                                                                  1083
FCFP6_1024_842 data-type                                                                                  1083
FCFP6_1024_842 number of missing values                                                                                  1083
FCFP6_1024_843 number of missing values                                                                                  1083
FCFP6_1024_845 data-type                                                                                  1083
FCFP6_1024_847 number of missing values                                                                                  1083
FCFP6_1024_852 data-type                                                                                  1083
FCFP6_1024_852 number of missing values                                                                                  1083
FCFP6_1024_853 data-type                                                                                  1083
FCFP6_1024_854 data-type                                                                                  1083
FCFP6_1024_854 number of missing values                                                                                  1083
FCFP6_1024_85 number of missing values                                                                                  1083
FCFP6_1024_865 number of missing values                                                                                  1083
FCFP6_1024_86 data-type                                                                                  1083
FCFP6_1024_869 data-type                                                                                  1083
FCFP6_1024_874 data-type                                                                                  1083
FCFP6_1024_874 number of missing values                                                                                  1083
FCFP6_1024_882 data-type                                                                                  1083
FCFP6_1024_885 data-type                                                                                  1083
FCFP6_1024_885 number of missing values                                                                                  1083
FCFP6_1024_886 number of missing values                                                                                  1083
FCFP6_1024_88 data-type                                                                                  1083
FCFP6_1024_88 number of missing values                                                                                  1083
FCFP6_1024_889 data-type                                                                                  1083
FCFP6_1024_890 data-type                                                                                  1083
FCFP6_1024_891 data-type                                                                                  1083
FCFP6_1024_892 data-type                                                                                  1083
FCFP6_1024_892 number of missing values                                                                                  1083
FCFP6_1024_8 number of missing values                                                                                  1083
FCFP6_1024_913 data-type                                                                                  1083
FCFP6_1024_92 number of missing values                                                                                  1083
FCFP6_1024_931 data-type                                                                                  1083
FCFP6_1024_931 number of missing values                                                                                  1083
FCFP6_1024_933 data-type                                                                                  1083
FCFP6_1024_93 data-type                                                                                  1083
FCFP6_1024_941 number of missing values                                                                                  1083
FCFP6_1024_942 data-type                                                                                  1083
FCFP6_1024_942 number of missing values                                                                                  1083
FCFP6_1024_947 data-type                                                                                  1083
FCFP6_1024_947 number of missing values                                                                                  1083
FCFP6_1024_94 data-type                                                                                  1083
FCFP6_1024_99 number of missing values                                                                                  1083
FCFP6_1024_1002 number of missing values                                                                                  1083
FCFP6_1024_1006 number of missing values                                                                                  1083
FCFP6_1024_100 number of missing values                                                                                  1083
FCFP6_1024_1017 data-type                                                                                  1083
FCFP6_1024_1022 number of missing values                                                                                  1083
FCFP6_1024_11 number of missing values                                                                                  1083
FCFP6_1024_139 data-type                                                                                  1083
FCFP6_1024_139 number of missing values                                                                                  1083
FCFP6_1024_150 number of missing values                                                                                  1083
FCFP6_1024_163 data-type                                                                                  1083
FCFP6_1024_166 data-type                                                                                  1083
FCFP6_1024_166 number of missing values                                                                                  1083
FCFP6_1024_171 data-type                                                                                  1083
FCFP6_1024_173 data-type                                                                                  1083
FCFP6_1024_173 number of missing values                                                                                  1083
FCFP6_1024_178 number of missing values                                                                                  1083
FCFP6_1024_191 number of missing values                                                                                  1083
FCFP6_1024_255 number of missing values                                                                                  1083
FCFP6_1024_264 number of missing values                                                                                  1083
FCFP6_1024_270 data-type                                                                                  1083
FCFP6_1024_272 number of missing values                                                                                  1083
FCFP6_1024_307 data-type                                                                                  1083
FCFP6_1024_342 number of missing values                                                                                  1083
FCFP6_1024_348 data-type                                                                                  1083
FCFP6_1024_412 number of missing values                                                                                  1083
FCFP6_1024_440 number of missing values                                                                                  1083
FCFP6_1024_442 data-type                                                                                  1083
FCFP6_1024_445 data-type                                                                                  1083
FCFP6_1024_446 data-type                                                                                  1083
FCFP6_1024_447 data-type                                                                                  1083
FCFP6_1024_451 number of missing values                                                                                  1083
FCFP6_1024_452 data-type                                                                                  1083
FCFP6_1024_452 number of missing values                                                                                  1083
FCFP6_1024_458 data-type                                                                                  1083
FCFP6_1024_490 number of missing values                                                                                  1083
FCFP6_1024_495 number of missing values                                                                                  1083
FCFP6_1024_506 number of missing values                                                                                  1083
FCFP6_1024_540 data-type                                                                                  1083
FCFP6_1024_543 number of missing values                                                                                  1083
FCFP6_1024_571 number of missing values                                                                                  1083
FCFP6_1024_597 data-type                                                                                  1083
FCFP6_1024_602 number of missing values                                                                                  1083
FCFP6_1024_616 data-type                                                                                  1083
FCFP6_1024_652 number of missing values                                                                                  1083
FCFP6_1024_655 number of missing values                                                                                  1083
FCFP6_1024_65 data-type                                                                                  1083
FCFP6_1024_665 number of missing values                                                                                  1083
FCFP6_1024_744 data-type                                                                                  1083
FCFP6_1024_74 number of missing values                                                                                  1083
FCFP6_1024_75 number of missing values                                                                                  1083
FCFP6_1024_766 number of missing values                                                                                  1083
FCFP6_1024_774 data-type                                                                                  1083
FCFP6_1024_793 data-type                                                                                  1083
FCFP6_1024_820 data-type                                                                                  1083
FCFP6_1024_839 data-type                                                                                  1083
FCFP6_1024_865 data-type                                                                                  1083
FCFP6_1024_882 number of missing values                                                                                  1083
FCFP6_1024_890 number of missing values                                                                                  1083
FCFP6_1024_913 number of missing values                                                                                  1083
FCFP6_1024_921 number of missing values                                                                                  1083
FCFP6_1024_923 data-type                                                                                  1083
FCFP6_1024_0 data-type                                                                                  1083
FCFP6_1024_116 data-type                                                                                  1083
FCFP6_1024_143 data-type                                                                                  1083
FCFP6_1024_145 number of missing values                                                                                  1083
FCFP6_1024_148 data-type                                                                                  1083
FCFP6_1024_200 number of missing values                                                                                  1083
FCFP6_1024_21 number of missing values                                                                                  1083
FCFP6_1024_223 data-type                                                                                  1083
FCFP6_1024_267 number of missing values                                                                                  1083
FCFP6_1024_292 data-type                                                                                  1083
FCFP6_1024_307 number of missing values                                                                                  1083
FCFP6_1024_334 number of missing values                                                                                  1083
FCFP6_1024_335 number of missing values                                                                                  1083
FCFP6_1024_349 number of missing values                                                                                  1083
FCFP6_1024_358 number of missing values                                                                                  1083
FCFP6_1024_368 number of missing values                                                                                  1083
FCFP6_1024_374 number of missing values                                                                                  1083
FCFP6_1024_3 data-type                                                                                  1083
FCFP6_1024_3 number of missing values                                                                                  1083
FCFP6_1024_415 data-type                                                                                  1083
FCFP6_1024_41 data-type                                                                                  1083
FCFP6_1024_422 number of missing values                                                                                  1083
FCFP6_1024_425 data-type                                                                                  1083
FCFP6_1024_432 data-type                                                                                  1083
FCFP6_1024_459 number of missing values                                                                                  1083
FCFP6_1024_478 data-type                                                                                  1083
FCFP6_1024_498 data-type                                                                                  1083
FCFP6_1024_518 number of missing values                                                                                  1083
FCFP6_1024_519 data-type                                                                                  1083
FCFP6_1024_536 data-type                                                                                  1083
FCFP6_1024_571 data-type                                                                                  1083
FCFP6_1024_607 number of missing values                                                                                  1083
FCFP6_1024_613 data-type                                                                                  1083
FCFP6_1024_655 data-type                                                                                  1083
FCFP6_1024_656 number of missing values                                                                                  1083
FCFP6_1024_661 data-type                                                                                  1083
FCFP6_1024_695 data-type                                                                                  1083
FCFP6_1024_706 data-type                                                                                  1083
FCFP6_1024_715 number of missing values                                                                                  1083
FCFP6_1024_717 number of missing values                                                                                  1083
FCFP6_1024_71 data-type                                                                                  1083
FCFP6_1024_746 data-type                                                                                  1083
FCFP6_1024_74 data-type                                                                                  1083
FCFP6_1024_76 number of missing values                                                                                  1083
FCFP6_1024_770 number of missing values                                                                                  1083
FCFP6_1024_771 number of missing values                                                                                  1083
FCFP6_1024_779 number of missing values                                                                                  1083
FCFP6_1024_787 data-type                                                                                  1083
FCFP6_1024_837 data-type                                                                                  1083
FCFP6_1024_845 number of missing values                                                                                  1083
FCFP6_1024_847 data-type                                                                                  1083
FCFP6_1024_867 number of missing values                                                                                  1083
FCFP6_1024_869 number of missing values                                                                                  1083
FCFP6_1024_878 number of missing values                                                                                  1083
FCFP6_1024_889 number of missing values                                                                                  1083
FCFP6_1024_8 data-type                                                                                  1083
FCFP6_1024_906 data-type                                                                                  1083
FCFP6_1024_943 data-type                                                                                  1083
FCFP6_1024_943 number of missing values                                                                                  1083
FCFP6_1024_99 data-type                                                                                  1083
FCFP6_1024_1002 data-type                                                                                  1083
FCFP6_1024_1005 number of missing values                                                                                  1083
FCFP6_1024_1010 data-type                                                                                  1083
FCFP6_1024_1017 number of missing values                                                                                  1083
FCFP6_1024_101 data-type                                                                                  1083
FCFP6_1024_103 data-type                                                                                  1083
FCFP6_1024_10 number of missing values                                                                                  1083
FCFP6_1024_116 number of missing values                                                                                  1083
FCFP6_1024_126 data-type                                                                                  1083
FCFP6_1024_135 data-type                                                                                  1083
FCFP6_1024_136 data-type                                                                                  1083
FCFP6_1024_144 number of missing values                                                                                  1083
FCFP6_1024_182 data-type                                                                                  1083
FCFP6_1024_199 data-type                                                                                  1083
FCFP6_1024_204 number of missing values                                                                                  1083
FCFP6_1024_209 number of missing values                                                                                  1083
FCFP6_1024_232 number of missing values                                                                                  1083
FCFP6_1024_23 data-type                                                                                  1083
FCFP6_1024_239 number of missing values                                                                                  1083
FCFP6_1024_247 data-type                                                                                  1083
FCFP6_1024_25 number of missing values                                                                                  1083
FCFP6_1024_271 data-type                                                                                  1083
FCFP6_1024_272 data-type                                                                                  1083
FCFP6_1024_274 number of missing values                                                                                  1083
FCFP6_1024_292 number of missing values                                                                                  1083
FCFP6_1024_315 data-type                                                                                  1083
FCFP6_1024_317 number of missing values                                                                                  1083
FCFP6_1024_318 data-type                                                                                  1083
FCFP6_1024_32 number of missing values                                                                                  1083
FCFP6_1024_340 number of missing values                                                                                  1083
FCFP6_1024_343 number of missing values                                                                                  1083
FCFP6_1024_345 number of missing values                                                                                  1083
FCFP6_1024_367 number of missing values                                                                                  1083
FCFP6_1024_371 data-type                                                                                  1083
FCFP6_1024_373 number of missing values                                                                                  1083
FCFP6_1024_380 number of missing values                                                                                  1083
FCFP6_1024_383 data-type                                                                                  1083
FCFP6_1024_404 data-type                                                                                  1083
FCFP6_1024_405 data-type                                                                                  1083
FCFP6_1024_405 number of missing values                                                                                  1083
FCFP6_1024_41 number of missing values                                                                                  1083
FCFP6_1024_432 number of missing values                                                                                  1083
FCFP6_1024_434 data-type                                                                                  1083
FCFP6_1024_440 data-type                                                                                  1083
FCFP6_1024_450 data-type                                                                                  1083
FCFP6_1024_460 data-type                                                                                  1083
FCFP6_1024_462 number of missing values                                                                                  1083
FCFP6_1024_467 data-type                                                                                  1083
FCFP6_1024_467 number of missing values                                                                                  1083
FCFP6_1024_473 data-type                                                                                  1083
FCFP6_1024_478 number of missing values                                                                                  1083
FCFP6_1024_480 data-type                                                                                  1083
FCFP6_1024_487 number of missing values                                                                                  1083
FCFP6_1024_488 number of missing values                                                                                  1083
FCFP6_1024_495 data-type                                                                                  1083
FCFP6_1024_496 number of missing values                                                                                  1083
FCFP6_1024_498 number of missing values                                                                                  1083
FCFP6_1024_502 data-type                                                                                  1083
FCFP6_1024_506 data-type                                                                                  1083
FCFP6_1024_516 data-type                                                                                  1083
FCFP6_1024_535 data-type                                                                                  1083
FCFP6_1024_545 data-type                                                                                  1083
FCFP6_1024_552 number of missing values                                                                                  1083
FCFP6_1024_554 data-type                                                                                  1083
FCFP6_1024_560 data-type                                                                                  1083
FCFP6_1024_564 data-type                                                                                  1083
FCFP6_1024_581 data-type                                                                                  1083
FCFP6_1024_597 number of missing values                                                                                  1083
FCFP6_1024_601 data-type                                                                                  1083
FCFP6_1024_601 number of missing values                                                                                  1083
FCFP6_1024_607 data-type                                                                                  1083
FCFP6_1024_609 number of missing values                                                                                  1083
FCFP6_1024_615 data-type                                                                                  1083
FCFP6_1024_615 number of missing values                                                                                  1083
FCFP6_1024_621 data-type                                                                                  1083
FCFP6_1024_637 data-type                                                                                  1083
FCFP6_1024_637 number of missing values                                                                                  1083
FCFP6_1024_643 number of missing values                                                                                  1083
FCFP6_1024_650 data-type                                                                                  1083
FCFP6_1024_65 number of missing values                                                                                  1083
FCFP6_1024_662 number of missing values                                                                                  1083
FCFP6_1024_673 data-type                                                                                  1083
FCFP6_1024_673 number of missing values                                                                                  1083
FCFP6_1024_676 data-type                                                                                  1083
FCFP6_1024_682 data-type                                                                                  1083
FCFP6_1024_690 number of missing values                                                                                  1083
FCFP6_1024_6 data-type                                                                                  1083
FCFP6_1024_704 number of missing values                                                                                  1083
FCFP6_1024_711 number of missing values                                                                                  1083
FCFP6_1024_715 data-type                                                                                  1083
FCFP6_1024_717 data-type                                                                                  1083
FCFP6_1024_718 number of missing values                                                                                  1083
FCFP6_1024_744 number of missing values                                                                                  1083
FCFP6_1024_766 data-type                                                                                  1083
FCFP6_1024_768 data-type                                                                                  1083
FCFP6_1024_768 number of missing values                                                                                  1083
FCFP6_1024_778 data-type                                                                                  1083
FCFP6_1024_786 data-type                                                                                  1083
FCFP6_1024_791 number of missing values                                                                                  1083
FCFP6_1024_798 number of missing values                                                                                  1083
FCFP6_1024_803 data-type                                                                                  1083
FCFP6_1024_803 number of missing values                                                                                  1083
FCFP6_1024_805 number of missing values                                                                                  1083
FCFP6_1024_813 data-type                                                                                  1083
FCFP6_1024_813 number of missing values                                                                                  1083
FCFP6_1024_815 number of missing values                                                                                  1083
FCFP6_1024_861 data-type                                                                                  1083
FCFP6_1024_861 number of missing values                                                                                  1083
FCFP6_1024_867 data-type                                                                                  1083
FCFP6_1024_878 data-type                                                                                  1083
FCFP6_1024_916 data-type                                                                                  1083
FCFP6_1024_922 data-type                                                                                  1083
FCFP6_1024_922 number of missing values                                                                                  1083
FCFP6_1024_923 number of missing values                                                                                  1083
FCFP6_1024_93 number of missing values                                                                                  1083
FCFP6_1024_94 number of missing values                                                                                  1083
FCFP6_1024_950 data-type                                                                                  1083
FCFP6_1024_955 data-type                                                                                  1083
FCFP6_1024_0 number of missing values                                                                                  1083
FCFP6_1024_199 number of missing values                                                                                  1083
FCFP6_1024_223 number of missing values                                                                                  1083
FCFP6_1024_255 data-type                                                                                  1083
FCFP6_1024_264 data-type                                                                                  1083
FCFP6_1024_317 data-type                                                                                  1083
FCFP6_1024_338 data-type                                                                                  1083
FCFP6_1024_343 data-type                                                                                  1083
FCFP6_1024_348 number of missing values                                                                                  1083
FCFP6_1024_379 data-type                                                                                  1083
FCFP6_1024_381 data-type                                                                                  1083
FCFP6_1024_460 number of missing values                                                                                  1083
FCFP6_1024_480 number of missing values                                                                                  1083
FCFP6_1024_486 data-type                                                                                  1083
FCFP6_1024_488 data-type                                                                                  1083
FCFP6_1024_491 data-type                                                                                  1083
FCFP6_1024_499 data-type                                                                                  1083
FCFP6_1024_504 number of missing values                                                                                  1083
FCFP6_1024_518 data-type                                                                                  1083
FCFP6_1024_521 data-type                                                                                  1083
FCFP6_1024_535 number of missing values                                                                                  1083
FCFP6_1024_536 number of missing values                                                                                  1083
FCFP6_1024_540 number of missing values                                                                                  1083
FCFP6_1024_602 data-type                                                                                  1083
FCFP6_1024_603 number of missing values                                                                                  1083
FCFP6_1024_706 number of missing values                                                                                  1083
FCFP6_1024_711 data-type                                                                                  1083
FCFP6_1024_737 number of missing values                                                                                  1083
FCFP6_1024_762 data-type                                                                                  1083
FCFP6_1024_76 data-type                                                                                  1083
FCFP6_1024_788 number of missing values                                                                                  1083
FCFP6_1024_815 data-type                                                                                  1083
FCFP6_1024_824 data-type                                                                                  1083
FCFP6_1024_85 data-type                                                                                  1083
FCFP6_1024_886 data-type                                                                                  1083
FCFP6_1024_143 number of missing values                                                                                  1083
FCFP6_1024_18 number of missing values                                                                                  1083
FCFP6_1024_25 data-type                                                                                  1083
FCFP6_1024_318 number of missing values                                                                                  1083
FCFP6_1024_330 number of missing values                                                                                  1083
FCFP6_1024_396 data-type                                                                                  1083
FCFP6_1024_527 data-type                                                                                  1083
FCFP6_1024_788 data-type                                                                                  1083
FCFP6_1024_817 number of missing values                                                                                  1083
FCFP6_1024_826 data-type                                                                                  1083
FCFP6_1024_10 data-type                                                                                  1083
FCFP6_1024_184 data-type                                                                                  1083
FCFP6_1024_9 number of missing values                                                                                  1083
FCFP6_1024_100 data-type                                                                                  1083
FCFP6_1024_1010 number of missing values                                                                                  1083
FCFP6_1024_1013 number of missing values                                                                                  1083
FCFP6_1024_104 number of missing values                                                                                  1083
FCFP6_1024_111 data-type                                                                                  1083
FCFP6_1024_120 number of missing values                                                                                  1083
FCFP6_1024_135 number of missing values                                                                                  1083
FCFP6_1024_141 data-type                                                                                  1083
FCFP6_1024_141 number of missing values                                                                                  1083
FCFP6_1024_148 number of missing values                                                                                  1083
FCFP6_1024_161 data-type                                                                                  1083
FCFP6_1024_172 data-type                                                                                  1083
FCFP6_1024_177 number of missing values                                                                                  1083
FCFP6_1024_182 number of missing values                                                                                  1083
FCFP6_1024_183 data-type                                                                                  1083
FCFP6_1024_183 number of missing values                                                                                  1083
FCFP6_1024_18 data-type                                                                                  1083
FCFP6_1024_200 data-type                                                                                  1083
FCFP6_1024_210 number of missing values                                                                                  1083
FCFP6_1024_21 data-type                                                                                  1083
FCFP6_1024_23 number of missing values                                                                                  1083
FCFP6_1024_247 number of missing values                                                                                  1083
FCFP6_1024_260 data-type                                                                                  1083
FCFP6_1024_260 number of missing values                                                                                  1083
FCFP6_1024_284 number of missing values                                                                                  1083
FCFP6_1024_291 number of missing values                                                                                  1083
FCFP6_1024_313 data-type                                                                                  1083
FCFP6_1024_330 data-type                                                                                  1083
FCFP6_1024_349 data-type                                                                                  1083
FCFP6_1024_357 data-type                                                                                  1083
FCFP6_1024_357 number of missing values                                                                                  1083
FCFP6_1024_358 data-type                                                                                  1083
