Result of /data/leuven/370/vsc37064/new_queries/query_35.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
runName                                                                           result
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/model/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/DeBERTa
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/DistilBERT/Accuracy
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/DistilBERT/F1
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/model/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/DistilBERT
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/XLNet/Accuracy
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/XLNet/F1
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/model/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/XLNet
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/ALBERT/Accuracy
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/ALBERT/F1
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/model/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/ALBERT
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/BART/Accuracy
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/model/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/BART
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/BERT/Accuracy
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/BERT/F1
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/model/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/BERT
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/ConvBERT/Accuracy
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/ConvBERT/F1
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/model/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/ConvBERT
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/RoBERTa/Accuracy
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/RoBERTa/F1
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/model/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/RoBERTa
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/XLM-RoBERTA/Accuracy
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/XLM-RoBERTA/F1
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/model/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/XLM-RoBERTA
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/ELECTRA/Accuracy
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/ELECTRA/F1
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/model/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/ELECTRA
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/GPT/Accuracy
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/GPT/F1
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/model/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/GPT
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/GPT-2/Accuracy
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/GPT-2/F1
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/model/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/GPT-2
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/Longformer/Accuracy
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/model/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/Longformer
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/Reformer/Accuracy
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/Reformer/F1
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/model/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/Reformer
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/T5/Accuracy
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/T5/F1
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/model/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/T5
run of Anomaly Detection in Time Series with Triadic Motif Fields and Application in Atrial Fibrillation ECG Classification                                                                                  http://w3id.org/mlsea/pwc/model/Anomaly%20Detection%20in%20Time%20Series%20with%20Triadic%20Motif%20Fields%20and%20Application%20in%20Atrial%20Fibrillation%20ECG%20Classification/TMF%28VGG16-MLP%29
run of Anomaly Detection in Time Series with Triadic Motif Fields and Application in Atrial Fibrillation ECG Classification                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Anomaly%20Detection%20in%20Time%20Series%20with%20Triadic%20Motif%20Fields%20and%20Application%20in%20Atrial%20Fibrillation%20ECG%20Classification/TMF%28VGG16-MLP%29/F1
run of Anomaly Detection in Time Series with Triadic Motif Fields and Application in Atrial Fibrillation ECG Classification                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Anomaly%20Detection%20in%20Time%20Series%20with%20Triadic%20Motif%20Fields%20and%20Application%20in%20Atrial%20Fibrillation%20ECG%20Classification/TMF%28VGG16-MLP%29/PR-AUC
run of Anomaly Detection in Time Series with Triadic Motif Fields and Application in Atrial Fibrillation ECG Classification                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Anomaly%20Detection%20in%20Time%20Series%20with%20Triadic%20Motif%20Fields%20and%20Application%20in%20Atrial%20Fibrillation%20ECG%20Classification/TMF%28VGG16-MLP%29/ROC-AUC
run of Asymmetric Student-Teacher Networks for Industrial Anomaly Detection                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Asymmetric%20Student-Teacher%20Networks%20for%20Industrial%20Anomaly%20Detection/AST/Detection%20AUROC
run of Asymmetric Student-Teacher Networks for Industrial Anomaly Detection                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Asymmetric%20Student-Teacher%20Networks%20for%20Industrial%20Anomaly%20Detection/AST/Detection%20AUROC%20%28only%20logical%29
run of Asymmetric Student-Teacher Networks for Industrial Anomaly Detection                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Asymmetric%20Student-Teacher%20Networks%20for%20Industrial%20Anomaly%20Detection/AST/Detection%20AUROC%20%28only%20structural%29
run of Asymmetric Student-Teacher Networks for Industrial Anomaly Detection                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Asymmetric%20Student-Teacher%20Networks%20for%20Industrial%20Anomaly%20Detection/AST/Segmentation%20AU-sPRO%20%28until%20FPR%205%25%29
run of Asymmetric Student-Teacher Networks for Industrial Anomaly Detection                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Asymmetric%20Student-Teacher%20Networks%20for%20Industrial%20Anomaly%20Detection/AST/Segmentation%20AUPRO%20%28until%2030%25%20FPR%29
run of Asymmetric Student-Teacher Networks for Industrial Anomaly Detection                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Asymmetric%20Student-Teacher%20Networks%20for%20Industrial%20Anomaly%20Detection/AST/Segmentation%20AUROC
run of Asymmetric Student-Teacher Networks for Industrial Anomaly Detection                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Asymmetric%20Student-Teacher%20Networks%20for%20Industrial%20Anomaly%20Detection/AST/Detection%20AUCROC
run of Asymmetric Student-Teacher Networks for Industrial Anomaly Detection                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Asymmetric%20Student-Teacher%20Networks%20for%20Industrial%20Anomaly%20Detection/AST/Segmentation%20AUCROC
run of Asymmetric Student-Teacher Networks for Industrial Anomaly Detection                                                                                  http://w3id.org/mlsea/pwc/model/Asymmetric%20Student-Teacher%20Networks%20for%20Industrial%20Anomaly%20Detection/AST
run of Atrial Fibrillation Detection Using Deep Features and Convolutional Networks                                                                                  http://w3id.org/mlsea/pwc/model/Atrial%20Fibrillation%20Detection%20Using%20Deep%20Features%20and%20Convolutional%20Networks/Spectrogram%20%2B%20ConvNet
run of Atrial Fibrillation Detection Using Deep Features and Convolutional Networks                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Atrial%20Fibrillation%20Detection%20Using%20Deep%20Features%20and%20Convolutional%20Networks/Spectrogram%20%2B%20ConvNet/Accuracy
run of Attention Modules Improve Image-Level Anomaly Detection for Industrial Inspection: A DifferNet Case Study                                                                                  http://w3id.org/mlsea/pwc/model/Attention%20Modules%20Improve%20Image-Level%20Anomaly%20Detection%20for%20Industrial%20Inspection%3A%20A%20DifferNet%20Case%20Study/RD%2B%2B%20%28CBAM-ResNet-18%29
run of Attention Modules Improve Image-Level Anomaly Detection for Industrial Inspection: A DifferNet Case Study                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Attention%20Modules%20Improve%20Image-Level%20Anomaly%20Detection%20for%20Industrial%20Inspection%3A%20A%20DifferNet%20Case%20Study/RD%2B%2B%20%28CBAM-ResNet-18%29/Detection%20AUROC
run of Attention Modules Improve Image-Level Anomaly Detection for Industrial Inspection: A DifferNet Case Study                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Attention%20Modules%20Improve%20Image-Level%20Anomaly%20Detection%20for%20Industrial%20Inspection%3A%20A%20DifferNet%20Case%20Study/AttentDifferNet%20%28SENet-AlexNet%29/Detection%20AUROC
run of Attention Modules Improve Image-Level Anomaly Detection for Industrial Inspection: A DifferNet Case Study                                                                                  http://w3id.org/mlsea/pwc/model/Attention%20Modules%20Improve%20Image-Level%20Anomaly%20Detection%20for%20Industrial%20Inspection%3A%20A%20DifferNet%20Case%20Study/AttentDifferNet%20%28SENet-AlexNet%29
run of Attention Modules Improve Image-Level Anomaly Detection for Industrial Inspection: A DifferNet Case Study                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Attention%20Modules%20Improve%20Image-Level%20Anomaly%20Detection%20for%20Industrial%20Inspection%3A%20A%20DifferNet%20Case%20Study/RD%2B%2B%20%28SENet-ResNet-18%29/Detection%20AUROC
run of Attention Modules Improve Image-Level Anomaly Detection for Industrial Inspection: A DifferNet Case Study                                                                                  http://w3id.org/mlsea/pwc/model/Attention%20Modules%20Improve%20Image-Level%20Anomaly%20Detection%20for%20Industrial%20Inspection%3A%20A%20DifferNet%20Case%20Study/RD%2B%2B%20%28SENet-ResNet-18%29
run of Automatic Detection of Atrial Fibrillation Based on Continuous Wavelet Transform and 2D Convolutional Neural Networks                                                                                  http://w3id.org/mlsea/pwc/model/Automatic%20Detection%20of%20Atrial%20Fibrillation%20Based%20on%20Continuous%20Wavelet%20Transform%20and%202D%20Convolutional%20Neural%20Networks/Wavelet%20transform%20%2B%202D%20CNN
run of Automatic Detection of Atrial Fibrillation Based on Continuous Wavelet Transform and 2D Convolutional Neural Networks                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Automatic%20Detection%20of%20Atrial%20Fibrillation%20Based%20on%20Continuous%20Wavelet%20Transform%20and%202D%20Convolutional%20Neural%20Networks/Wavelet%20transform%20%2B%202D%20CNN/Accuracy
run of Automatic online detection of atrial fibrillation based on symbolic dynamics and Shannon entropy                                                                                  http://w3id.org/mlsea/pwc/model/Automatic%20online%20detection%20of%20atrial%20fibrillation%20based%20on%20symbolic%20dynamics%20and%20Shannon%20entropy/Symbolic%20dynamics%20and%20Shannon%20entropy
run of Automatic online detection of atrial fibrillation based on symbolic dynamics and Shannon entropy                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Automatic%20online%20detection%20of%20atrial%20fibrillation%20based%20on%20symbolic%20dynamics%20and%20Shannon%20entropy/Symbolic%20dynamics%20and%20Shannon%20entropy/Accuracy
run of ChangeSim: Towards End-to-End Online Scene Change Detection in Industrial Indoor Environments                                                                                  http://w3id.org/mlsea/pwc/model/ChangeSim%3A%20Towards%20End-to-End%20Online%20Scene%20Change%20Detection%20in%20Industrial%20Indoor%20Environments/RTABMAP%2BCSCDNet
run of ChangeSim: Towards End-to-End Online Scene Change Detection in Industrial Indoor Environments                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/ChangeSim%3A%20Towards%20End-to-End%20Online%20Scene%20Change%20Detection%20in%20Industrial%20Indoor%20Environments/RTABMAP%2BCSCDNet/Category%20mIoU
run of ChangeSim: Towards End-to-End Online Scene Change Detection in Industrial Indoor Environments                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/ChangeSim%3A%20Towards%20End-to-End%20Online%20Scene%20Change%20Detection%20in%20Industrial%20Indoor%20Environments/RTABMAP%2BCSCDNet/macro%20F1
run of ChangeSim: Towards End-to-End Online Scene Change Detection in Industrial Indoor Environments                                                                                  http://w3id.org/mlsea/pwc/model/ChangeSim%3A%20Towards%20End-to-End%20Online%20Scene%20Change%20Detection%20in%20Industrial%20Indoor%20Environments/RTABMAP%2BChangeNet
run of ChangeSim: Towards End-to-End Online Scene Change Detection in Industrial Indoor Environments                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/ChangeSim%3A%20Towards%20End-to-End%20Online%20Scene%20Change%20Detection%20in%20Industrial%20Indoor%20Environments/RTABMAP%2BChangeNet/Category%20mIoU
run of ChangeSim: Towards End-to-End Online Scene Change Detection in Industrial Indoor Environments                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/ChangeSim%3A%20Towards%20End-to-End%20Online%20Scene%20Change%20Detection%20in%20Industrial%20Indoor%20Environments/RTABMAP%2BChangeNet/macro%20F1
run of Component-aware anomaly detection framework for adjustable and logical industrial visual inspection                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Component-aware%20anomaly%20detection%20framework%20for%20adjustable%20and%20logical%20industrial%20visual%20inspection/ComAD/Avg.%20Detection%20AUROC
run of Component-aware anomaly detection framework for adjustable and logical industrial visual inspection                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Component-aware%20anomaly%20detection%20framework%20for%20adjustable%20and%20logical%20industrial%20visual%20inspection/ComAD/Detection%20AUROC%20%28only%20logical%29
run of Component-aware anomaly detection framework for adjustable and logical industrial visual inspection                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Component-aware%20anomaly%20detection%20framework%20for%20adjustable%20and%20logical%20industrial%20visual%20inspection/ComAD/Detection%20AUROC%20%28only%20structural%29
run of Component-aware anomaly detection framework for adjustable and logical industrial visual inspection                                                                                  http://w3id.org/mlsea/pwc/model/Component-aware%20anomaly%20detection%20framework%20for%20adjustable%20and%20logical%20industrial%20visual%20inspection/ComAD
run of Component-aware anomaly detection framework for adjustable and logical industrial visual inspection                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Component-aware%20anomaly%20detection%20framework%20for%20adjustable%20and%20logical%20industrial%20visual%20inspection/ComAD%2BAST/Avg.%20Detection%20AUROC
run of Component-aware anomaly detection framework for adjustable and logical industrial visual inspection                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Component-aware%20anomaly%20detection%20framework%20for%20adjustable%20and%20logical%20industrial%20visual%20inspection/ComAD%2BAST/Detection%20AUROC%20%28only%20logical%29
run of Component-aware anomaly detection framework for adjustable and logical industrial visual inspection                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Component-aware%20anomaly%20detection%20framework%20for%20adjustable%20and%20logical%20industrial%20visual%20inspection/ComAD%2BAST/Detection%20AUROC%20%28only%20structural%29
run of Component-aware anomaly detection framework for adjustable and logical industrial visual inspection                                                                                  http://w3id.org/mlsea/pwc/model/Component-aware%20anomaly%20detection%20framework%20for%20adjustable%20and%20logical%20industrial%20visual%20inspection/ComAD%2BAST
run of Component-aware anomaly detection framework for adjustable and logical industrial visual inspection                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Component-aware%20anomaly%20detection%20framework%20for%20adjustable%20and%20logical%20industrial%20visual%20inspection/ComAD%2BPatchCore/Avg.%20Detection%20AUROC
run of Component-aware anomaly detection framework for adjustable and logical industrial visual inspection                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Component-aware%20anomaly%20detection%20framework%20for%20adjustable%20and%20logical%20industrial%20visual%20inspection/ComAD%2BPatchCore/Detection%20AUROC%20%28only%20logical%29
run of Component-aware anomaly detection framework for adjustable and logical industrial visual inspection                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Component-aware%20anomaly%20detection%20framework%20for%20adjustable%20and%20logical%20industrial%20visual%20inspection/ComAD%2BPatchCore/Detection%20AUROC%20%28only%20structural%29
run of Component-aware anomaly detection framework for adjustable and logical industrial visual inspection                                                                                  http://w3id.org/mlsea/pwc/model/Component-aware%20anomaly%20detection%20framework%20for%20adjustable%20and%20logical%20industrial%20visual%20inspection/ComAD%2BPatchCore
