Result of /data/leuven/370/vsc37064/new_queries_named_graph_predicate/query_11.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
paperTitle                                                                        datasetName                                                                       implementationName
LONG VARCHAR                                                                      LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

#phramacovigilance - Exploring Deep Learning Techniques for Identifying Mentions of Medication Intake from Twitter                                                                                                                                                                    implemenation of #phramacovigilance - Exploring Deep Learning Techniques for Identifying Mentions of Medication Intake from Twitter
$ boldsymbolγ$-Net: Superresolving SAR Tomographic Inversion via Deep Learning                                                                                                                                                                    implemenation of $ boldsymbolγ$-Net: Superresolving SAR Tomographic Inversion via Deep Learning
'You might also like this model': Data Driven Approach for Recommending Deep Learning Models for Unknown Image Datasets                                                                                                                                                                    implemenation of 'You might also like this model': Data Driven Approach for Recommending Deep Learning Models for Unknown Image Datasets
(Not) Understanding Latin Poetic Style with Deep Learning                                                                                                                                                                    implemenation of (Not) Understanding Latin Poetic Style with Deep Learning
0.8% Nyquist computational ghost imaging via non-experimental deep learning                                                                                                                                                                    implemenation of 0.8% Nyquist computational ghost imaging via non-experimental deep learning
11 TeraFLOPs per second photonic convolutional accelerator for deep learning optical neural networks                                                                                                                                                                    implemenation of 11 TeraFLOPs per second photonic convolutional accelerator for deep learning optical neural networks
1D-CapsNet-LSTM: A Deep Learning-Based Model for Multi-Step Stock Index Forecasting                                                                                                                                                                    implemenation of 1D-CapsNet-LSTM: A Deep Learning-Based Model for Multi-Step Stock Index Forecasting
1st Place in ICCV 2023 Workshop Challenge Track 1 on Resource Efficient Deep Learning for Computer Vision: Budgeted Model Training Challenge                                                                                                                                                                    implemenation of 1st Place in ICCV 2023 Workshop Challenge Track 1 on Resource Efficient Deep Learning for Computer Vision: Budgeted Model Training Challenge
2.5D Deep Learning for CT Image Reconstruction using a Multi-GPU implementation                                                                                                                                                                    implemenation of 2.5D Deep Learning for CT Image Reconstruction using a Multi-GPU implementation
20-fold Accelerated 7T fMRI Using Referenceless Self-Supervised Deep Learning Reconstruction                                                                                                                                                                    implemenation of 20-fold Accelerated 7T fMRI Using Referenceless Self-Supervised Deep Learning Reconstruction
200x Low-dose PET Reconstruction using Deep Learning                                                                                                                                                                    implemenation of 200x Low-dose PET Reconstruction using Deep Learning
2D/3D Pose Estimation and Action Recognition using Multitask Deep Learning                                                                                                                                                                    implemenation of 2D/3D Pose Estimation and Action Recognition using Multitask Deep Learning
2L-3W: 2-Level 3-Way Hardware-Software Co-Verification for the Mapping of Deep Learning Architecture (DLA) onto FPGA Boards                                                                                                                                                                    implemenation of 2L-3W: 2-Level 3-Way Hardware-Software Co-Verification for the Mapping of Deep Learning Architecture (DLA) onto FPGA Boards
3-Dimensional Deep Learning with Spatial Erasing for Unsupervised Anomaly Segmentation in Brain MRI                                                                                                                                                                    implemenation of 3-Dimensional Deep Learning with Spatial Erasing for Unsupervised Anomaly Segmentation in Brain MRI
3D Adapted Random Forest Vision (3DARFV) for Untangling Heterogeneous-Fabric Exceeding Deep Learning Semantic Segmentation Efficiency at the Utmost Accuracy                                                                                                                                                                    implemenation of 3D Adapted Random Forest Vision (3DARFV) for Untangling Heterogeneous-Fabric Exceeding Deep Learning Semantic Segmentation Efficiency at the Utmost Accuracy
3D Appearance Super-Resolution with Deep Learning                                                                                                                                                                    implemenation of 3D Appearance Super-Resolution with Deep Learning
3D B-mode ultrasound speckle reduction using deep learning for 3D registration applications                                                                                                                                                                    implemenation of 3D B-mode ultrasound speckle reduction using deep learning for 3D registration applications
3D Bounding Box Estimation Using Deep Learning and Geometry                                                                                                                                                                    implemenation of 3D Bounding Box Estimation Using Deep Learning and Geometry
3D Conceptual Design Using Deep Learning                                                                                                                                                                    implemenation of 3D Conceptual Design Using Deep Learning
3D Consistent & Robust Segmentation of Cardiac Images by Deep Learning with Spatial Propagation                                                                                                                                                                    implemenation of 3D Consistent & Robust Segmentation of Cardiac Images by Deep Learning with Spatial Propagation
3D Consistent Biventricular Myocardial Segmentation Using Deep Learning for Mesh Generation                                                                                                                                                                    implemenation of 3D Consistent Biventricular Myocardial Segmentation Using Deep Learning for Mesh Generation
3D Deep Learning for Biological Function Prediction from Physical Fields                                                                                                                                                                    implemenation of 3D Deep Learning for Biological Function Prediction from Physical Fields
3D Deep Learning on Medical Images: A Review                                                                                                                                                                    implemenation of 3D Deep Learning on Medical Images: A Review
3D Deep Learning with voxelized atomic configurations for modeling atomistic potentials in complex solid-solution alloys                                                                                                                                                                    implemenation of 3D Deep Learning with voxelized atomic configurations for modeling atomistic potentials in complex solid-solution alloys
3D Detection and Characterisation of ALMA Sources through Deep Learning                                                                                                                                                                    implemenation of 3D Detection and Characterisation of ALMA Sources through Deep Learning
3D Facial Imperfection Regeneration: Deep learning approach and 3D printing prototypes                                                                                                                                                                    implemenation of 3D Facial Imperfection Regeneration: Deep learning approach and 3D printing prototypes
3D High-Quality Magnetic Resonance Image Restoration in Clinics Using Deep Learning                                                                                                                                                                    implemenation of 3D High-Quality Magnetic Resonance Image Restoration in Clinics Using Deep Learning
3D Object Recognition with Ensemble Learning --- A Study of Point Cloud-Based Deep Learning Models                                                                                                                                                                    implemenation of 3D Object Recognition with Ensemble Learning --- A Study of Point Cloud-Based Deep Learning Models
3D Object Segmentation for Shelf Bin Picking by Humanoid with Deep Learning and Occupancy Voxel Grid Map                                                                                                                                                                    implemenation of 3D Object Segmentation for Shelf Bin Picking by Humanoid with Deep Learning and Occupancy Voxel Grid Map
3D Point Cloud Descriptors in Hand-crafted and Deep Learning Age: State-of-the-Art                                                                                                                                                                    implemenation of 3D Point Cloud Descriptors in Hand-crafted and Deep Learning Age: State-of-the-Art
3D Printed Brain-Controlled Robot-Arm Prosthetic via Embedded Deep Learning from sEMG Sensors                                                                                                                                                                    implemenation of 3D Printed Brain-Controlled Robot-Arm Prosthetic via Embedded Deep Learning from sEMG Sensors
3D RegNet: Deep Learning Model for COVID-19 Diagnosis on Chest CT Image                                                                                                                                                                    implemenation of 3D RegNet: Deep Learning Model for COVID-19 Diagnosis on Chest CT Image
3D Scattering Tomography by Deep Learning with Architecture Tailored to Cloud Fields                                                                                                                                                                    implemenation of 3D Scattering Tomography by Deep Learning with Architecture Tailored to Cloud Fields
3D Scene Geometry-Aware Constraint for Camera Localization with Deep Learning                                                                                                                                                                    implemenation of 3D Scene Geometry-Aware Constraint for Camera Localization with Deep Learning
3D Shape Segmentation with Geometric Deep Learning                                                                                                                                                                    implemenation of 3D Shape Segmentation with Geometric Deep Learning
3D Structure from 2D Microscopy images using Deep Learning                                                                                                                                                                    implemenation of 3D Structure from 2D Microscopy images using Deep Learning
3D Tensor-based Deep Learning Models for Predicting Option Price                                                                                                                                                                    implemenation of 3D Tensor-based Deep Learning Models for Predicting Option Price
3D U-NetR: Low Dose Computed Tomography Reconstruction via Deep Learning and 3 Dimensional Convolutions                                                                                                                                                                    implemenation of 3D U-NetR: Low Dose Computed Tomography Reconstruction via Deep Learning and 3 Dimensional Convolutions
3D Visual Tracking Framework with Deep Learning for Asteroid Exploration                                                                                                                                                                    implemenation of 3D Visual Tracking Framework with Deep Learning for Asteroid Exploration
3D deformable registration of longitudinal abdominopelvic CT images using unsupervised deep learning                                                                                                                                                                    implemenation of 3D deformable registration of longitudinal abdominopelvic CT images using unsupervised deep learning
3D shape sensing and deep learning-based segmentation of strawberries                                                                                                                                                                    implemenation of 3D shape sensing and deep learning-based segmentation of strawberries
3D-Spatiotemporal Forecasting the Expansion of Supernova Shells Using Deep Learning toward High-Resolution Galaxy Simulations                                                                                                                                                                    implemenation of 3D-Spatiotemporal Forecasting the Expansion of Supernova Shells Using Deep Learning toward High-Resolution Galaxy Simulations
3DInvNet: A Deep Learning-Based 3D Ground-Penetrating Radar Data Inversion                                                                                                                                                                    implemenation of 3DInvNet: A Deep Learning-Based 3D Ground-Penetrating Radar Data Inversion
3DRIMR: 3D Reconstruction and Imaging via mmWave Radar based on Deep Learning                                                                                                                                                                    implemenation of 3DRIMR: 3D Reconstruction and Imaging via mmWave Radar based on Deep Learning
3d-SMRnet: Achieving a new quality of MPI system matrix recovery by deep learning                                                                                                                                                                    implemenation of 3d-SMRnet: Achieving a new quality of MPI system matrix recovery by deep learning
4D Deep Learning for Multiple Sclerosis Lesion Activity Segmentation                                                                                                                                                                    implemenation of 4D Deep Learning for Multiple Sclerosis Lesion Activity Segmentation
4D Deep Learning for Multiple-Sclerosis Lesion Activity Segmentation                                                                                                                                                                    implemenation of 4D Deep Learning for Multiple-Sclerosis Lesion Activity Segmentation
4D Spatio-Temporal Deep Learning with 4D fMRI Data for Autism Spectrum Disorder Classification                                                                                                                                                                    implemenation of 4D Spatio-Temporal Deep Learning with 4D fMRI Data for Autism Spectrum Disorder Classification
4D flight trajectory prediction using a hybrid Deep Learning prediction method based on ADS-B technology: a case study of Hartsfield-Jackson Atlanta International Airport(ATL)                                                                                                                                                                    implemenation of 4D flight trajectory prediction using a hybrid Deep Learning prediction method based on ADS-B technology: a case study of Hartsfield-Jackson Atlanta International Airport(ATL)
4D-ONIX: A deep learning approach for reconstructing 3D movies from sparse X-ray projections                                                                                                                                                                    implemenation of 4D-ONIX: A deep learning approach for reconstructing 3D movies from sparse X-ray projections
4DFlowNet: Super-Resolution 4D Flow MRI using Deep Learning and Computational Fluid Dynamics                                                                                                                                                                    implemenation of 4DFlowNet: Super-Resolution 4D Flow MRI using Deep Learning and Computational Fluid Dynamics
500+ Times Faster Than Deep Learning (A Case Study Exploring Faster Methods for Text Mining StackOverflow)                                                                                                                                                                    implemenation of 500+ Times Faster Than Deep Learning (A Case Study Exploring Faster Methods for Text Mining StackOverflow)
5G MIMO Data for Machine Learning: Application to Beam-Selection using Deep Learning                                                                                                                                                                    implemenation of 5G MIMO Data for Machine Learning: Application to Beam-Selection using Deep Learning
5G Networks and IoT Devices: Mitigating DDoS Attacks with Deep Learning Techniques                                                                                                                                                                    implemenation of 5G Networks and IoT Devices: Mitigating DDoS Attacks with Deep Learning Techniques
6D Pose Estimation with Combined Deep Learning and 3D Vision Techniques for a Fast and Accurate Object Grasping                                                                                                                                                                    implemenation of 6D Pose Estimation with Combined Deep Learning and 3D Vision Techniques for a Fast and Accurate Object Grasping
8-Bit Approximations for Parallelism in Deep Learning                                                                                                                                                                    implemenation of 8-Bit Approximations for Parallelism in Deep Learning
A 1D-CNN Based Deep Learning Technique for Sleep Apnea Detection in IoT Sensors                                                                                                                                                                    implemenation of A 1D-CNN Based Deep Learning Technique for Sleep Apnea Detection in IoT Sensors
A 3D Probabilistic Deep Learning System for Detection and Diagnosis of Lung Cancer Using Low-Dose CT Scans                                                                                                                                                                    implemenation of A 3D Probabilistic Deep Learning System for Detection and Diagnosis of Lung Cancer Using Low-Dose CT Scans
A 3D deep learning classifier and its explainability when assessing coronary artery disease                                                                                                                                                                    implemenation of A 3D deep learning classifier and its explainability when assessing coronary artery disease
A BERT-based Deep Learning Approach for Reputation Analysis in Social Media                                                                                                                                                                    implemenation of A BERT-based Deep Learning Approach for Reputation Analysis in Social Media
A Backward SDE Method for Uncertainty Quantification in Deep Learning                                                                                                                                                                    implemenation of A Backward SDE Method for Uncertainty Quantification in Deep Learning
A Bayesian - Deep Learning model for estimating Covid-19 evolution in Spain                                                                                                                                                                    implemenation of A Bayesian - Deep Learning model for estimating Covid-19 evolution in Spain
A Bayesian Approach To Analysing Training Data Attribution In Deep Learning                                                                                                                                                                    implemenation of A Bayesian Approach To Analysing Training Data Attribution In Deep Learning
A Bayesian Deep Learning Approach to Near-Term Climate Prediction                                                                                                                                                                    implemenation of A Bayesian Deep Learning Approach to Near-Term Climate Prediction
A Bayesian Deep Learning Framework for End-To-End Prediction of Emotion from Heartbeat                                                                                                                                                                    implemenation of A Bayesian Deep Learning Framework for End-To-End Prediction of Emotion from Heartbeat
A Bayesian Deep Learning Technique for Multi-Step Ahead Solar Generation Forecasting                                                                                                                                                                    implemenation of A Bayesian Deep Learning Technique for Multi-Step Ahead Solar Generation Forecasting
A Bayesian Multiscale Deep Learning Framework for Flows in Random Media                                                                                                                                                                    implemenation of A Bayesian Multiscale Deep Learning Framework for Flows in Random Media
A Bayesian-inspired, deep learning-based, semi-supervised domain adaptation technique for land cover mapping                                                                                                                                                                    implemenation of A Bayesian-inspired, deep learning-based, semi-supervised domain adaptation technique for land cover mapping
A Benchmark for Iris Location and a Deep Learning Detector Evaluation                                                                                                                                                                    implemenation of A Benchmark for Iris Location and a Deep Learning Detector Evaluation
A Benchmark on Uncertainty Quantification for Deep Learning Prognostics                                                                                                                                                                    implemenation of A Benchmark on Uncertainty Quantification for Deep Learning Prognostics
A Benchmarking Protocol for SAR Colorization: From Regression to Deep Learning Approaches                                                                                                                                                                    implemenation of A Benchmarking Protocol for SAR Colorization: From Regression to Deep Learning Approaches
A Bi-Directional Co-Design Approach to Enable Deep Learning on IoT Devices                                                                                                                                                                    implemenation of A Bi-Directional Co-Design Approach to Enable Deep Learning on IoT Devices
A Big Data Analysis Framework Using Apache Spark and Deep Learning                                                                                                                                                                    implemenation of A Big Data Analysis Framework Using Apache Spark and Deep Learning
A Biologically Plausible Learning Rule for Deep Learning in the Brain                                                                                                                                                                    implemenation of A Biologically Plausible Learning Rule for Deep Learning in the Brain
A Blended Deep Learning Approach for Predicting User Intended Actions                                                                                                                                                                    implemenation of A Blended Deep Learning Approach for Predicting User Intended Actions
A Brief Review of Hypernetworks in Deep Learning                                                                                                                                                                    implemenation of A Brief Review of Hypernetworks in Deep Learning
A Brief Survey on Deep Learning Based Data Hiding                                                                                                                                                                    implemenation of A Brief Survey on Deep Learning Based Data Hiding
A Brief Yet In-Depth Survey of Deep Learning-Based Image Watermarking                                                                                                                                                                    implemenation of A Brief Yet In-Depth Survey of Deep Learning-Based Image Watermarking
A C++ library for Multimodal Deep Learning                                                                                                                                                                    implemenation of A C++ library for Multimodal Deep Learning
A CASE STUDY ON OPTIMAL DEEP LEARNING MODEL FOR UAVS                                                                                                                                                                    implemenation of A CASE STUDY ON OPTIMAL DEEP LEARNING MODEL FOR UAVS
A CNN-LSTM-based hybrid deep learning approach to detect sentiment polarities on Monkeypox tweets                                                                                                                                                                    implemenation of A CNN-LSTM-based hybrid deep learning approach to detect sentiment polarities on Monkeypox tweets
A CNN-Transformer Deep Learning Model for Real-time Sleep Stage Classification in an Energy-Constrained Wireless Device                                                                                                                                                                    implemenation of A CNN-Transformer Deep Learning Model for Real-time Sleep Stage Classification in an Energy-Constrained Wireless Device
A CT-based deep learning system for automatic assessment of aortic root morphology for TAVI planning                                                                                                                                                                    implemenation of A CT-based deep learning system for automatic assessment of aortic root morphology for TAVI planning
A Case Study of Deep Learning Based Multi-Modal Methods for Predicting the Age-Suitability Rating of Movie Trailers                                                                                                                                                                    implemenation of A Case Study of Deep Learning Based Multi-Modal Methods for Predicting the Age-Suitability Rating of Movie Trailers
A Case Study of Deep Learning-Based Multi-Modal Methods for Labeling the Presence of Questionable Content in Movie Trailers                                                                                                                                                                    implemenation of A Case Study of Deep Learning-Based Multi-Modal Methods for Labeling the Presence of Questionable Content in Movie Trailers
A Causal-based Framework for Multimodal Multivariate Time Series Validation Enhanced by Unsupervised Deep Learning as an Enabler for Industry 4.0                                                                                                                                                                    implemenation of A Causal-based Framework for Multimodal Multivariate Time Series Validation Enhanced by Unsupervised Deep Learning as an Enabler for Industry 4.0
A Close Look at Deep Learning with Small Data                                                                                                                                                                    implemenation of A Close Look at Deep Learning with Small Data
A Close Look into Human Activity Recognition Models using Deep Learning                                                                                                                                                                    implemenation of A Close Look into Human Activity Recognition Models using Deep Learning
A Closed-loop Sleep Modulation System with FPGA-Accelerated Deep Learning                                                                                                                                                                    implemenation of A Closed-loop Sleep Modulation System with FPGA-Accelerated Deep Learning
A Closer Look at Deep Learning Heuristics: Learning rate restarts, Warmup and Distillation                                                                                                                                                                    implemenation of A Closer Look at Deep Learning Heuristics: Learning rate restarts, Warmup and Distillation
A Closer Look at Domain Shift for Deep Learning in Histopathology                                                                                                                                                                    implemenation of A Closer Look at Domain Shift for Deep Learning in Histopathology
A Cloud-based Deep Learning Framework for Early Detection of Pushing at Crowded Event Entrances                                                                                                                                                                    implemenation of A Cloud-based Deep Learning Framework for Early Detection of Pushing at Crowded Event Entrances
A Cloud-based Deep Learning Framework for Remote Detection of Diabetic Foot Ulcers                                                                                                                                                                    implemenation of A Cloud-based Deep Learning Framework for Remote Detection of Diabetic Foot Ulcers
A Collaborative Computer Aided Diagnosis (C-CAD) System with Eye-Tracking, Sparse Attentional Model, and Deep Learning                                                                                                                                                                    implemenation of A Collaborative Computer Aided Diagnosis (C-CAD) System with Eye-Tracking, Sparse Attentional Model, and Deep Learning
A Collection of Deep Learning-based Feature-Free Approaches for Characterizing Single-Objective Continuous Fitness Landscapes                                                                                                                                                                    implemenation of A Collection of Deep Learning-based Feature-Free Approaches for Characterizing Single-Objective Continuous Fitness Landscapes
A Combination of Multi-Objective Genetic Algorithm and Deep Learning for Music Harmony Generation                                                                                                                                                                    implemenation of A Combination of Multi-Objective Genetic Algorithm and Deep Learning for Music Harmony Generation
A Combined Deep Learning based End-to-End Video Coding Architecture for YUV Color Space                                                                                                                                                                    implemenation of A Combined Deep Learning based End-to-End Video Coding Architecture for YUV Color Space
A Combined Deep Learning-Gradient Boosting Machine Framework for Fluid Intelligence Prediction                                                                                                                                                                    implemenation of A Combined Deep Learning-Gradient Boosting Machine Framework for Fluid Intelligence Prediction
A Common Operating Picture Framework Leveraging Data Fusion and Deep Learning                                                                                                                                                                    implemenation of A Common Operating Picture Framework Leveraging Data Fusion and Deep Learning
A Compact Deep Learning Model for Face Spoofing Detection                                                                                                                                                                    implemenation of A Compact Deep Learning Model for Face Spoofing Detection
A Comparative Analysis of Registration Tools: Traditional vs Deep Learning Approach on High Resolution Tissue Cleared Data                                                                                                                                                                    implemenation of A Comparative Analysis of Registration Tools: Traditional vs Deep Learning Approach on High Resolution Tissue Cleared Data
A Comparative Evaluation of Deep Learning Techniques for Photovoltaic Panel Detection from Aerial Images                                                                                                                                                                    implemenation of A Comparative Evaluation of Deep Learning Techniques for Photovoltaic Panel Detection from Aerial Images
A Comparative Evaluation of Predominant Deep Learning Quantified Stock Trading Strategies                                                                                                                                                                    implemenation of A Comparative Evaluation of Predominant Deep Learning Quantified Stock Trading Strategies
A Comparative Measurement Study of Deep Learning as a Service Framework                                                                                                                                                                    implemenation of A Comparative Measurement Study of Deep Learning as a Service Framework
A Comparative Study of Confidence Calibration in Deep Learning: From Computer Vision to Medical Imaging                                                                                                                                                                    implemenation of A Comparative Study of Confidence Calibration in Deep Learning: From Computer Vision to Medical Imaging
A Comparative Study of Data Augmentation Techniques for Deep Learning Based Emotion Recognition                                                                                                                                                                    implemenation of A Comparative Study of Data Augmentation Techniques for Deep Learning Based Emotion Recognition
A Comparative Study of Deep Learning Classification Methods on a Small Environmental Microorganism Image Dataset (EMDS-6): from Convolutional Neural Networks to Visual Transformers                                                                                                                                                                    implemenation of A Comparative Study of Deep Learning Classification Methods on a Small Environmental Microorganism Image Dataset (EMDS-6): from Convolutional Neural Networks to Visual Transformers
A Comparative Study of Deep Learning Loss Functions for Multi-Label Remote Sensing Image Classification                                                                                                                                                                    implemenation of A Comparative Study of Deep Learning Loss Functions for Multi-Label Remote Sensing Image Classification
A Comparative Study of Deep Learning and Iterative Algorithms for Joint Channel Estimation and Signal Detection                                                                                                                                                                    implemenation of A Comparative Study of Deep Learning and Iterative Algorithms for Joint Channel Estimation and Signal Detection
A Comparative Study of Existing and New Deep Learning Methods for Detecting Knee Injuries using the MRNet Dataset                                                                                                                                                                    implemenation of A Comparative Study of Existing and New Deep Learning Methods for Detecting Knee Injuries using the MRNet Dataset
A Comparative Study of Filters and Deep Learning Models to predict Diabetic Retinopathy                                                                                                                                                                    implemenation of A Comparative Study of Filters and Deep Learning Models to predict Diabetic Retinopathy
A Comparative Study of Machine Learning and Deep Learning Techniques for Prediction of Co2 Emission in Cars                                                                                                                                                                    implemenation of A Comparative Study of Machine Learning and Deep Learning Techniques for Prediction of Co2 Emission in Cars
A Comparative Study of Speaker Role Identification in Air Traffic Communication Using Deep Learning Approaches                                                                                                                                                                    implemenation of A Comparative Study of Speaker Role Identification in Air Traffic Communication Using Deep Learning Approaches
