Result of /data/leuven/370/vsc37064/new_queries_named_graph/query_8.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
workTitle                                                                         authorName                                                                        publicationDate
Multilateral Temporal-view Pyramid Transformer for Video Inpainting Detection                                                                                  Huiyu Zhou                                                                                  2024-04-17 00:00:00
Multilateral Temporal-view Pyramid Transformer for Video Inpainting Detection                                                                                  Jiaran Zhou                                                                                  2024-04-17 00:00:00
Short-term wind speed forecasting model based on an attention-gated recurrent neural network and error correction strategy                                                                                  Haojian Huang                                                                                  2024-04-17 00:00:00
Supervised Contrastive Vision Transformer for Breast Histopathological Image Classification                                                                                  Jiangwen Sun                                                                                  2024-04-17 00:00:00
Supervised Contrastive Vision Transformer for Breast Histopathological Image Classification                                                                                  Monalika Padma Reddy                                                                                  2024-04-17 00:00:00
Supervised Contrastive Vision Transformer for Breast Histopathological Image Classification                                                                                  Mohammad Shiri                                                                                  2024-04-17 00:00:00
Training Transformer Models by Wavelet Losses Improves Quantitative and Visual Performance in Single Image Super-Resolution                                                                                  A. Murat Tekalp                                                                                  2024-04-17 00:00:00
Training Transformer Models by Wavelet Losses Improves Quantitative and Visual Performance in Single Image Super-Resolution                                                                                  Cansu Korkmaz                                                                                  2024-04-17 00:00:00
TransLinkGuard: Safeguarding Transformer Models Against Model Stealing in Edge Deployment                                                                                  Zhiqiang Shen                                                                                  2024-04-17 00:00:00
TransLinkGuard: Safeguarding Transformer Models Against Model Stealing in Edge Deployment                                                                                  Jianwei Yin                                                                                  2024-04-17 00:00:00
TransLinkGuard: Safeguarding Transformer Models Against Model Stealing in Edge Deployment                                                                                  Tianyu Du                                                                                  2024-04-17 00:00:00
TransLinkGuard: Safeguarding Transformer Models Against Model Stealing in Edge Deployment                                                                                  Qinfeng Li                                                                                  2024-04-17 00:00:00
TransLinkGuard: Safeguarding Transformer Models Against Model Stealing in Edge Deployment                                                                                  Yangfan Xie                                                                                  2024-04-17 00:00:00
TransLinkGuard: Safeguarding Transformer Models Against Model Stealing in Edge Deployment                                                                                  Zhenghan Qin                                                                                  2024-04-17 00:00:00
TransLinkGuard: Safeguarding Transformer Models Against Model Stealing in Edge Deployment                                                                                  Xuhong Zhang                                                                                  2024-04-17 00:00:00
AGHINT: Attribute-Guided Representation Learning on Heterogeneous Information Networks with Transformer                                                                                  Jinhui Yuan                                                                                  2024-04-16 00:00:00
AGHINT: Attribute-Guided Representation Learning on Heterogeneous Information Networks with Transformer                                                                                  Jieyue He                                                                                  2024-04-16 00:00:00
AGHINT: Attribute-Guided Representation Learning on Heterogeneous Information Networks with Transformer                                                                                  Shan Lu                                                                                  2024-04-16 00:00:00
AGHINT: Attribute-Guided Representation Learning on Heterogeneous Information Networks with Transformer                                                                                  Peibo Duan                                                                                  2024-04-16 00:00:00
AV-GAN: Attention-Based Varifocal Generative Adversarial Network for Uneven Medical Image Translation                                                                                  Xiu Li                                                                                  2024-04-16 00:00:00
AV-GAN: Attention-Based Varifocal Generative Adversarial Network for Uneven Medical Image Translation                                                                                  Zijie Fang                                                                                  2024-04-16 00:00:00
AV-GAN: Attention-Based Varifocal Generative Adversarial Network for Uneven Medical Image Translation                                                                                  Zexin Li                                                                                  2024-04-16 00:00:00
AV-GAN: Attention-Based Varifocal Generative Adversarial Network for Uneven Medical Image Translation                                                                                  Yiyang Lin                                                                                  2024-04-16 00:00:00
AV-GAN: Attention-Based Varifocal Generative Adversarial Network for Uneven Medical Image Translation                                                                                  Shuyan Li                                                                                  2024-04-16 00:00:00
Advancing Long-Term Multi-Energy Load Forecasting with Patchformer: A Patch and Transformer-Based Approach                                                                                  Fanlin Meng                                                                                  2024-04-16 00:00:00
Advancing Long-Term Multi-Energy Load Forecasting with Patchformer: A Patch and Transformer-Based Approach                                                                                  Felipe Maldonado                                                                                  2024-04-16 00:00:00
Advancing Long-Term Multi-Energy Load Forecasting with Patchformer: A Patch and Transformer-Based Approach                                                                                  Qiuyi Hong                                                                                  2024-04-16 00:00:00
Anomaly Correction of Business Processes Using Transformer Autoencoder                                                                                  Ping Wu                                                                                  2024-04-16 00:00:00
Anomaly Correction of Business Processes Using Transformer Autoencoder                                                                                  Xianwen Fang                                                                                  2024-04-16 00:00:00
Anomaly Correction of Business Processes Using Transformer Autoencoder                                                                                  Ziyou Gong                                                                                  2024-04-16 00:00:00
Comprehensive Survey of Model Compression and Speed up for Vision Transformers                                                                                  Feiyang Chen                                                                                  2024-04-16 00:00:00
Comprehensive Survey of Model Compression and Speed up for Vision Transformers                                                                                  Ziqian Luo                                                                                  2024-04-16 00:00:00
Comprehensive Survey of Model Compression and Speed up for Vision Transformers                                                                                  Lisang Zhou                                                                                  2024-04-16 00:00:00
Comprehensive Survey of Model Compression and Speed up for Vision Transformers                                                                                  Xueting Pan                                                                                  2024-04-16 00:00:00
Comprehensive Survey of Model Compression and Speed up for Vision Transformers                                                                                  Ying Jiang                                                                                  2024-04-16 00:00:00
Gasformer: A Transformer-based Architecture for Segmenting Methane Emissions from Livestock in Optical Gas Imaging                                                                                  Khaled R Ahmed                                                                                  2024-04-16 00:00:00
Gasformer: A Transformer-based Architecture for Segmenting Methane Emissions from Livestock in Optical Gas Imaging                                                                                  Amer AbuGhazaleh                                                                                  2024-04-16 00:00:00
Gasformer: A Transformer-based Architecture for Segmenting Methane Emissions from Livestock in Optical Gas Imaging                                                                                  Mohamed G Embaby                                                                                  2024-04-16 00:00:00
Gasformer: A Transformer-based Architecture for Segmenting Methane Emissions from Livestock in Optical Gas Imaging                                                                                  Toqi Tahamid Sarker                                                                                  2024-04-16 00:00:00
Neuromorphic Vision-based Motion Segmentation with Graph Transformer Neural Network                                                                                  Sajid Javed                                                                                  2024-04-16 00:00:00
Neuromorphic Vision-based Motion Segmentation with Graph Transformer Neural Network                                                                                  Yahya Zweiri                                                                                  2024-04-16 00:00:00
Neuromorphic Vision-based Motion Segmentation with Graph Transformer Neural Network                                                                                  Rana Azzam                                                                                  2024-04-16 00:00:00
Neuromorphic Vision-based Motion Segmentation with Graph Transformer Neural Network                                                                                  Yusra Alkendi                                                                                  2024-04-16 00:00:00
Neuromorphic Vision-based Motion Segmentation with Graph Transformer Neural Network                                                                                  Lakmal Seneviratne                                                                                  2024-04-16 00:00:00
PreGSU-A Generalized Traffic Scene Understanding Model for Autonomous Driving based on Pre-trained Graph Attention Network                                                                                  Junkai Jiang                                                                                  2024-04-16 00:00:00
PreGSU-A Generalized Traffic Scene Understanding Model for Autonomous Driving based on Pre-trained Graph Attention Network                                                                                  Zhiyuan Liu                                                                                  2024-04-16 00:00:00
PreGSU-A Generalized Traffic Scene Understanding Model for Autonomous Driving based on Pre-trained Graph Attention Network                                                                                  Haotian Lin                                                                                  2024-04-16 00:00:00
PreGSU-A Generalized Traffic Scene Understanding Model for Autonomous Driving based on Pre-trained Graph Attention Network                                                                                  Jianqiang Wang                                                                                  2024-04-16 00:00:00
PreGSU-A Generalized Traffic Scene Understanding Model for Autonomous Driving based on Pre-trained Graph Attention Network                                                                                  Shaobing Xu                                                                                  2024-04-16 00:00:00
PreGSU-A Generalized Traffic Scene Understanding Model for Autonomous Driving based on Pre-trained Graph Attention Network                                                                                  Yuning Wang                                                                                  2024-04-16 00:00:00
Semantics-Aware Attention Guidance for Diagnosing Whole Slide Images                                                                                  Wenjun Wu                                                                                  2024-04-16 00:00:00
Semantics-Aware Attention Guidance for Diagnosing Whole Slide Images                                                                                  Joann G. Elmore                                                                                  2024-04-16 00:00:00
Semantics-Aware Attention Guidance for Diagnosing Whole Slide Images                                                                                  Linda G. Shapiro                                                                                  2024-04-16 00:00:00
Semantics-Aware Attention Guidance for Diagnosing Whole Slide Images                                                                                  Kechun Liu                                                                                  2024-04-16 00:00:00
