Result of /data/leuven/370/vsc37064/new_queries_named_graph/query_10.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
model                                                                             modelName
http://w3id.org/mlsea/pwc/model/Lipreading%20using%20Temporal%20Convolutional%20Networks/3D%20Conv%20%2B%20ResNet-18%20%2B%20MS-TCN                                                                                  3D Conv + ResNet-18 + MS-TCN
http://w3id.org/mlsea/pwc/model/Towards%20Practical%20Lipreading%20with%20Distilled%20and%20Efficient%20Models/3D%20Conv%20%2B%20ResNet-18%20%2B%20MS-TCN%20%2B%20KD%20%28Ensemble%29                                                                                  3D Conv + ResNet-18 + MS-TCN + KD (Ensemble)
http://w3id.org/mlsea/pwc/model/Distinguishing%20Homophenes%20Using%20Multi-Head%20Visual-Audio%20Memory%20for%20Lip%20Reading/3D%20Conv%20%2B%20ResNet-18%20%2B%20MS-TCN%20%2B%20Multi-Head%20Visual-Audio%20Memory                                                                                  3D Conv + ResNet-18 + MS-TCN + Multi-Head Visual-Audio Memory
http://w3id.org/mlsea/pwc/model/End-to-end%20Audiovisual%20Speech%20Recognition/3D%20Conv%20%2B%20ResNet-34%20%2B%20Bi-GRU                                                                                  3D Conv + ResNet-34 + Bi-GRU
http://w3id.org/mlsea/pwc/model/LRW-1000%3A%20A%20Naturally-Distributed%20Large-Scale%20Benchmark%20for%20Lip%20Reading%20in%20the%20Wild/3D%20Conv%20%2B%20ResNet-34%20%2B%20Bi-GRU                                                                                  3D Conv + ResNet-34 + Bi-GRU
http://w3id.org/mlsea/pwc/model/Combining%20Residual%20Networks%20with%20LSTMs%20for%20Lipreading/3D%20Conv%20%2B%20ResNet-34%20%2B%20Bi-LSTM                                                                                  3D Conv + ResNet-34 + Bi-LSTM
http://w3id.org/mlsea/pwc/model/Self-Supervised%20Video%20Representation%20Learning%20with%20Space-Time%20Cubic%20Puzzles/3D%20Cubic%20Puzzles%20%283D%20ResNet-18%29                                                                                  3D Cubic Puzzles (3D ResNet-18)
http://w3id.org/mlsea/pwc/model/AViD%20Dataset%3A%20Anonymized%20Videos%20from%20Diverse%20Countries/3D%20ResNet-50                                                                                  3D ResNet-50
http://w3id.org/mlsea/pwc/model/AViD%20Dataset%3A%20Anonymized%20Videos%20from%20Diverse%20Countries/3D%20ResNet-50%20%2B%20super-events%20pretrained%20on%20AViD                                                                                  3D ResNet-50 + super-events pretrained on AViD
http://w3id.org/mlsea/pwc/model/AViD%20Dataset%3A%20Anonymized%20Videos%20from%20Diverse%20Countries/3D%20ResNet-50%20pretrained%20on%20AViD                                                                                  3D ResNet-50 pretrained on AViD
http://w3id.org/mlsea/pwc/model/Self-Supervised%20Spatiotemporal%20Feature%20Learning%20via%20Video%20Rotation%20Prediction/3D%20RotNet%20%283D%20ResNet-18%29                                                                                  3D RotNet (3D ResNet-18)
http://w3id.org/mlsea/pwc/model/Learn%20an%20Effective%20Lip%20Reading%20Model%20without%20Pains/3D-ResNet%20%2B%20Bi-GRU%20%2B%20MixUp%20%2B%20Label%20Smooth%20%2B%20Cosine%20LR                                                                                  3D-ResNet + Bi-GRU + MixUp + Label Smooth + Cosine LR
http://w3id.org/mlsea/pwc/model/Learn%20an%20Effective%20Lip%20Reading%20Model%20without%20Pains/3D-ResNet%20%2B%20Bi-GRU%20%2B%20MixUp%20%2B%20Label%20Smooth%20%2B%20Cosine%20LR%20%28Word%20Boundary%29                                                                                  3D-ResNet + Bi-GRU + MixUp + Label Smooth + Cosine LR (Word Boundary)
http://w3id.org/mlsea/pwc/model/Learn%20an%20Effective%20Lip%20Reading%20Model%20without%20Pains/3D-ResNet%20%2B%20Bi-GRU%20%2B%20MixUp%20%2B%20Label%20Smoothing%20%2B%20Cosine%20LR                                                                                  3D-ResNet + Bi-GRU + MixUp + Label Smoothing + Cosine LR
http://w3id.org/mlsea/pwc/model/Learn%20an%20Effective%20Lip%20Reading%20Model%20without%20Pains/3D-ResNet%20%2B%20Bi-GRU%20%2B%20MixUp%20%2B%20Label%20Smoothing%20%2B%20Cosine%20LR%20%28Word%20Boundary%29                                                                                  3D-ResNet + Bi-GRU + MixUp + Label Smoothing + Cosine LR (Word Boundary)
http://w3id.org/mlsea/pwc/model/VideoMoCo%3A%20Contrastive%20Video%20Representation%20Learning%20with%20Temporally%20Adversarial%20Examples/3D-ResNet-18%20%28VideoMoCo%29                                                                                  3D-ResNet-18 (VideoMoCo)
http://w3id.org/mlsea/pwc/model/Multi-Task%20Learning%20for%20Audio%20Visual%20Active%20Speaker%20Detection/3D-ResNet-GRU                                                                                  3D-ResNet-GRU
http://w3id.org/mlsea/pwc/model/3D%20Magic%20Mirror%3A%20Clothing%20Reconstruction%20from%20a%20Single%20Image%20via%20a%20Causal%20Perspective/3DMagicMirror%20%28ResNet-ibn%29                                                                                  3DMagicMirror (ResNet-ibn)
http://w3id.org/mlsea/pwc/model/Skeleton%20based%20action%20recognition%20using%20translation-scale%20invariant%20image%20mapping%20and%20multi-scale%20deep%20cnn/3scale%20ResNet152                                                                                  3scale ResNet152
http://w3id.org/mlsea/pwc/model/%24A%5E2%24-Nets%3A%20Double%20Attention%20Networks/A2-Net%20%28ResNet-50%29                                                                                  A2-Net (ResNet-50)
http://w3id.org/mlsea/pwc/model/Architecture-Agnostic%20Masked%20Image%20Modeling%20--%20From%20ViT%20back%20to%20CNN/A2MIM%20%28ResNet-50%202x%29                                                                                  A2MIM (ResNet-50 2x)
http://w3id.org/mlsea/pwc/model/Architecture-Agnostic%20Masked%20Image%20Modeling%20--%20From%20ViT%20back%20to%20CNN/A2MIM%20%28ResNet-50%20RSB-A2%29                                                                                  A2MIM (ResNet-50 RSB-A2)
http://w3id.org/mlsea/pwc/model/Architecture-Agnostic%20Masked%20Image%20Modeling%20--%20From%20ViT%20back%20to%20CNN/A2MIM%20%28ResNet-50%20RSB-A3%29                                                                                  A2MIM (ResNet-50 RSB-A3)
http://w3id.org/mlsea/pwc/model/Architecture-Agnostic%20Masked%20Image%20Modeling%20--%20From%20ViT%20back%20to%20CNN/A2MIM%20%28ResNet-50%29                                                                                  A2MIM (ResNet-50)
http://w3id.org/mlsea/pwc/model/Architecture-Agnostic%20Masked%20Image%20Modeling%20--%20From%20ViT%20back%20to%20CNN/A2MIM%2B%20%28ResNet-50%20RSB-A2%29                                                                                  A2MIM+ (ResNet-50 RSB-A2)
http://w3id.org/mlsea/pwc/model/Architecture-Agnostic%20Masked%20Image%20Modeling%20--%20From%20ViT%20back%20to%20CNN/A2MIM%2B%20%28ResNet-50%20RSB-A3%29                                                                                  A2MIM+ (ResNet-50 RSB-A3)
http://w3id.org/mlsea/pwc/model/Attention-Based%20Adaptive%20Spectral-Spatial%20Kernel%20ResNet%20for%20Hyperspectral%20Image%20Classification/A2S2K-ResNet                                                                                  A2S2K-ResNet
http://w3id.org/mlsea/pwc/model/Attention%20Augmented%20Convolutional%20Networks/AA-ResNet-10%20%2B%20RetinaNet                                                                                  AA-ResNet-10 + RetinaNet
http://w3id.org/mlsea/pwc/model/Attention%20Augmented%20Convolutional%20Networks/AA-ResNet-152                                                                                  AA-ResNet-152
http://w3id.org/mlsea/pwc/model/Attention%20Augmented%20Convolutional%20Networks/AA-Wide-ResNet                                                                                  AA-Wide-ResNet
http://w3id.org/mlsea/pwc/model/Adaptive%20Affinity%20Fields%20for%20Semantic%20Segmentation/AAF%20%28ResNet-101%29                                                                                  AAF (ResNet-101)
http://w3id.org/mlsea/pwc/model/ABD-Net%3A%20Attentive%20but%20Diverse%20Person%20Re-Identification/ABD-Net%20%28ResNet-50%29                                                                                  ABD-Net (ResNet-50)
http://w3id.org/mlsea/pwc/model/Attention-guided%20Context%20Feature%20Pyramid%20Network%20for%20Object%20Detection/AC-FPN%20Cascade%20R-CNN%28ResNet-101%2C%20single%20scale%29                                                                                  AC-FPN Cascade R-CNN(ResNet-101, single scale)
http://w3id.org/mlsea/pwc/model/Adaptive%20Context%20Network%20for%20Scene%20Parsing/ACNet%20%28ResNet-101%29                                                                                  ACNet (ResNet-101)
http://w3id.org/mlsea/pwc/model/Adaptively%20Connected%20Neural%20Networks/ACNet%20%28ResNet-50%29                                                                                  ACNet (ResNet-50)
http://w3id.org/mlsea/pwc/model/ACNet%3A%20Attention%20Based%20Network%20to%20Exploit%20Complementary%20Features%20for%20RGBD%20Semantic%20Segmentation/ACNet%20%28ResNet50%29                                                                                  ACNet (ResNet50)
http://w3id.org/mlsea/pwc/model/Adaptive%20Context%20Network%20for%20Scene%20Parsing/ACNet%28ResNet-101%29                                                                                  ACNet(ResNet-101)
http://w3id.org/mlsea/pwc/model/Weakly%20Supervised%20Semantic%20Segmentation%20via%20Adversarial%20Learning%20of%20Classifier%20and%20Reconstructor/ACR%20%28DeepLabV1-ResNet38%29                                                                                  ACR (DeepLabV1-ResNet38)
http://w3id.org/mlsea/pwc/model/Weakly%20Supervised%20Semantic%20Segmentation%20via%20Adversarial%20Learning%20of%20Classifier%20and%20Reconstructor/ACR%28DeeplabV1-ResNet38%29                                                                                  ACR(DeeplabV1-ResNet38)
http://w3id.org/mlsea/pwc/model/All-pairs%20Consistency%20Learning%20for%20Weakly%20Supervised%20Semantic%20Segmentation/ACR-WSSS%28DeepLabV1-ResNet101%29                                                                                  ACR-WSSS(DeepLabV1-ResNet101)
http://w3id.org/mlsea/pwc/model/All-pairs%20Consistency%20Learning%20for%20Weakly%20Supervised%20Semantic%20Segmentation/ACR-WSSS%28DeepLabV2-ResNet101%29                                                                                  ACR-WSSS(DeepLabV2-ResNet101)
http://w3id.org/mlsea/pwc/model/Adaptive%20Early-Learning%20Correction%20for%20Segmentation%20from%20Noisy%20Annotations/ADELE%20%28DeepLabV1-ResNet38%29                                                                                  ADELE (DeepLabV1-ResNet38)
http://w3id.org/mlsea/pwc/model/Contrastive%20Video%20Representation%20Learning%20via%20Adversarial%20Perturbations/ADL%2BResNet%2BIDT                                                                                  ADL+ResNet+IDT
http://w3id.org/mlsea/pwc/model/Distilling%20the%20Knowledge%20in%20a%20Neural%20Network/ADLIK-MO%28T%3A%20ResNet101%20S%3A%20ResNet50%29                                                                                  ADLIK-MO(T: ResNet101 S: ResNet50)
http://w3id.org/mlsea/pwc/model/Ensemble%20Knowledge%20Distillation%20for%20Learning%20Improved%20and%20Efficient%20Networks/ADLIK-MO-P25%28T%3ASeNet154%2C%20ResNet152b%20S%3AResNet-50-prune25%25%29                                                                                  ADLIK-MO-P25(T:SeNet154, ResNet152b S:ResNet-50-prune25%)
http://w3id.org/mlsea/pwc/model/Ensemble%20Knowledge%20Distillation%20for%20Learning%20Improved%20and%20Efficient%20Networks/ADLIK-MO-P375%28T%3ASeNet154%2C%20ResNet152b%20S%3AResNet-50-prune37.5%29                                                                                  ADLIK-MO-P375(T:SeNet154, ResNet152b S:ResNet-50-prune37.5)
http://w3id.org/mlsea/pwc/model/Ensemble%20Knowledge%20Distillation%20for%20Learning%20Improved%20and%20Efficient%20Networks/ADLIK-MO-P50%28T%3ASeNet154%2C%20ResNet152b%20S%3AResNet-50-half%29                                                                                  ADLIK-MO-P50(T:SeNet154, ResNet152b S:ResNet-50-half)
http://w3id.org/mlsea/pwc/model/Learned%20Step%20Size%20Quantization/ADLIK-MO-ResNet50%2BW3A4                                                                                  ADLIK-MO-ResNet50+W3A4
http://w3id.org/mlsea/pwc/model/Learned%20Step%20Size%20Quantization/ADLIK-MO-ResNet50%2BW4A4                                                                                  ADLIK-MO-ResNet50+W4A4
http://w3id.org/mlsea/pwc/model/Learned%20Step%20Size%20Quantization/ADLIK-MO-ResNet50-W3A4                                                                                  ADLIK-MO-ResNet50-W3A4
http://w3id.org/mlsea/pwc/model/Learned%20Step%20Size%20Quantization/ADLIK-MO-ResNet50-W4A4                                                                                  ADLIK-MO-ResNet50-W4A4
http://w3id.org/mlsea/pwc/model/ADVENT%3A%20Adversarial%20Entropy%20Minimization%20for%20Domain%20Adaptation%20in%20Semantic%20Segmentation/ADVENT%20%28ResNet-101%29                                                                                  ADVENT (ResNet-101)
http://w3id.org/mlsea/pwc/model/Semi-Supervised%20Semantic%20Segmentation%20via%20Adaptive%20Equalization%20Learning/AEL%20%28DeepLab%20v3%2B%20with%20ResNet-101%20pretraind%20on%20ImageNet-1K%29                                                                                  AEL (DeepLab v3+ with ResNet-101 pretraind on ImageNet-1K)
http://w3id.org/mlsea/pwc/model/Show%2C%20Attend%20and%20Distill%3AKnowledge%20Distillation%20via%20Attention-based%20Feature%20Matching/AFD%20%28T%3A%20ResNet-34%20S%3AResNet-18%29                                                                                  AFD (T: ResNet-34 S:ResNet-18)
http://w3id.org/mlsea/pwc/model/Deep%20Learning%20for%20Person%20Re-identification%3A%20A%20Survey%20and%20Outlook/AGW%20%28ResNet-50%29                                                                                  AGW (ResNet-50)
http://w3id.org/mlsea/pwc/model/Fine-Grained%20Age%20Estimation%20in%20the%20wild%20with%20Attention%20LSTM%20Networks/AL-ResNets-34%20%2B%20IMDB-WIKI                                                                                  AL-ResNets-34 + IMDB-WIKI
http://w3id.org/mlsea/pwc/model/Attention-based%20Dual%20Supervised%20Decoder%20for%20RGBD%20Semantic%20Segmentation/AMF%20%28ResNet-50%29                                                                                  AMF (ResNet-50)
http://w3id.org/mlsea/pwc/model/Threshold%20Matters%20in%20WSSS%3A%20Manipulating%20the%20Activation%20for%20the%20Robust%20and%20Accurate%20Segmentation%20Model%20Against%20Thresholds/AMN%20%28DeepLabV2-ResNet101%29                                                                                  AMN (DeepLabV2-ResNet101)
http://w3id.org/mlsea/pwc/model/Threshold%20Matters%20in%20WSSS%3A%20Manipulating%20the%20Activation%20for%20the%20Robust%20and%20Accurate%20Segmentation%20Model%20Against%20Thresholds/AMN%20%28DeepLabV2-ResNet101%2C%20MS-COCO-pretrained%20weights%29                                                                                  AMN (DeepLabV2-ResNet101, MS-COCO-pretrained weights)
http://w3id.org/mlsea/pwc/model/AmsterTime%3A%20A%20Visual%20Place%20Recognition%20Benchmark%20Dataset%20for%20Severe%20Domain%20Shift/AP-GeM%20%28ResNet-101%29                                                                                  AP-GeM (ResNet-101)
http://w3id.org/mlsea/pwc/model/APANet%3A%20Adaptive%20Prototypes%20Alignment%20Network%20for%20Few-Shot%20Semantic%20Segmentation/APANet%20%28ResNet-101%29                                                                                  APANet (ResNet-101)
http://w3id.org/mlsea/pwc/model/APANet%3A%20Adaptive%20Prototypes%20Alignment%20Network%20for%20Few-Shot%20Semantic%20Segmentation/APANet%20%28ResNet-50%29                                                                                  APANet (ResNet-50)
http://w3id.org/mlsea/pwc/model/Person%20Re-identification%20via%20Attention%20Pyramid/APNet-C%28ResNet50%29                                                                                  APNet-C(ResNet50)
http://w3id.org/mlsea/pwc/model/Amplitude-Phase%20Recombination%3A%20Rethinking%20Robustness%20of%20Convolutional%20Neural%20Networks%20in%20Frequency%20Domain/APR-SP%20%28ResNet-50%29                                                                                  APR-SP (ResNet-50)
http://w3id.org/mlsea/pwc/model/Amplitude-Phase%20Recombination%3A%20Rethinking%20Robustness%20of%20Convolutional%20Neural%20Networks%20in%20Frequency%20Domain/APR-SP%20%2B%20DeepAugment%20%28ResNet-50%29                                                                                  APR-SP + DeepAugment (ResNet-50)
http://w3id.org/mlsea/pwc/model/Reformulating%20HOI%20Detection%20as%20Adaptive%20Set%20Prediction/AS-Net%20%28ResNet50%29                                                                                  AS-Net (ResNet50)
http://w3id.org/mlsea/pwc/model/Adaptive%20Prototype%20Learning%20and%20Allocation%20for%20Few-Shot%20Segmentation/ASGNet%20%28ResNet-101%29                                                                                  ASGNet (ResNet-101)
http://w3id.org/mlsea/pwc/model/Adaptive%20Prototype%20Learning%20and%20Allocation%20for%20Few-Shot%20Segmentation/ASGNet%20%28ResNet-50%29                                                                                  ASGNet (ResNet-50)
http://w3id.org/mlsea/pwc/model/Extremely%20Simple%20Activation%20Shaping%20for%20Out-of-Distribution%20Detection/ASH-S%20%28ResNet-50%29                                                                                  ASH-S (ResNet-50)
http://w3id.org/mlsea/pwc/model/HM%3A%20Hybrid%20Masking%20for%20Few-Shot%20Segmentation/ASNet%20%28HM%2C%20ResNet-101%29                                                                                  ASNet (HM, ResNet-101)
http://w3id.org/mlsea/pwc/model/HM%3A%20Hybrid%20Masking%20for%20Few-Shot%20Segmentation/ASNet%20%28HM%2C%20ResNet-50%29                                                                                  ASNet (HM, ResNet-50)
http://w3id.org/mlsea/pwc/model/Anti-aliasing%20Semantic%20Reconstruction%20for%20Few-Shot%20Semantic%20Segmentation/ASR%20%28ResNet-50%29                                                                                  ASR (ResNet-50)
http://w3id.org/mlsea/pwc/model/EASY%3A%20Ensemble%20Augmented-Shot%20Y-shaped%20Learning%3A%20State-Of-The-Art%20Few-Shot%20Classification%20with%20Simple%20Ingredients/ASY%20ResNet12%20%28inductive%29                                                                                  ASY ResNet12 (inductive)
http://w3id.org/mlsea/pwc/model/EASY%3A%20Ensemble%20Augmented-Shot%20Y-shaped%20Learning%3A%20State-Of-The-Art%20Few-Shot%20Classification%20with%20Simple%20Ingredients/ASY%20ResNet12%20%28ours%29                                                                                  ASY ResNet12 (ours)
http://w3id.org/mlsea/pwc/model/EASY%3A%20Ensemble%20Augmented-Shot%20Y-shaped%20Learning%3A%20State-Of-The-Art%20Few-Shot%20Classification%20with%20Simple%20Ingredients/ASY%20ResNet12%20%28transductive%29                                                                                  ASY ResNet12 (transductive)
http://w3id.org/mlsea/pwc/model/Paying%20More%20Attention%20to%20Attention%3A%20Improving%20the%20Performance%20of%20Convolutional%20Neural%20Networks%20via%20Attention%20Transfer/AT%20%28T%3A%20ResNet-34%20S%3AResNet-18%29                                                                                  AT (T: ResNet-34 S:ResNet-18)
http://w3id.org/mlsea/pwc/model/Energy-Based%20Models%20for%20Deep%20Probabilistic%20Regression/ATOM%28Resnet18%29%2BEnergyRegression                                                                                  ATOM(Resnet18)+EnergyRegression
http://w3id.org/mlsea/pwc/model/Bridging%20the%20Gap%20Between%20Anchor-based%20and%20Anchor-free%20Detection%20via%20Adaptive%20Training%20Sample%20Selection/ATSS%20%28ResNet-50%29                                                                                  ATSS (ResNet-50)
http://w3id.org/mlsea/pwc/model/Deep%20Residual%20Learning%20for%20Image%20Recognition/ATSS%20%28ResNet-50%29                                                                                  ATSS (ResNet-50)
http://w3id.org/mlsea/pwc/model/Bridging%20the%20Gap%20Between%20Anchor-based%20and%20Anchor-free%20Detection%20via%20Adaptive%20Training%20Sample%20Selection/ATSS%20%28ResNetXt-64x4d-101%2BDCN%2Cmulti-scale%29                                                                                  ATSS (ResNetXt-64x4d-101+DCN,multi-scale)
http://w3id.org/mlsea/pwc/model/AUCO%20ResNet%3A%20an%20end-to-end%20network%20for%20Covid-19%20pre-screening%20from%20cough%20and%20breath/AUCO%20ResNet                                                                                  AUCO ResNet
http://w3id.org/mlsea/pwc/model/AUCO%20ResNet%3A%20an%20end-to-end%20network%20for%20Covid-19%20pre-screening%20from%20cough%20and%20breath/AUCO%20ResNet%20-%20NO%20TRANSFER%20%2F%20NO%20DATA%20AUGMENTATION                                                                                  AUCO ResNet - NO TRANSFER / NO DATA AUGMENTATION
http://w3id.org/mlsea/pwc/model/Attention-guided%20Unified%20Network%20for%20Panoptic%20Segmentation/AUNet%20%28ResNet-101-FPN%29                                                                                  AUNet (ResNet-101-FPN)
http://w3id.org/mlsea/pwc/model/Attention-guided%20Unified%20Network%20for%20Panoptic%20Segmentation/AUNet%20%28ResNet-152-FPN%29                                                                                  AUNet (ResNet-152-FPN)
http://w3id.org/mlsea/pwc/model/Ada-Segment%3A%20Automated%20Multi-loss%20Adaptation%20for%20Panoptic%20Segmentation/Ada-Segment%20%28ResNet-101-DCN%29                                                                                  Ada-Segment (ResNet-101-DCN)
http://w3id.org/mlsea/pwc/model/Adaptive%20Methods%20for%20Aggregated%20Domain%20Generalization/AdaClust%20%28ResNet-50%29                                                                                  AdaClust (ResNet-50)
http://w3id.org/mlsea/pwc/model/Adaptive%20Methods%20for%20Aggregated%20Domain%20Generalization/AdaClust%20%28ResNet-50%2C%20SWAD%29                                                                                  AdaClust (ResNet-50, SWAD)
http://w3id.org/mlsea/pwc/model/AdaptIS%3A%20Adaptive%20Instance%20Selection%20Network/AdaptIS%20%28ResNet-101%29                                                                                  AdaptIS (ResNet-101)
http://w3id.org/mlsea/pwc/model/AdaptIS%3A%20Adaptive%20Instance%20Selection%20Network/AdaptIS%20%28ResNet-50%29                                                                                  AdaptIS (ResNet-50)
http://w3id.org/mlsea/pwc/model/Adaptive%20Distillation%3A%20Aggregating%20Knowledge%20from%20Multiple%20Paths%20for%20Efficient%20Distillation/Adaptive%20%28T%3AResNet-50%20S%3AResNet-18%29                                                                                  Adaptive (T:ResNet-50 S:ResNet-18)
http://w3id.org/mlsea/pwc/model/Adaptive%20NMS%3A%20Refining%20Pedestrian%20Detection%20in%20a%20Crowd/Adaptive%20NMS%20%28Faster%20RCNN%2C%20ResNet50%29                                                                                  Adaptive NMS (Faster RCNN, ResNet50)
http://w3id.org/mlsea/pwc/model/Anti-Adversarially%20Manipulated%20Attributions%20for%20Weakly%20and%20Semi-Supervised%20Semantic%20Segmentation/AdvCAM%20%28DeepLabV2-ResNet101%29                                                                                  AdvCAM (DeepLabV2-ResNet101)
http://w3id.org/mlsea/pwc/model/Aerial-PASS%3A%20Panoramic%20Annular%20Scene%20Segmentation%20in%20Drone%20Videos/Aerial-PASS%20%28ResNet-18%29                                                                                  Aerial-PASS (ResNet-18)
http://w3id.org/mlsea/pwc/model/Affordance%20Grounding%20from%20Demonstration%20Video%20to%20Target%20Image/Afformer%20%28ResNet-50-FPN%20encoder%29                                                                                  Afformer (ResNet-50-FPN encoder)
http://w3id.org/mlsea/pwc/model/Anchor3DLane%3A%20Learning%20to%20Regress%203D%20Anchors%20for%20Monocular%203D%20Lane%20Detection/Anchor3DLane%20%28ResNet-18%29                                                                                  Anchor3DLane (ResNet-18)
http://w3id.org/mlsea/pwc/model/Self-supervised%20Few-shot%20Learning%20for%20Semantic%20Segmentation%3A%20An%20Annotation-free%20Approach/Annotation-free%20FSS%20%28With%20Annotation%2CResNet-50%29                                                                                  Annotation-free FSS (With Annotation,ResNet-50)
http://w3id.org/mlsea/pwc/model/Self-supervised%20Few-shot%20Learning%20for%20Semantic%20Segmentation%3A%20An%20Annotation-free%20Approach/Annotation-free%20FSS%20%28Without%20Annotation%2CResNet-50%29                                                                                  Annotation-free FSS (Without Annotation,ResNet-50)
http://w3id.org/mlsea/pwc/model/Compounding%20the%20Performance%20Improvements%20of%20Assembled%20Techniques%20in%20a%20Convolutional%20Neural%20Network/Assemble%20ResNet-50                                                                                  Assemble ResNet-50
http://w3id.org/mlsea/pwc/model/Compounding%20the%20Performance%20Improvements%20of%20Assembled%20Techniques%20in%20a%20Convolutional%20Neural%20Network/Assemble-ResNet                                                                                  Assemble-ResNet
http://w3id.org/mlsea/pwc/model/Compounding%20the%20Performance%20Improvements%20of%20Assembled%20Techniques%20in%20a%20Convolutional%20Neural%20Network/Assemble-ResNet-FGVC-50                                                                                  Assemble-ResNet-FGVC-50
http://w3id.org/mlsea/pwc/model/Compounding%20the%20Performance%20Improvements%20of%20Assembled%20Techniques%20in%20a%20Convolutional%20Neural%20Network/Assemble-ResNet152                                                                                  Assemble-ResNet152
http://w3id.org/mlsea/pwc/model/Learning%20Deep%20Multimodal%20Feature%20Representation%20with%20Asymmetric%20Multi-layer%20Fusion/AsymFusion%20%28ResNet-152%29                                                                                  AsymFusion (ResNet-152)
http://w3id.org/mlsea/pwc/model/Lane%20Detection%20with%20Versatile%20AtrousFormer%20and%20Local%20Semantic%20Guidance/AtrousFormer%28ResNet-18%29                                                                                  AtrousFormer(ResNet-18)
http://w3id.org/mlsea/pwc/model/Lane%20Detection%20with%20Versatile%20AtrousFormer%20and%20Local%20Semantic%20Guidance/AtrousFormer%28ResNet-34%29                                                                                  AtrousFormer(ResNet-34)
http://w3id.org/mlsea/pwc/model/Look%20into%20Person%3A%20Self-supervised%20Structure-sensitive%20Learning%20and%20A%20New%20Benchmark%20for%20Human%20Parsing/Attention%2BSSL%20%28ResNet-101%29                                                                                  Attention+SSL (ResNet-101)
