Result of /data/leuven/370/vsc37064/new_queries_named_graph/query_25.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
softwareName                                                                      requirement
A Block-Based Adaptive Decoupling Framework for Graph Neural Networks software                                                                                  pytorch
A Blockchain-based Decentralized Federated Learning Framework with Committee Consensus software                                                                                  pytorch
A Bonus-Malus Framework for Cyber Risk Insurance and Optimal Cybersecurity Provisioning software                                                                                  none
A Bootstrap-based Inference Framework for Testing Similarity of Paired Networks software                                                                                  none
A Bregman Learning Framework for Sparse Neural Networks software                                                                                  pytorch
A Byzantine Fault-Tolerant Consensus Library for Hyperledger Fabric software                                                                                  none
A CNN Based Framework for Unistroke Numeral Recognition in Air-Writing software                                                                                  tf
A CNN with Noise Inclined Module and Denoise Framework for Hyperspectral Image Classification software                                                                                  pytorch
A CNN-RNN Framework for Crop Yield Prediction software                                                                                  tf
A CPG-Based Agile and Versatile Locomotion Framework Using Proximal Symmetry Loss software                                                                                  pytorch
A Cascaded Multi-Task Generative Framework for Detecting Aortic Dissection on 3D Non-contrast-enhanced Computed Tomography software                                                                                  pytorch
A Case Study in CUDA Kernel Fusion: Implementing FlashAttention-2 on NVIDIA Hopper Architecture using the CUTLASS Library software                                                                                  none
A Categorical Framework for Modeling with Stock and Flow Diagrams software                                                                                  none
A Causal Framework for Observational Studies of Discrimination software                                                                                  none
A Causal Framework to Quantify the Robustness of Mathematical Reasoning with Language Models software                                                                                  pytorch
A Certified Radius-Guided Attack Framework to Image Segmentation Models software                                                                                  pytorch
A Chance Constraint Predictive Control and Estimation Framework for Spacecraft Descent with Field Of View Constraints software                                                                                  none
A Circuit Domain Generalization Framework for Efficient Logic Synthesis in Chip Design software                                                                                  pytorch
A Cloud-based Deep Learning Framework for Early Detection of Pushing at Crowded Event Entrances software                                                                                  pytorch
A Clustering Framework for Lexical Normalization of Roman Urdu software                                                                                  none
A Clustering Framework for Residential Electric Demand Profiles software                                                                                  none
A Clustering Framework for Unsupervised and Semi-supervised New Intent Discovery software                                                                                  pytorch
A Clustering-based Framework for Classifying Data Streams software                                                                                  none
A Co-Design Framework of Neural Networks and Quantum Circuits Towards Quantum Advantage software                                                                                  pytorch
A Coarse-to-Fine Labeling Framework for Joint Word Segmentation, POS Tagging, and Constituent Parsing software                                                                                  pytorch
A Coarse-to-Fine Pseudo-Labeling (C2FPL) Framework for Unsupervised Video Anomaly Detection software                                                                                  pytorch
A Commonsense Reasoning Framework for Explanatory Emotion Attribution, Generation and Re-classification software                                                                                  none
A Commonsense-Infused Language-Agnostic Learning Framework for Enhancing Prediction of Political Polarity in Multilingual News Headlines software                                                                                  tf
A Community-Aware Framework for Social Influence Maximization software                                                                                  none
A Comparative Analysis of Object Detection Metrics with a Companion Open-Source Toolkit software                                                                                  tf
A Comparative Analysis of Object Detection Metrics with a Companion Open-Source Toolkit software                                                                                  none
A Comparative Attention Framework for Better Few-Shot Object Detection on Aerial Images software                                                                                  pytorch
A Comparative Measurement Study of Deep Learning as a Service Framework software                                                                                  tf
A Comparative Visual Analytics Framework for Evaluating Evolutionary Processes in Multi-objective Optimization software                                                                                  none
A Comparison of Reinforcement Learning Frameworks for Software Testing Tasks software                                                                                  tf
A Compiler Framework for Optimizing Dynamic Parallelism on GPUs software                                                                                  none
A Comprehensive End-to-End Computer Vision Framework for Restoration and Recognition of Low-Quality Engineering Drawings software                                                                                  none
A Comprehensive Framework for the Evaluation of Individual Treatment Rules From Observational Data software                                                                                  none
A Comprehensive Physics-Informed Machine Learning Framework for Predictive Turbulence Modeling software                                                                                  none
A Comprehensive Python Library for Deep Learning-Based Event Detection in Multivariate Time Series Data and Information Retrieval in NLP software                                                                                  tf
A Comprehensive Python Library for Deep Learning-Based Event Detection in Multivariate Time Series Data and Information Retrieval in NLP software                                                                                  none
A Comprehensive and Cross-Platform Test Suite for Memory Safety -- Towards an Open Framework for Testing Processor Hardware Supported Security Extensions software                                                                                  none
A Comprehensive and Modularized Statistical Framework for Gradient Norm Equality in Deep Neural Networks software                                                                                  pytorch
A Computational Framework for Behavioral Assessment of LLM Therapists software                                                                                  none
A Computational Framework for Slang Generation software                                                                                  pytorch
A Computational Framework for Solving Wasserstein Lagrangian Flows software                                                                                  jax
A Computational Model of the Institutional Analysis and Development Framework software                                                                                  none
A Conceptual Bio-Inspired Framework for the Evolution of Artificial General Intelligence software                                                                                  none
A Conceptual Framework for Evaluating Fairness in Search software                                                                                  none
A Configurable Library for Generating and Manipulating Maze Datasets software                                                                                  pytorch
A Conflict-Based Search Framework for Multi-Objective Multi-Agent Path Finding software                                                                                  none
A Constraint Enforcement Deep Reinforcement Learning Framework for Optimal Energy Storage Systems Dispatch software                                                                                  none
A Context-Aware Feature Fusion Framework for Punctuation Restoration software                                                                                  jax
A Context-aware Delayed Agglomeration Framework for Electron Microscopy Segmentation software                                                                                  none
A Continuous Action Space Tree search for INverse desiGn (CASTING) Framework for Materials Discovery software                                                                                  none
A Continuous Time Framework for Discrete Denoising Models software                                                                                  pytorch
A Contrastive Cross-Channel Data Augmentation Framework for Aspect-based Sentiment Analysis software                                                                                  pytorch
A Contrastive Framework for Neural Text Generation software                                                                                  pytorch
A Contrastive Knowledge Transfer Framework for Model Compression and Transfer Learning software                                                                                  pytorch
A Convergent ADMM Framework for Efficient Neural Network Training software                                                                                  tf
A Convex Framework for Confounding Robust Inference software                                                                                  pytorch
A Convex Framework for Fair Regression software                                                                                  tf
A Cooperative Multi-Agent Reinforcement Learning Framework for Resource Balancing in Complex Logistics Network software                                                                                  pytorch
A Cooperative-Competitive Multi-Agent Framework for Auto-bidding in Online Advertising software                                                                                  pytorch
A Corrected Score Function Framework for Modelling Circadian Gene Expression software                                                                                  none
A Cost-Effective Framework for Preference Elicitation and Aggregation software                                                                                  none
A Credibility-aware Swarm-Federated Deep Learning Framework in Internet of Vehicles software                                                                                  pytorch
A DICOM Framework for Machine Learning Pipelines against Real-Time Radiology Images software                                                                                  none
A DNN Framework for Learning Lagrangian Drift With Uncertainty software                                                                                  pytorch
A DPLL(T) Framework for Verifying Deep Neural Networks software                                                                                  pytorch
A DPLL(T) Framework for Verifying Deep Neural Networks software                                                                                  none
A DRL-based Multiagent Cooperative Control Framework for CAV Networks: a Graphic Convolution Q Network software                                                                                  tf
A Data-Centric Framework for Composable NLP Workflows software                                                                                  none
A Data-Centric Optimization Framework for Machine Learning software                                                                                  pytorch
A Data-Efficient Deep Learning Framework for Segmentation and Classification of Histopathology Images software                                                                                  pytorch
A Data-centric Framework for Improving Domain-specific Machine Reading Comprehension Datasets software                                                                                  none
A Data-driven Multi-fidelity Physics-informed Learning Framework for Smart Manufacturing: A Composites Processing Case Study software                                                                                  tf
A Data-efficient Framework for Robotics Large-scale LiDAR Scene Parsing software                                                                                  pytorch
A Dataset and Evaluation Framework for Complex Geographical Description Parsing software                                                                                  none
A Decentralized Federated Learning Framework via Committee Mechanism with Convergence Guarantee software                                                                                  pytorch
A Decentralized Framework for Kernel PCA with Projection Consensus Constraints software                                                                                  none
A Decentralized Framework for Serverless Edge Computing in the Internet of Things software                                                                                  none
A Decentralized Primal-Dual Framework for Non-convex Smooth Consensus Optimization software                                                                                  pytorch
A Decision Making Framework for Recommended Maintenance of Road Segments software                                                                                  none
A Decision-Theoretic Approach for Model Interpretability in Bayesian Framework software                                                                                  none
A Declarative Goal-oriented Framework for Smart Environments with LPaaS software                                                                                  none
A Decoupled Spatio-Temporal Framework for Skeleton-based Action Segmentation software                                                                                  pytorch
A Deductive Verification Framework for Circuit-building Quantum Programs software                                                                                  none
A Deep Generative Framework for Paraphrase Generation software                                                                                  pytorch
A Deep Instance Generative Framework for MILP Solvers Under Limited Data Availability software                                                                                  pytorch
A Deep Knowledge Distillation framework for EEG assisted enhancement of single-lead ECG based sleep staging software                                                                                  pytorch
A Deep Learning Based Analysis-Synthesis Framework For Unison Singing software                                                                                  tf
A Deep Learning Based Automatic Defect Analysis Framework for In-situ TEM Ion Irradiations software                                                                                  tf
A Deep Learning Ensemble Framework for Off-Nadir Geocentric Pose Prediction software                                                                                  none
A Deep Learning Framework for Assessing Physical Rehabilitation Exercises software                                                                                  none
A Deep Learning Framework for Disentangling Triangle Singularity and Pole-Based Enhancements software                                                                                  none
A Deep Learning Framework for Verilog Autocompletion Towards Design and Verification Automation software                                                                                  pytorch
A Deep Learning Framework for Wind Turbine Repair Action Prediction Using Alarm Sequences and Long Short Term Memory Algorithms software                                                                                  none
A Deep Learning Framework to Reconstruct Face under Mask software                                                                                  none
A Deep Learning-Based Framework for Low Complexity Multi-User MIMO Precoding Design software                                                                                  tf
A Deep Neural Framework for Continuous Sign Language Recognition by Iterative Training software                                                                                  pytorch
A Deep Reinforcement Learning Framework for the Financial Portfolio Management Problem software                                                                                  pytorch
A Deep Reinforcement Learning Framework for the Financial Portfolio Management Problem software                                                                                  tf
A Deep Reinforcement Learning Framework for the Financial Portfolio Management Problem software                                                                                  none
A Degeneracy Framework for Scalable Graph Autoencoders software                                                                                  tf
A Dense Representation Framework for Lexical and Semantic Matching software                                                                                  jax
A Developer-Friendly Library for Smart Home IoT Privacy-Preserving Traffic Obfuscation software                                                                                  none
A Diffusion Weighted Graph Framework for New Intent Discovery software                                                                                  pytorch
A Diffusion Weighted Graph Framework for New Intent Discovery software                                                                                  none
A Dilated Residual Hierarchically Fashioned Segmentation Framework for Extracting Gleason Tissues and Grading Prostate Cancer from Whole Slide Images software                                                                                  tf
A Discontinuous Galerkin Solver in the FLASH Multi-Physics Framework software                                                                                  none
A Discrepancy Aware Framework for Robust Anomaly Detection software                                                                                  pytorch
A Distance-Aware Multi-Task Framework for Conversational Discourse Parsing software                                                                                  pytorch
A Distributed Artificial Intelligence Framework to Evolve Infrastructure Resilience in Telecommunications Sector software                                                                                  none
A Distributed Fair Machine Learning Framework with Private Demographic Data Protection software                                                                                  none
A Distributed Framework to Orchestrate Video Analytics Applications software                                                                                  tf
A Distributed Frank-Wolfe Framework for Learning Low-Rank Matrices with the Trace Norm software                                                                                  none
A Distributed Optimization Framework to Regulate the Electricity Consumption of a Residential Neighborhood software                                                                                  none
A Distributed Trust Framework for Privacy-Preserving Machine Learning software                                                                                  none
A Domain-Theoretic Framework for Robustness Analysis of Neural Networks software                                                                                  pytorch
A Double-Graph Based Framework for Frame Semantic Parsing software                                                                                  pytorch
A Dual Ascent Framework for Lagrangean Decomposition of Combinatorial Problems software                                                                                  none
A Dual Reinforcement Learning Framework for Unsupervised Text Style Transfer software                                                                                  tf
A Dual-Augmentor Framework for Domain Generalization in 3D Human Pose Estimation software                                                                                  pytorch
A Dual-Channel Framework for Sarcasm Recognition by Detecting Sentiment Conflict software                                                                                  pytorch
A Dual-way Enhanced Framework from Text Matching Point of View for Multimodal Entity Linking software                                                                                  pytorch
A Dynamic Graph Interactive Framework with Label-Semantic Injection for Spoken Language Understanding software                                                                                  pytorch
A Dynamic Response Recovery Framework Using Ambient Synchrophasor Data software                                                                                  none
A Efficient Multimodal Framework for Large Scale Emotion Recognition by Fusing Music and Electrodermal Activity Signals software                                                                                  pytorch
A Facial Expression-Aware Multimodal Multi-task Learning Framework for Emotion Recognition in Multi-party Conversations software                                                                                  pytorch
A Fast Geometric Regularizer to Mitigate Event Collapse in the Contrast Maximization Framework software                                                                                  none
A Fast Knowledge Distillation Framework for Visual Recognition software                                                                                  pytorch
A Fast Post-Training Pruning Framework for Transformers software                                                                                  pytorch
A Fast Task Offloading Optimization Framework for IRS-Assisted Multi-Access Edge Computing System software                                                                                  pytorch
A Fast Training-Free Compression Framework for Vision Transformers software                                                                                  pytorch
A Feasible Framework for Arbitrary-Shaped Scene Text Recognition software                                                                                  tf
A Feature Reuse Framework with Texture-adaptive Aggregation for Reference-based Super-Resolution software                                                                                  pytorch
A First-Order Algorithmic Framework for Distributionally Robust Logistic Regression software                                                                                  none
A First-Order Algorithmic Framework for Wasserstein Distributionally Robust Logistic Regression software                                                                                  none
A Flexible Framework for Anomaly Detection via Dimensionality Reduction software                                                                                  tf
A Flexible Framework for Designing Trainable Priors with Adaptive Smoothing and Game Encoding software                                                                                  pytorch
A Flexible Generative Framework for Graph-based Semi-supervised Learning software                                                                                  pytorch
A Flexible Optimization Framework for Regularized Matrix-Tensor Factorizations with Linear Couplings software                                                                                  none
A Flexible and Intelligent Framework for Remote Health Monitoring Dashboards software                                                                                  none
A Focusing Framework for Testing Bi-Directional Causal Effects with GWAS Summary Data software                                                                                  none
A Forward and Backward Compatible Framework for Few-shot Class-incremental Pill Recognition software                                                                                  none
A Fourier-based Framework for Domain Generalization software                                                                                  pytorch
A Framework For Contrastive Self-Supervised Learning And Designing A New Approach software                                                                                  pytorch
A Framework For Sharing Publicly Available Data To Inform The COVID-19 Outbreak in Africa: A South African Case Study software                                                                                  none
A Framework and Benchmark for Deep Batch Active Learning for Regression software                                                                                  pytorch
A Framework and a python-package for Real-time NMPC parameters settings software                                                                                  none
A Framework for Auditable Synthetic Data Generation software                                                                                  none
A Framework for Authorial Clustering of Shorter Texts in Latent Semantic Spaces software                                                                                  none
A Framework for Automated Cellular Network Tuning with Reinforcement Learning software                                                                                  tf
A Framework for Automated Cellular Network Tuning with Reinforcement Learning software                                                                                  none
A Framework for Bidirectional Decoding: Case Study in Morphological Inflection software                                                                                  pytorch
A Framework for Bidirectional Decoding: Case Study in Morphological Inflection software                                                                                  none
A Framework for Blockchain Interoperability and Runtime Selection software                                                                                  none
A Framework for Checkpointing and Recovery of Hierarchical Cyber-Physical Systems software                                                                                  none
A Framework for Clustering Uncertain Data software                                                                                  none
A Framework for Constrained and Adaptive Behavior-Based Agents software                                                                                  none
A Framework for Controllable Pareto Front Learning with Completed Scalarization Functions and its Applications software                                                                                  pytorch
A Framework for Covariate Balance using Bregman Distances software                                                                                  none
A Framework for Deep Constrained Clustering -- Algorithms and Advances software                                                                                  pytorch
A Framework for Deep Constrained Clustering software                                                                                  pytorch
A Framework for Democratizing AI software                                                                                  tf
A Framework for Designing Efficient Deep Learning-Based Genomic Basecallers software                                                                                  pytorch
A Framework for Designing Efficient Deep Learning-Based Genomic Basecallers software                                                                                  none
A Framework for Easing the Development of Applications Embedding Answer Set Programming software                                                                                  none
A Framework for Efficient Memory Utilization in Online Conformance Checking software                                                                                  none
A Framework for End-to-End Evaluation of 5G mmWave Cellular Networks in ns-3 software                                                                                  none
A Framework for End-to-End Learning on Semantic Tree-Structured Data software                                                                                  pytorch
A Framework for Energy and Carbon Footprint Analysis of Distributed and Federated Edge Learning software                                                                                  tf
A Framework for Enhancing Deep Neural Networks Against Adversarial Malware software                                                                                  tf
A Framework for Evaluating 6-DOF Object Trackers software                                                                                  pytorch
A Framework for Evaluating Gradient Leakage Attacks in Federated Learning software                                                                                  pytorch
A Framework for Evaluating Post Hoc Feature-Additive Explainers software                                                                                  tf
A Framework for Evaluation of Composite Memento Temporal Coherence software                                                                                  none
A Framework for Evaluation of Machine Reading Comprehension Gold Standards software                                                                                  none
A Framework for Event-based Computer Vision on a Mobile Device software                                                                                  none
A Framework for Explainable Concept Drift Detection in Process Mining software                                                                                  none
A Framework for Extracting and Encoding Features from Object-Centric Event Data software                                                                                  none
A Framework for Fast Image Deconvolution with Incomplete Observations software                                                                                  none
A Framework for Fast Polarity Labelling of Massive Data Streams software                                                                                  none
A Framework for Fast and Stable Representations of Multiparameter Persistent Homology Decompositions software                                                                                  pytorch
A Framework for Few-Shot Policy Transfer through Observation Mapping and Behavior Cloning software                                                                                  pytorch
A Framework for Fine-Grained Synchronization of Dependent GPU Kernels software                                                                                  pytorch
A Framework for General Sparse Matrix-Matrix Multiplication on GPUs and Heterogeneous Processors software                                                                                  none
A Framework for Generalization and Transportation of Causal Estimates Under Covariate Shift software                                                                                  none
A Framework for Generating Diverse Haskell-IO Exercise Tasks software                                                                                  none
A Framework for Generating Informative Benchmark Instances software                                                                                  none
A Framework for High-throughput Sequence Alignment using Real Processing-in-Memory Systems software                                                                                  none
A Framework for Identifying Depression on Social Media: MentalRiskES@IberLEF 2023 software                                                                                  pytorch
A Framework for Imbalanced Time-series Forecasting software                                                                                  tf
A Framework for Inherently Interpretable Optimization Models software                                                                                  none
A Framework for Integrating Gesture Generation Models into Interactive Conversational Agents software                                                                                  none
A Framework for Interdomain and Multioutput Gaussian Processes software                                                                                  tf
A Framework for Large Scale Synthetic Graph Dataset Generation software                                                                                  tf
A Framework for Learning Ante-hoc Explainable Models via Concepts software                                                                                  pytorch
A Framework for Learning Behavior Trees in Collaborative Robotic Applications software                                                                                  none
A Framework for Learning Predator-prey Agents from Simulation to Real World software                                                                                  pytorch
A Framework for Learning from Demonstration with Minimal Human Effort software                                                                                  pytorch
A Framework for Mediation Analysis with Multiple Exposures, Multivariate Mediators, and Non-Linear Response Models software                                                                                  none
A Framework for Modeling, Analyzing, and Decision-Making in Disease Spread Dynamics and Medicine/Vaccine Distribution software                                                                                  none
A Framework for Modelling, Verification and Transformation of Concurrent Imperative Programs software                                                                                  none
A Framework for Multisensory Foresight for Embodied Agents software                                                                                  pytorch
A Framework for Neural Network Pruning Using Gibbs Distributions software                                                                                  tf
A Framework for Neural Topic Modeling of Text Corpora software                                                                                  none
A Framework for Neurosymbolic Robot Action Planning using Large Language Models software                                                                                  none
A Framework for Online Investment Algorithms software                                                                                  none
A Framework for Parallel and Distributed Training of Neural Networks software                                                                                  none
A Framework for Practical Parallel Fast Matrix Multiplication software                                                                                  none
A Framework for Prescribed-Time Control Design via Time-Scale Transformation software                                                                                  none
A Framework for Real-World Multi-Robot Systems Running Decentralized GNN-Based Policies software                                                                                  pytorch
A Framework for Real-World Multi-Robot Systems Running Decentralized GNN-Based Policies software                                                                                  none
A Framework for Recommending Accurate and Diverse ItemsUsing Bayesian Graph Convolutional Neural Networks software                                                                                  mindspore
A Framework for Risk Assessment and Optimal Line Upgrade Selection to Mitigate Wildfire Risk software                                                                                  none
A Framework for Sample Efficient Interval Estimation with Control Variates software                                                                                  none
A Framework for Scalable Ambient Air Pollution Concentration Estimation software                                                                                  none
A Framework for Statistical Inference via Randomized Algorithms software                                                                                  none
A Framework for Supervised Heterogeneous Transfer Learning using Dynamic Distribution Adaptation and Manifold Regularization software                                                                                  none
A Framework for Synthetic Power System Dynamics software                                                                                  none
A Framework for Understanding Selection Bias in Real-World Healthcare Data software                                                                                  none
A Framework for Understanding and Visualizing Strategies of RL Agents software                                                                                  none
A Framework for Visually Realistic Multi-robot Simulation in Natural Environment software                                                                                  none
A Framework for the Construction of Generative Models for Mesoscale Structure in Multilayer Networks software                                                                                  none
A Framework for the Design and Realization of Alternative Superconducting Quantum Architectures software                                                                                  none
A Framework for the Quantitative Evaluation of Disentangled Representations software                                                                                  tf
A Framework for the Robust Evaluation of Sound Event Detection software                                                                                  pytorch
A Framework for the Robust Evaluation of Sound Event Detection software                                                                                  tf
A Framework for the Robust Evaluation of Sound Event Detection software                                                                                  none
A Framework of Data Assimilation for Wind Flow Fields by Physics-informed Neural Networks software                                                                                  pytorch
A Framework of Dynamic Data Structures for String Processing software                                                                                  none
A Framework of Inertial Alternating Direction Method of Multipliers for Non-Convex Non-Smooth Optimization software                                                                                  none
A Framework of Transfer Learning in Object Detection for Embedded Systems software                                                                                  tf
A Framework to Assess Knowledge Graphs Accountability software                                                                                  none
A Framework to Enhance Generalization of Deep Metric Learning methods using General Discriminative Feature Learning and Class Adversarial Neural Networks software                                                                                  pytorch
A Framework to Evaluate Independent Component Analysis applied to EEG signal: testing on the Picard algorithm software                                                                                  none
A Framework to Formulate Pathfinding Problems for Quantum Computing software                                                                                  none
A Framework to Generate High-Quality Datapoints for Multiple Novel Intent Detection software                                                                                  tf
A Framework to Generate Neurosymbolic PDDL-compliant Planners software                                                                                  none
A Framework to Learn with Interpretation software                                                                                  pytorch
A Frank-Wolfe Framework for Efficient and Effective Adversarial Attacks software                                                                                  tf
A Frank-Wolfe Framework for Efficient and Effective Adversarial Attacks software                                                                                  none
A Full-Image Full-Resolution End-to-End-Trainable CNN Framework for Image Forgery Detection software                                                                                  pytorch
A Full-Stack Open-Source Framework for Antenna and Beamforming Evaluation in mmWave 5G NR software                                                                                  none
A Fully Adaptive DRO Multistage Framework Based on MDR for Generation Scheduling under Uncertainty software                                                                                  none
A Fully-automatic Side-scan Sonar SLAM Framework software                                                                                  none
A Fundamental Probabilistic Fuzzy Logic Framework Suitable for Causal Reasoning software                                                                                  none
A Fused Gromov-Wasserstein Framework for Unsupervised Knowledge Graph Entity Alignment software                                                                                  pytorch
A GNN-Guided Predict-and-Search Framework for Mixed-Integer Linear Programming software                                                                                  pytorch
A GPU accelerated mixed-precision Smoothed Particle Hydrodynamics framework with cell-based relative coordinates software                                                                                  none
A Game Generative Network Framework with its Application to Relationship Inference software                                                                                  none
A Game-Theoretic Framework for Joint Forecasting and Planning software                                                                                  pytorch
A Game-Theoretic Framework for Multi-Period-Multi-Company Demand Response Management in the Smart Grid software                                                                                  none
A General Benchmarking Framework for Text Generation software                                                                                  none
A General Cardinality Estimation Framework for Subgraph Matching in Property Graphs software                                                                                  none
A General Contextualized Rewriting Framework for Text Summarization software                                                                                  pytorch
A General Deep Learning Framework for Network Reconstruction and Dynamics Learning software                                                                                  pytorch
A General Descent Aggregation Framework for Gradient-based Bi-level Optimization software                                                                                  tf
A General Framework Combining Generative Adversarial Networks and Mixture Density Networks for Inverse Modeling in Microstructural Materials Design software                                                                                  tf
A General Framework For Detecting Anomalous Inputs to DNN Classifiers software                                                                                  pytorch
A General Framework for Abstention Under Label Shift software                                                                                  none
A General Framework for Adversarial Examples with Objectives software                                                                                  pytorch
A General Framework for Adversarial Examples with Objectives software                                                                                  tf
A General Framework for Adversarial Examples with Objectives software                                                                                  none
A General Framework for Constrained Bayesian Optimization using Information-based Search software                                                                                  none
A General Framework for Empirical Bayes Estimation in Discrete Linear Exponential Family software                                                                                  none
A General Framework for Equivariant Neural Networks on Reductive Lie Groups software                                                                                  none
A General Framework for Implicit and Explicit Debiasing of Distributional Word Vector Spaces software                                                                                  tf
A General Framework for Implicit and Explicit Debiasing of Distributional Word Vector Spaces software                                                                                  none
A General Framework for Information Extraction using Dynamic Span Graphs software                                                                                  pytorch
A General Framework for Information Extraction using Dynamic Span Graphs software                                                                                  tf
A General Framework for Learning from Weak Supervision software                                                                                  pytorch
A General Framework for Lifelong Localization and Mapping in Changing Environment software                                                                                  tf
A General Framework for Multivariate Functional Principal Component Analysis of Amplitude and Phase Variation software                                                                                  none
A General Framework for Pairwise Unbiased Learning to Rank software                                                                                  none
A General Framework for Removing Point Spread Function Additive Systematics in Cosmological Weak Lensing Analysis software                                                                                  none
A General Framework for Robust G-Invariance in G-Equivariant Networks software                                                                                  pytorch
A General Framework for Robust G-Invariance in G-Equivariant Networks software                                                                                  none
A General Framework for Structured Learning of Mechanical Systems software                                                                                  pytorch
A General Framework for Survival Analysis and Multi-State Modelling software                                                                                  pytorch
A General Framework for Symmetric Property Estimation software                                                                                  none
A General Framework for Uncertainty Estimation in Deep Learning software                                                                                  pytorch
A General Framework for User-Guided Bayesian Optimization software                                                                                  pytorch
A General Framework for Visualizing Embedding Spaces of Neural Survival Analysis Models Based on Angular Information software                                                                                  pytorch
A General Framework for the Parametrization of Hierarchical Models software                                                                                  none
A General Framework for the Practical Disintegration of PAC-Bayesian Bounds software                                                                                  pytorch
A General Framework of Learning Multi-Vehicle Interaction Patterns from Videos software                                                                                  none
A General Learning Framework for Open Ad Hoc Teamwork Using Graph-based Policy Learning software                                                                                  pytorch
A General Machine Learning Framework for Survival Analysis software                                                                                  none
A General Optimization Framework for Dynamic Time Warping software                                                                                  none
A General Optimization Framework for Multi-Document Summarization Using Genetic Algorithms and Swarm Intelligence software                                                                                  none
A General Optimization-based Framework for Global Pose Estimation with Multiple Sensors software                                                                                  none
A General Optimization-based Framework for Local Odometry Estimation with Multiple Sensors software                                                                                  none
A Generalist Framework for Panoptic Segmentation of Images and Videos software                                                                                  tf
A Generalizable Physics-informed Learning Framework for Risk Probability Estimation software                                                                                  none
A Generalized Deep Learning Framework for Whole-Slide Image Segmentation and Analysis software                                                                                  tf
A Generalized Framework for Edge-preserving and Structure-preserving Image Smoothing software                                                                                  none
