Result of /data/leuven/370/vsc37064/new_queries_named_graph_pwc/query_37.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
workTitle                                                                         authorName                                                                        implementationName
Deep Learning-Assisted Co-registration of Full-Spectral Autofluorescence Lifetime Microscopic Images with H&E-Stained Histology Images                                                                                  Gareth O. S. Williams                                                                                  implemenation of Deep Learning-Assisted Co-registration of Full-Spectral Autofluorescence Lifetime Microscopic Images with H&E-Stained Histology Images
Deep Learning-Assisted Co-registration of Full-Spectral Autofluorescence Lifetime Microscopic Images with H&E-Stained Histology Images                                                                                  James R. Hopgood                                                                                  implemenation of Deep Learning-Assisted Co-registration of Full-Spectral Autofluorescence Lifetime Microscopic Images with H&E-Stained Histology Images
AstroVision: Towards Autonomous Feature Detection and Description for Missions to Small Bodies Using Deep Learning                                                                                  Travis Driver                                                                                  implemenation of AstroVision: Towards Autonomous Feature Detection and Description for Missions to Small Bodies Using Deep Learning
Brightfield vs Fluorescent Staining Dataset–A Test Bed Image Set for Machine Learning based Virtual Staining                                                                                  Airat R. Kayumov                                                                                  implemenation of Brightfield vs Fluorescent Staining Dataset–A Test Bed Image Set for Machine Learning based Virtual Staining
Brightfield vs Fluorescent Staining Dataset–A Test Bed Image Set for Machine Learning based Virtual Staining                                                                                  Dmitrii I. Kaplun                                                                                  implemenation of Brightfield vs Fluorescent Staining Dataset–A Test Bed Image Set for Machine Learning based Virtual Staining
Brightfield vs Fluorescent Staining Dataset–A Test Bed Image Set for Machine Learning based Virtual Staining                                                                                  Pavel V. Zelenikhin                                                                                  implemenation of Brightfield vs Fluorescent Staining Dataset–A Test Bed Image Set for Machine Learning based Virtual Staining
A Novel Approach For Generating Customizable Light Field Datasets for Machine Learning                                                                                  Julia Huang                                                                                  implemenation of A Novel Approach For Generating Customizable Light Field Datasets for Machine Learning
Brightfield vs Fluorescent Staining Dataset–A Test Bed Image Set for Machine Learning based Virtual Staining                                                                                  Asya I. Lyanova                                                                                  implemenation of Brightfield vs Fluorescent Staining Dataset–A Test Bed Image Set for Machine Learning based Virtual Staining
Brightfield vs Fluorescent Staining Dataset–A Test Bed Image Set for Machine Learning based Virtual Staining                                                                                  Diana R. Baidamshina                                                                                  implemenation of Brightfield vs Fluorescent Staining Dataset–A Test Bed Image Set for Machine Learning based Virtual Staining
Brightfield vs Fluorescent Staining Dataset–A Test Bed Image Set for Machine Learning based Virtual Staining                                                                                  Elena Y. Trizna                                                                                  implemenation of Brightfield vs Fluorescent Staining Dataset–A Test Bed Image Set for Machine Learning based Virtual Staining
Aerial Imagery Pile burn detection using Deep Learning: the FLAME dataset                                                                                  Abolfazl Razi                                                                                  implemenation of Aerial Imagery Pile burn detection using Deep Learning: the FLAME dataset
Aerial Imagery Pile burn detection using Deep Learning: the FLAME dataset                                                                                  Erik Blasch                                                                                  implemenation of Aerial Imagery Pile burn detection using Deep Learning: the FLAME dataset
Aerial Imagery Pile burn detection using Deep Learning: the FLAME dataset                                                                                  Fatemeh Afghah                                                                                  implemenation of Aerial Imagery Pile burn detection using Deep Learning: the FLAME dataset
Challenges in Representation Learning: A report on three machine learning contests                                                                                  Chetan Ramaiah                                                                                  implemenation of Challenges in Representation Learning: A report on three machine learning contests
Challenges in Representation Learning: A report on three machine learning contests                                                                                  David Thaler                                                                                  implemenation of Challenges in Representation Learning: A report on three machine learning contests
Challenges in Representation Learning: A report on three machine learning contests                                                                                  Dimitris Athanasakis                                                                                  implemenation of Challenges in Representation Learning: A report on three machine learning contests
Challenges in Representation Learning: A report on three machine learning contests                                                                                  Fangxiang Feng                                                                                  implemenation of Challenges in Representation Learning: A report on three machine learning contests
Deep Learning to Segment Pelvic Bones: Large-scale CT Datasets and Baseline Models                                                                                  Feng Gu                                                                                  implemenation of Deep Learning to Segment Pelvic Bones: Large-scale CT Datasets and Baseline Models
Brain-Score: Which Artificial Neural Network for Object Recognition is most Brain-Like?                                                                                  James J. DiCarlo                                                                                  implemenation of Brain-Score: Which Artificial Neural Network for Object Recognition is most Brain-Like?
Challenges in Representation Learning: A report on three machine learning contests                                                                                  Ruifan Li                                                                                  implemenation of Challenges in Representation Learning: A report on three machine learning contests
Challenges in Representation Learning: A report on three machine learning contests                                                                                  Will Cukierski                                                                                  implemenation of Challenges in Representation Learning: A report on three machine learning contests
Challenges in Representation Learning: A report on three machine learning contests                                                                                  Zhang Chuang                                                                                  implemenation of Challenges in Representation Learning: A report on three machine learning contests
CodeXGLUE: A Machine Learning Benchmark Dataset for Code Understanding and Generation                                                                                  Alexey Svyatkovskiy                                                                                  implemenation of CodeXGLUE: A Machine Learning Benchmark Dataset for Code Understanding and Generation
Deep Learning to Segment Pelvic Bones: Large-scale CT Datasets and Baseline Models                                                                                  Heqin Zhu                                                                                  implemenation of Deep Learning to Segment Pelvic Bones: Large-scale CT Datasets and Baseline Models
Blockchain-Federated-Learning and Deep Learning Models for COVID-19 detection using CT Imaging                                                                                  Jay Kumar                                                                                  implemenation of Blockchain-Federated-Learning and Deep Learning Models for COVID-19 detection using CT Imaging
Complex reaction processes in combustion unraveled by neural network-based molecular dynamics simulation                                                                                  Jinzhe Zeng                                                                                  implemenation of Complex reaction processes in combustion unraveled by neural network-based molecular dynamics simulation
Complex reaction processes in combustion unraveled by neural network-based molecular dynamics simulation                                                                                  Liqun Cao                                                                                  implemenation of Complex reaction processes in combustion unraveled by neural network-based molecular dynamics simulation
Complex reaction processes in combustion unraveled by neural network-based molecular dynamics simulation                                                                                  Mingyuan Xu                                                                                  implemenation of Complex reaction processes in combustion unraveled by neural network-based molecular dynamics simulation
Adapting Deep Learning for Sentiment Classification of Code-Switched Informal Short Text                                                                                  Muhammad Haroon Shakeel                                                                                  implemenation of Adapting Deep Learning for Sentiment Classification of Code-Switched Informal Short Text
'Garbage In, Garbage Out' Revisited: What Do Machine Learning Application Papers Report About Human-Labeled Training Data?                                                                                  Rebekah Tang                                                                                  implemenation of 'Garbage In, Garbage Out' Revisited: What Do Machine Learning Application Papers Report About Human-Labeled Training Data?
CodeXGLUE: A Machine Learning Benchmark Dataset for Code Understanding and Generation                                                                                  Shengyu Fu                                                                                  implemenation of CodeXGLUE: A Machine Learning Benchmark Dataset for Code Understanding and Generation
Automating Botnet Detection with Graph Neural Networks                                                                                  Zhiying Xu                                                                                  implemenation of Automating Botnet Detection with Graph Neural Networks
Automatic code generation from sketches of mobile applications in end-user development using Deep Learning                                                                                  Aldo von Wangenheim                                                                                  implemenation of Automatic code generation from sketches of mobile applications in end-user development using Deep Learning
Deep Learning for Image-based Automatic Dial Meter Reading: Dataset and Baselines                                                                                  Gabriel Salomon                                                                                  implemenation of Deep Learning for Image-based Automatic Dial Meter Reading: Dataset and Baselines
Deep Learning to Segment Pelvic Bones: Large-scale CT Datasets and Baseline Models                                                                                  Pengbo Liu                                                                                  implemenation of Deep Learning to Segment Pelvic Bones: Large-scale CT Datasets and Baseline Models
Chickenpox Cases in Hungary: a Benchmark Dataset for Spatiotemporal Signal Processing with Graph Neural Networks                                                                                  Oliver Kiss                                                                                  implemenation of Chickenpox Cases in Hungary: a Benchmark Dataset for Spatiotemporal Signal Processing with Graph Neural Networks
A Machine Learning Surrogate Modeling Benchmark for Temperature Field Reconstruction of Heat-Source Systems                                                                                  Wen Yao                                                                                  implemenation of A Machine Learning Surrogate Modeling Benchmark for Temperature Field Reconstruction of Heat-Source Systems
A Sim2Real Deep Learning Approach for the Transformation of Images from Multiple Vehicle-Mounted Cameras to a Semantically Segmented Image in Bird's Eye View                                                                                  Bastian Lampe                                                                                  implemenation of A Sim2Real Deep Learning Approach for the Transformation of Images from Multiple Vehicle-Mounted Cameras to a Semantically Segmented Image in Bird's Eye View
A Sim2Real Deep Learning Approach for the Transformation of Images from Multiple Vehicle-Mounted Cameras to a Semantically Segmented Image in Bird's Eye View                                                                                  Lennart Reiher                                                                                  implemenation of A Sim2Real Deep Learning Approach for the Transformation of Images from Multiple Vehicle-Mounted Cameras to a Semantically Segmented Image in Bird's Eye View
CodeXGLUE: A Machine Learning Benchmark Dataset for Code Understanding and Generation                                                                                  Shao Kun Deng                                                                                  implemenation of CodeXGLUE: A Machine Learning Benchmark Dataset for Code Understanding and Generation
A Machine Learning Surrogate Modeling Benchmark for Temperature Field Reconstruction of Heat-Source Systems                                                                                  Weien Zhou                                                                                  implemenation of A Machine Learning Surrogate Modeling Benchmark for Temperature Field Reconstruction of Heat-Source Systems
Deep Learning to Segment Pelvic Bones: Large-scale CT Datasets and Baseline Models                                                                                  Yuanqi Du                                                                                  implemenation of Deep Learning to Segment Pelvic Bones: Large-scale CT Datasets and Baseline Models
Brain-Score: Which Artificial Neural Network for Object Recognition is most Brain-Like?                                                                                  Franziska Geiger                                                                                  implemenation of Brain-Score: Which Artificial Neural Network for Object Recognition is most Brain-Like?
