Result of /data/leuven/370/vsc37064/new_queries_named_graph_join_order/query_32.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
characteristicName                                                                featureCount
FCFP6_1024_147 data-type                                                                                  1083
FCFP6_1024_147 number of missing values                                                                                  1083
FCFP6_1024_14 data-type                                                                                  1083
FCFP6_1024_14 number of missing values                                                                                  1083
FCFP6_1024_149 data-type                                                                                  1083
FCFP6_1024_150 data-type                                                                                  1083
FCFP6_1024_150 number of missing values                                                                                  1083
FCFP6_1024_152 data-type                                                                                  1083
FCFP6_1024_153 number of missing values                                                                                  1083
FCFP6_1024_155 data-type                                                                                  1083
FCFP6_1024_155 number of missing values                                                                                  1083
FCFP6_1024_156 data-type                                                                                  1083
FCFP6_1024_156 number of missing values                                                                                  1083
FCFP6_1024_157 data-type                                                                                  1083
FCFP6_1024_157 number of missing values                                                                                  1083
FCFP6_1024_158 data-type                                                                                  1083
FCFP6_1024_158 number of missing values                                                                                  1083
FCFP6_1024_159 data-type                                                                                  1083
FCFP6_1024_159 number of missing values                                                                                  1083
FCFP6_1024_161 data-type                                                                                  1083
FCFP6_1024_161 number of missing values                                                                                  1083
FCFP6_1024_162 data-type                                                                                  1083
FCFP6_1024_162 number of missing values                                                                                  1083
FCFP6_1024_163 number of missing values                                                                                  1083
FCFP6_1024_165 data-type                                                                                  1083
FCFP6_1024_165 number of missing values                                                                                  1083
FCFP6_1024_166 data-type                                                                                  1083
FCFP6_1024_166 number of missing values                                                                                  1083
FCFP6_1024_167 data-type                                                                                  1083
FCFP6_1024_167 number of missing values                                                                                  1083
FCFP6_1024_16 data-type                                                                                  1083
FCFP6_1024_169 data-type                                                                                  1083
FCFP6_1024_169 number of missing values                                                                                  1083
FCFP6_1024_170 number of missing values                                                                                  1083
FCFP6_1024_171 data-type                                                                                  1083
FCFP6_1024_174 data-type                                                                                  1083
FCFP6_1024_174 number of missing values                                                                                  1083
FCFP6_1024_175 number of missing values                                                                                  1083
FCFP6_1024_176 data-type                                                                                  1083
FCFP6_1024_176 number of missing values                                                                                  1083
FCFP6_1024_181 data-type                                                                                  1083
FCFP6_1024_181 number of missing values                                                                                  1083
FCFP6_1024_182 data-type                                                                                  1083
FCFP6_1024_184 data-type                                                                                  1083
FCFP6_1024_184 number of missing values                                                                                  1083
FCFP6_1024_186 data-type                                                                                  1083
FCFP6_1024_186 number of missing values                                                                                  1083
FCFP6_1024_18 number of missing values                                                                                  1083
FCFP6_1024_189 data-type                                                                                  1083
FCFP6_1024_189 number of missing values                                                                                  1083
FCFP6_1024_190 number of missing values                                                                                  1083
FCFP6_1024_191 data-type                                                                                  1083
FCFP6_1024_191 number of missing values                                                                                  1083
FCFP6_1024_193 data-type                                                                                  1083
FCFP6_1024_193 number of missing values                                                                                  1083
FCFP6_1024_196 number of missing values                                                                                  1083
FCFP6_1024_197 data-type                                                                                  1083
FCFP6_1024_1 data-type                                                                                  1083
FCFP6_1024_1 number of missing values                                                                                  1083
FCFP6_1024_199 number of missing values                                                                                  1083
FCFP6_1024_200 data-type                                                                                  1083
FCFP6_1024_201 data-type                                                                                  1083
FCFP6_1024_201 number of missing values                                                                                  1083
FCFP6_1024_204 number of missing values                                                                                  1083
FCFP6_1024_205 data-type                                                                                  1083
FCFP6_1024_205 number of missing values                                                                                  1083
FCFP6_1024_207 data-type                                                                                  1083
FCFP6_1024_207 number of missing values                                                                                  1083
FCFP6_1024_208 data-type                                                                                  1083
FCFP6_1024_209 number of missing values                                                                                  1083
FCFP6_1024_211 number of missing values                                                                                  1083
FCFP6_1024_212 data-type                                                                                  1083
FCFP6_1024_212 number of missing values                                                                                  1083
FCFP6_1024_213 data-type                                                                                  1083
FCFP6_1024_216 data-type                                                                                  1083
FCFP6_1024_217 number of missing values                                                                                  1083
FCFP6_1024_21 data-type                                                                                  1083
FCFP6_1024_21 number of missing values                                                                                  1083
FCFP6_1024_219 data-type                                                                                  1083
FCFP6_1024_221 data-type                                                                                  1083
FCFP6_1024_221 number of missing values                                                                                  1083
FCFP6_1024_222 data-type                                                                                  1083
FCFP6_1024_222 number of missing values                                                                                  1083
FCFP6_1024_223 data-type                                                                                  1083
FCFP6_1024_223 number of missing values                                                                                  1083
FCFP6_1024_224 data-type                                                                                  1083
FCFP6_1024_224 number of missing values                                                                                  1083
FCFP6_1024_226 data-type                                                                                  1083
FCFP6_1024_226 number of missing values                                                                                  1083
FCFP6_1024_227 data-type                                                                                  1083
FCFP6_1024_227 number of missing values                                                                                  1083
FCFP6_1024_229 data-type                                                                                  1083
FCFP6_1024_231 data-type                                                                                  1083
FCFP6_1024_231 number of missing values                                                                                  1083
FCFP6_1024_232 data-type                                                                                  1083
FCFP6_1024_232 number of missing values                                                                                  1083
FCFP6_1024_233 data-type                                                                                  1083
FCFP6_1024_233 number of missing values                                                                                  1083
FCFP6_1024_238 data-type                                                                                  1083
FCFP6_1024_23 data-type                                                                                  1083
FCFP6_1024_239 number of missing values                                                                                  1083
FCFP6_1024_240 number of missing values                                                                                  1083
FCFP6_1024_241 number of missing values                                                                                  1083
FCFP6_1024_242 number of missing values                                                                                  1083
FCFP6_1024_246 number of missing values                                                                                  1083
FCFP6_1024_247 number of missing values                                                                                  1083
FCFP6_1024_248 data-type                                                                                  1083
FCFP6_1024_248 number of missing values                                                                                  1083
FCFP6_1024_24 number of missing values                                                                                  1083
FCFP6_1024_249 data-type                                                                                  1083
FCFP6_1024_249 number of missing values                                                                                  1083
FCFP6_1024_251 data-type                                                                                  1083
FCFP6_1024_253 number of missing values                                                                                  1083
FCFP6_1024_254 data-type                                                                                  1083
FCFP6_1024_254 number of missing values                                                                                  1083
FCFP6_1024_256 data-type                                                                                  1083
FCFP6_1024_256 number of missing values                                                                                  1083
FCFP6_1024_257 data-type                                                                                  1083
FCFP6_1024_257 number of missing values                                                                                  1083
FCFP6_1024_259 data-type                                                                                  1083
FCFP6_1024_260 data-type                                                                                  1083
FCFP6_1024_260 number of missing values                                                                                  1083
FCFP6_1024_261 number of missing values                                                                                  1083
FCFP6_1024_262 data-type                                                                                  1083
FCFP6_1024_262 number of missing values                                                                                  1083
FCFP6_1024_263 number of missing values                                                                                  1083
FCFP6_1024_265 number of missing values                                                                                  1083
FCFP6_1024_267 data-type                                                                                  1083
FCFP6_1024_267 number of missing values                                                                                  1083
FCFP6_1024_269 data-type                                                                                  1083
FCFP6_1024_269 number of missing values                                                                                  1083
FCFP6_1024_270 data-type                                                                                  1083
FCFP6_1024_270 number of missing values                                                                                  1083
FCFP6_1024_271 data-type                                                                                  1083
FCFP6_1024_271 number of missing values                                                                                  1083
FCFP6_1024_273 data-type                                                                                  1083
FCFP6_1024_275 data-type                                                                                  1083
FCFP6_1024_275 number of missing values                                                                                  1083
FCFP6_1024_277 number of missing values                                                                                  1083
FCFP6_1024_1006 data-type                                                                                  1083
FCFP6_1024_1007 number of missing values                                                                                  1083
FCFP6_1024_1011 number of missing values                                                                                  1083
FCFP6_1024_1014 number of missing values                                                                                  1083
FCFP6_1024_1015 data-type                                                                                  1083
FCFP6_1024_1019 data-type                                                                                  1083
FCFP6_1024_102 data-type                                                                                  1083
FCFP6_1024_102 number of missing values                                                                                  1083
FCFP6_1024_107 number of missing values                                                                                  1083
FCFP6_1024_112 number of missing values                                                                                  1083
FCFP6_1024_119 data-type                                                                                  1083
FCFP6_1024_119 number of missing values                                                                                  1083
FCFP6_1024_120 number of missing values                                                                                  1083
FCFP6_1024_124 number of missing values                                                                                  1083
FCFP6_1024_125 number of missing values                                                                                  1083
FCFP6_1024_127 number of missing values                                                                                  1083
FCFP6_1024_128 number of missing values                                                                                  1083
FCFP6_1024_131 data-type                                                                                  1083
FCFP6_1024_134 number of missing values                                                                                  1083
FCFP6_1024_135 data-type                                                                                  1083
FCFP6_1024_13 data-type                                                                                  1083
FCFP6_1024_142 data-type                                                                                  1083
FCFP6_1024_142 number of missing values                                                                                  1083
FCFP6_1024_145 number of missing values                                                                                  1083
FCFP6_1024_149 number of missing values                                                                                  1083
FCFP6_1024_152 number of missing values                                                                                  1083
FCFP6_1024_153 data-type                                                                                  1083
FCFP6_1024_163 data-type                                                                                  1083
FCFP6_1024_16 number of missing values                                                                                  1083
FCFP6_1024_170 data-type                                                                                  1083
FCFP6_1024_171 number of missing values                                                                                  1083
FCFP6_1024_175 data-type                                                                                  1083
FCFP6_1024_17 data-type                                                                                  1083
FCFP6_1024_17 number of missing values                                                                                  1083
FCFP6_1024_182 number of missing values                                                                                  1083
FCFP6_1024_18 data-type                                                                                  1083
FCFP6_1024_190 data-type                                                                                  1083
FCFP6_1024_196 data-type                                                                                  1083
FCFP6_1024_197 number of missing values                                                                                  1083
FCFP6_1024_199 data-type                                                                                  1083
FCFP6_1024_200 number of missing values                                                                                  1083
FCFP6_1024_204 data-type                                                                                  1083
FCFP6_1024_208 number of missing values                                                                                  1083
FCFP6_1024_209 data-type                                                                                  1083
FCFP6_1024_211 data-type                                                                                  1083
FCFP6_1024_213 number of missing values                                                                                  1083
FCFP6_1024_215 data-type                                                                                  1083
FCFP6_1024_215 number of missing values                                                                                  1083
FCFP6_1024_216 number of missing values                                                                                  1083
FCFP6_1024_217 data-type                                                                                  1083
FCFP6_1024_219 number of missing values                                                                                  1083
FCFP6_1024_225 data-type                                                                                  1083
FCFP6_1024_225 number of missing values                                                                                  1083
FCFP6_1024_229 number of missing values                                                                                  1083
FCFP6_1024_238 number of missing values                                                                                  1083
FCFP6_1024_23 number of missing values                                                                                  1083
FCFP6_1024_239 data-type                                                                                  1083
FCFP6_1024_240 data-type                                                                                  1083
FCFP6_1024_241 data-type                                                                                  1083
FCFP6_1024_242 data-type                                                                                  1083
FCFP6_1024_246 data-type                                                                                  1083
FCFP6_1024_247 data-type                                                                                  1083
FCFP6_1024_24 data-type                                                                                  1083
FCFP6_1024_251 number of missing values                                                                                  1083
FCFP6_1024_253 data-type                                                                                  1083
FCFP6_1024_259 number of missing values                                                                                  1083
FCFP6_1024_261 data-type                                                                                  1083
FCFP6_1024_263 data-type                                                                                  1083
FCFP6_1024_265 data-type                                                                                  1083
FCFP6_1024_266 data-type                                                                                  1083
FCFP6_1024_266 number of missing values                                                                                  1083
FCFP6_1024_268 data-type                                                                                  1083
FCFP6_1024_268 number of missing values                                                                                  1083
FCFP6_1024_273 number of missing values                                                                                  1083
FCFP6_1024_277 data-type                                                                                  1083
FCFP6_1024_278 number of missing values                                                                                  1083
FCFP6_1024_27 data-type                                                                                  1083
FCFP6_1024_27 number of missing values                                                                                  1083
FCFP6_1024_280 data-type                                                                                  1083
FCFP6_1024_281 data-type                                                                                  1083
FCFP6_1024_281 number of missing values                                                                                  1083
FCFP6_1024_282 data-type                                                                                  1083
FCFP6_1024_283 data-type                                                                                  1083
FCFP6_1024_283 number of missing values                                                                                  1083
FCFP6_1024_284 data-type                                                                                  1083
FCFP6_1024_285 data-type                                                                                  1083
FCFP6_1024_285 number of missing values                                                                                  1083
FCFP6_1024_286 data-type                                                                                  1083
FCFP6_1024_286 number of missing values                                                                                  1083
FCFP6_1024_288 data-type                                                                                  1083
FCFP6_1024_288 number of missing values                                                                                  1083
FCFP6_1024_28 number of missing values                                                                                  1083
FCFP6_1024_290 data-type                                                                                  1083
FCFP6_1024_290 number of missing values                                                                                  1083
FCFP6_1024_291 number of missing values                                                                                  1083
FCFP6_1024_292 data-type                                                                                  1083
FCFP6_1024_293 data-type                                                                                  1083
FCFP6_1024_293 number of missing values                                                                                  1083
FCFP6_1024_294 number of missing values                                                                                  1083
FCFP6_1024_298 data-type                                                                                  1083
FCFP6_1024_298 number of missing values                                                                                  1083
FCFP6_1024_2 data-type                                                                                  1083
FCFP6_1024_2 number of missing values                                                                                  1083
FCFP6_1024_299 data-type                                                                                  1083
FCFP6_1024_299 number of missing values                                                                                  1083
FCFP6_1024_303 data-type                                                                                  1083
FCFP6_1024_303 number of missing values                                                                                  1083
FCFP6_1024_304 data-type                                                                                  1083
FCFP6_1024_305 data-type                                                                                  1083
FCFP6_1024_305 number of missing values                                                                                  1083
FCFP6_1024_308 data-type                                                                                  1083
FCFP6_1024_308 number of missing values                                                                                  1083
FCFP6_1024_30 data-type                                                                                  1083
FCFP6_1024_30 number of missing values                                                                                  1083
FCFP6_1024_309 data-type                                                                                  1083
FCFP6_1024_311 data-type                                                                                  1083
FCFP6_1024_311 number of missing values                                                                                  1083
FCFP6_1024_312 number of missing values                                                                                  1083
FCFP6_1024_315 data-type                                                                                  1083
FCFP6_1024_315 number of missing values                                                                                  1083
FCFP6_1024_316 data-type                                                                                  1083
FCFP6_1024_317 number of missing values                                                                                  1083
FCFP6_1024_318 data-type                                                                                  1083
FCFP6_1024_318 number of missing values                                                                                  1083
FCFP6_1024_31 data-type                                                                                  1083
FCFP6_1024_320 data-type                                                                                  1083
FCFP6_1024_321 data-type                                                                                  1083
FCFP6_1024_321 number of missing values                                                                                  1083
FCFP6_1024_322 data-type                                                                                  1083
FCFP6_1024_322 number of missing values                                                                                  1083
FCFP6_1024_324 data-type                                                                                  1083
FCFP6_1024_324 number of missing values                                                                                  1083
FCFP6_1024_326 data-type                                                                                  1083
FCFP6_1024_326 number of missing values                                                                                  1083
FCFP6_1024_327 data-type                                                                                  1083
FCFP6_1024_328 data-type                                                                                  1083
FCFP6_1024_330 data-type                                                                                  1083
FCFP6_1024_332 data-type                                                                                  1083
FCFP6_1024_334 data-type                                                                                  1083
FCFP6_1024_335 data-type                                                                                  1083
FCFP6_1024_335 number of missing values                                                                                  1083
FCFP6_1024_336 data-type                                                                                  1083
FCFP6_1024_336 number of missing values                                                                                  1083
FCFP6_1024_337 data-type                                                                                  1083
FCFP6_1024_337 number of missing values                                                                                  1083
FCFP6_1024_339 data-type                                                                                  1083
FCFP6_1024_339 number of missing values                                                                                  1083
FCFP6_1024_340 number of missing values                                                                                  1083
FCFP6_1024_341 data-type                                                                                  1083
FCFP6_1024_341 number of missing values                                                                                  1083
FCFP6_1024_342 number of missing values                                                                                  1083
FCFP6_1024_343 data-type                                                                                  1083
FCFP6_1024_343 number of missing values                                                                                  1083
FCFP6_1024_345 data-type                                                                                  1083
FCFP6_1024_346 data-type                                                                                  1083
FCFP6_1024_346 number of missing values                                                                                  1083
FCFP6_1024_347 data-type                                                                                  1083
FCFP6_1024_348 data-type                                                                                  1083
FCFP6_1024_348 number of missing values                                                                                  1083
FCFP6_1024_34 number of missing values                                                                                  1083
FCFP6_1024_349 data-type                                                                                  1083
FCFP6_1024_349 number of missing values                                                                                  1083
FCFP6_1024_350 number of missing values                                                                                  1083
FCFP6_1024_351 data-type                                                                                  1083
FCFP6_1024_351 number of missing values                                                                                  1083
FCFP6_1024_352 data-type                                                                                  1083
FCFP6_1024_353 number of missing values                                                                                  1083
FCFP6_1024_354 data-type                                                                                  1083
FCFP6_1024_355 data-type                                                                                  1083
FCFP6_1024_357 number of missing values                                                                                  1083
FCFP6_1024_358 data-type                                                                                  1083
FCFP6_1024_35 data-type                                                                                  1083
FCFP6_1024_35 number of missing values                                                                                  1083
FCFP6_1024_359 data-type                                                                                  1083
FCFP6_1024_360 data-type                                                                                  1083
FCFP6_1024_360 number of missing values                                                                                  1083
FCFP6_1024_362 data-type                                                                                  1083
FCFP6_1024_362 number of missing values                                                                                  1083
FCFP6_1024_365 data-type                                                                                  1083
FCFP6_1024_365 number of missing values                                                                                  1083
FCFP6_1024_366 data-type                                                                                  1083
FCFP6_1024_366 number of missing values                                                                                  1083
FCFP6_1024_367 data-type                                                                                  1083
FCFP6_1024_367 number of missing values                                                                                  1083
FCFP6_1024_368 data-type                                                                                  1083
FCFP6_1024_368 number of missing values                                                                                  1083
FCFP6_1024_372 number of missing values                                                                                  1083
FCFP6_1024_373 number of missing values                                                                                  1083
FCFP6_1024_375 data-type                                                                                  1083
FCFP6_1024_375 number of missing values                                                                                  1083
FCFP6_1024_376 number of missing values                                                                                  1083
FCFP6_1024_377 data-type                                                                                  1083
FCFP6_1024_377 number of missing values                                                                                  1083
FCFP6_1024_380 data-type                                                                                  1083
FCFP6_1024_380 number of missing values                                                                                  1083
FCFP6_1024_381 data-type                                                                                  1083
FCFP6_1024_382 data-type                                                                                  1083
FCFP6_1024_383 number of missing values                                                                                  1083
FCFP6_1024_384 data-type                                                                                  1083
FCFP6_1024_384 number of missing values                                                                                  1083
FCFP6_1024_385 data-type                                                                                  1083
FCFP6_1024_385 number of missing values                                                                                  1083
FCFP6_1024_386 data-type                                                                                  1083
FCFP6_1024_386 number of missing values                                                                                  1083
FCFP6_1024_387 number of missing values                                                                                  1083
FCFP6_1024_388 data-type                                                                                  1083
FCFP6_1024_388 number of missing values                                                                                  1083
FCFP6_1024_389 data-type                                                                                  1083
FCFP6_1024_389 number of missing values                                                                                  1083
FCFP6_1024_390 data-type                                                                                  1083
FCFP6_1024_390 number of missing values                                                                                  1083
FCFP6_1024_391 number of missing values                                                                                  1083
FCFP6_1024_392 data-type                                                                                  1083
FCFP6_1024_392 number of missing values                                                                                  1083
FCFP6_1024_393 data-type                                                                                  1083
FCFP6_1024_394 data-type                                                                                  1083
FCFP6_1024_394 number of missing values                                                                                  1083
FCFP6_1024_397 data-type                                                                                  1083
FCFP6_1024_397 number of missing values                                                                                  1083
FCFP6_1024_3 data-type                                                                                  1083
FCFP6_1024_39 data-type                                                                                  1083
FCFP6_1024_39 number of missing values                                                                                  1083
FCFP6_1024_399 data-type                                                                                  1083
FCFP6_1024_402 data-type                                                                                  1083
FCFP6_1024_402 number of missing values                                                                                  1083
FCFP6_1024_404 number of missing values                                                                                  1083
FCFP6_1024_407 data-type                                                                                  1083
FCFP6_1024_407 number of missing values                                                                                  1083
FCFP6_1024_40 data-type                                                                                  1083
FCFP6_1024_40 number of missing values                                                                                  1083
FCFP6_1024_409 data-type                                                                                  1083
FCFP6_1024_409 number of missing values                                                                                  1083
FCFP6_1024_411 data-type                                                                                  1083
FCFP6_1024_411 number of missing values                                                                                  1083
FCFP6_1024_412 data-type                                                                                  1083
FCFP6_1024_412 number of missing values                                                                                  1083
FCFP6_1024_416 data-type                                                                                  1083
FCFP6_1024_416 number of missing values                                                                                  1083
FCFP6_1024_417 number of missing values                                                                                  1083
FCFP6_1024_418 data-type                                                                                  1083
FCFP6_1024_418 number of missing values                                                                                  1083
FCFP6_1024_41 number of missing values                                                                                  1083
FCFP6_1024_419 data-type                                                                                  1083
FCFP6_1024_419 number of missing values                                                                                  1083
FCFP6_1024_421 data-type                                                                                  1083
FCFP6_1024_421 number of missing values                                                                                  1083
FCFP6_1024_422 number of missing values                                                                                  1083
FCFP6_1024_423 number of missing values                                                                                  1083
FCFP6_1024_424 data-type                                                                                  1083
FCFP6_1024_425 data-type                                                                                  1083
FCFP6_1024_425 number of missing values                                                                                  1083
FCFP6_1024_429 data-type                                                                                  1083
FCFP6_1024_430 data-type                                                                                  1083
FCFP6_1024_430 number of missing values                                                                                  1083
FCFP6_1024_433 data-type                                                                                  1083
FCFP6_1024_434 data-type                                                                                  1083
FCFP6_1024_436 data-type                                                                                  1083
FCFP6_1024_436 number of missing values                                                                                  1083
FCFP6_1024_438 data-type                                                                                  1083
FCFP6_1024_43 data-type                                                                                  1083
FCFP6_1024_43 number of missing values                                                                                  1083
FCFP6_1024_439 number of missing values                                                                                  1083
FCFP6_1024_440 data-type                                                                                  1083
FCFP6_1024_440 number of missing values                                                                                  1083
FCFP6_1024_441 data-type                                                                                  1083
FCFP6_1024_441 number of missing values                                                                                  1083
FCFP6_1024_442 data-type                                                                                  1083
FCFP6_1024_443 number of missing values                                                                                  1083
FCFP6_1024_446 data-type                                                                                  1083
FCFP6_1024_446 number of missing values                                                                                  1083
FCFP6_1024_447 data-type                                                                                  1083
FCFP6_1024_447 number of missing values                                                                                  1083
FCFP6_1024_448 data-type                                                                                  1083
FCFP6_1024_448 number of missing values                                                                                  1083
FCFP6_1024_449 data-type                                                                                  1083
FCFP6_1024_449 number of missing values                                                                                  1083
FCFP6_1024_450 data-type                                                                                  1083
FCFP6_1024_454 data-type                                                                                  1083
FCFP6_1024_454 number of missing values                                                                                  1083
FCFP6_1024_455 data-type                                                                                  1083
FCFP6_1024_455 number of missing values                                                                                  1083
FCFP6_1024_456 number of missing values                                                                                  1083
FCFP6_1024_457 data-type                                                                                  1083
FCFP6_1024_458 data-type                                                                                  1083
FCFP6_1024_459 data-type                                                                                  1083
FCFP6_1024_459 number of missing values                                                                                  1083
FCFP6_1024_460 data-type                                                                                  1083
FCFP6_1024_460 number of missing values                                                                                  1083
FCFP6_1024_461 data-type                                                                                  1083
FCFP6_1024_461 number of missing values                                                                                  1083
FCFP6_1024_462 number of missing values                                                                                  1083
FCFP6_1024_464 number of missing values                                                                                  1083
FCFP6_1024_465 data-type                                                                                  1083
FCFP6_1024_465 number of missing values                                                                                  1083
FCFP6_1024_466 data-type                                                                                  1083
FCFP6_1024_466 number of missing values                                                                                  1083
FCFP6_1024_467 number of missing values                                                                                  1083
FCFP6_1024_468 number of missing values                                                                                  1083
FCFP6_1024_46 number of missing values                                                                                  1083
FCFP6_1024_470 data-type                                                                                  1083
FCFP6_1024_471 data-type                                                                                  1083
FCFP6_1024_472 data-type                                                                                  1083
FCFP6_1024_474 number of missing values                                                                                  1083
FCFP6_1024_476 data-type                                                                                  1083
FCFP6_1024_476 number of missing values                                                                                  1083
FCFP6_1024_478 data-type                                                                                  1083
FCFP6_1024_478 number of missing values                                                                                  1083
FCFP6_1024_479 data-type                                                                                  1083
FCFP6_1024_479 number of missing values                                                                                  1083
FCFP6_1024_480 data-type                                                                                  1083
FCFP6_1024_480 number of missing values                                                                                  1083
FCFP6_1024_481 number of missing values                                                                                  1083
FCFP6_1024_482 data-type                                                                                  1083
FCFP6_1024_482 number of missing values                                                                                  1083
FCFP6_1024_483 number of missing values                                                                                  1083
FCFP6_1024_484 data-type                                                                                  1083
FCFP6_1024_485 data-type                                                                                  1083
FCFP6_1024_485 number of missing values                                                                                  1083
FCFP6_1024_486 data-type                                                                                  1083
FCFP6_1024_486 number of missing values                                                                                  1083
FCFP6_1024_488 data-type                                                                                  1083
FCFP6_1024_488 number of missing values                                                                                  1083
FCFP6_1024_48 data-type                                                                                  1083
FCFP6_1024_491 number of missing values                                                                                  1083
FCFP6_1024_492 data-type                                                                                  1083
FCFP6_1024_492 number of missing values                                                                                  1083
FCFP6_1024_494 data-type                                                                                  1083
FCFP6_1024_494 number of missing values                                                                                  1083
FCFP6_1024_497 data-type                                                                                  1083
FCFP6_1024_4 data-type                                                                                  1083
FCFP6_1024_4 number of missing values                                                                                  1083
FCFP6_1024_499 data-type                                                                                  1083
FCFP6_1024_499 number of missing values                                                                                  1083
FCFP6_1024_501 data-type                                                                                  1083
FCFP6_1024_501 number of missing values                                                                                  1083
FCFP6_1024_502 number of missing values                                                                                  1083
FCFP6_1024_503 number of missing values                                                                                  1083
FCFP6_1024_504 number of missing values                                                                                  1083
FCFP6_1024_505 data-type                                                                                  1083
FCFP6_1024_505 number of missing values                                                                                  1083
FCFP6_1024_508 data-type                                                                                  1083
FCFP6_1024_508 number of missing values                                                                                  1083
FCFP6_1024_509 number of missing values                                                                                  1083
FCFP6_1024_511 data-type                                                                                  1083
FCFP6_1024_511 number of missing values                                                                                  1083
FCFP6_1024_513 data-type                                                                                  1083
FCFP6_1024_513 number of missing values                                                                                  1083
FCFP6_1024_514 data-type                                                                                  1083
FCFP6_1024_514 number of missing values                                                                                  1083
FCFP6_1024_516 data-type                                                                                  1083
FCFP6_1024_516 number of missing values                                                                                  1083
FCFP6_1024_517 data-type                                                                                  1083
FCFP6_1024_517 number of missing values                                                                                  1083
FCFP6_1024_51 data-type                                                                                  1083
FCFP6_1024_51 number of missing values                                                                                  1083
FCFP6_1024_519 data-type                                                                                  1083
FCFP6_1024_519 number of missing values                                                                                  1083
FCFP6_1024_520 number of missing values                                                                                  1083
FCFP6_1024_521 data-type                                                                                  1083
FCFP6_1024_521 number of missing values                                                                                  1083
FCFP6_1024_523 data-type                                                                                  1083
FCFP6_1024_528 data-type                                                                                  1083
FCFP6_1024_52 data-type                                                                                  1083
FCFP6_1024_52 number of missing values                                                                                  1083
FCFP6_1024_529 data-type                                                                                  1083
