Result of /data/leuven/370/vsc37064/new_queries_named_graph/query_37.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
workTitle                                                                         authorName                                                                        implementationName
Deep Learning for Joint Design of Pilot, Channel Feedback, and Hybrid Beamforming in FDD Massive MIMO-OFDM Systems                                                                                  Weifeng Zhu                                                                                  implemenation of Deep Learning for Joint Design of Pilot, Channel Feedback, and Hybrid Beamforming in FDD Massive MIMO-OFDM Systems
Deep learning in computed tomography pulmonary angiography imaging: a dual-pronged approach for pulmonary embolism detection                                                                                  Adam Mushtak                                                                                  implemenation of Deep learning in computed tomography pulmonary angiography imaging: a dual-pronged approach for pulmonary embolism detection
Deep learning in computed tomography pulmonary angiography imaging: a dual-pronged approach for pulmonary embolism detection                                                                                  Fabiha Bushra                                                                                  implemenation of Deep learning in computed tomography pulmonary angiography imaging: a dual-pronged approach for pulmonary embolism detection
Deep learning in computed tomography pulmonary angiography imaging: a dual-pronged approach for pulmonary embolism detection                                                                                  Israa Al-Hashimi                                                                                  implemenation of Deep learning in computed tomography pulmonary angiography imaging: a dual-pronged approach for pulmonary embolism detection
Deep learning in computed tomography pulmonary angiography imaging: a dual-pronged approach for pulmonary embolism detection                                                                                  Rusab Sarmun                                                                                  implemenation of Deep learning in computed tomography pulmonary angiography imaging: a dual-pronged approach for pulmonary embolism detection
Deep learning in computed tomography pulmonary angiography imaging: a dual-pronged approach for pulmonary embolism detection                                                                                  Saidul Kabir                                                                                  implemenation of Deep learning in computed tomography pulmonary angiography imaging: a dual-pronged approach for pulmonary embolism detection
Deep learning in computed tomography pulmonary angiography imaging: a dual-pronged approach for pulmonary embolism detection                                                                                  Anwarul Hasan                                                                                  implemenation of Deep learning in computed tomography pulmonary angiography imaging: a dual-pronged approach for pulmonary embolism detection
Deep learning in computed tomography pulmonary angiography imaging: a dual-pronged approach for pulmonary embolism detection                                                                                  Abdulrahman Alqahtani                                                                                  implemenation of Deep learning in computed tomography pulmonary angiography imaging: a dual-pronged approach for pulmonary embolism detection
Deep learning in computed tomography pulmonary angiography imaging: a dual-pronged approach for pulmonary embolism detection                                                                                  Menatalla Said                                                                                  implemenation of Deep learning in computed tomography pulmonary angiography imaging: a dual-pronged approach for pulmonary embolism detection
Deep learning in computed tomography pulmonary angiography imaging: a dual-pronged approach for pulmonary embolism detection                                                                                  Sohaib Bassam Zoghoul                                                                                  implemenation of Deep learning in computed tomography pulmonary angiography imaging: a dual-pronged approach for pulmonary embolism detection
Deep learning in computed tomography pulmonary angiography imaging: a dual-pronged approach for pulmonary embolism detection                                                                                  Muhammad E. H. Chowdhury                                                                                  implemenation of Deep learning in computed tomography pulmonary angiography imaging: a dual-pronged approach for pulmonary embolism detection
Deep learning-based estimation of time-dependent parameters in Markov models with application to nonlinear regression and SDEs                                                                                  Andrzej Kałuża                                                                                  implemenation of Deep learning-based estimation of time-dependent parameters in Markov models with application to nonlinear regression and SDEs
Deep learning-based estimation of time-dependent parameters in Markov models with application to nonlinear regression and SDEs                                                                                  Bartłomiej Mulewicz                                                                                  implemenation of Deep learning-based estimation of time-dependent parameters in Markov models with application to nonlinear regression and SDEs
Deep learning-based estimation of time-dependent parameters in Markov models with application to nonlinear regression and SDEs                                                                                  Martyna Wiącek                                                                                  implemenation of Deep learning-based estimation of time-dependent parameters in Markov models with application to nonlinear regression and SDEs
Deep learning-based estimation of time-dependent parameters in Markov models with application to nonlinear regression and SDEs                                                                                  Paweł M. Morkisz                                                                                  implemenation of Deep learning-based estimation of time-dependent parameters in Markov models with application to nonlinear regression and SDEs
Deep learning-based estimation of time-dependent parameters in Markov models with application to nonlinear regression and SDEs                                                                                  Paweł Przybyłowicz                                                                                  implemenation of Deep learning-based estimation of time-dependent parameters in Markov models with application to nonlinear regression and SDEs
DeepPhysiNet: Bridging Deep Learning and Atmospheric Physics for Accurate and Continuous Weather Modeling                                                                                  Shunlin Liang                                                                                  implemenation of DeepPhysiNet: Bridging Deep Learning and Atmospheric Physics for Accurate and Continuous Weather Modeling
DeepPhysiNet: Bridging Deep Learning and Atmospheric Physics for Accurate and Continuous Weather Modeling                                                                                  Zili Liu                                                                                  implemenation of DeepPhysiNet: Bridging Deep Learning and Atmospheric Physics for Accurate and Continuous Weather Modeling
DeepPhysiNet: Bridging Deep Learning and Atmospheric Physics for Accurate and Continuous Weather Modeling                                                                                  Hao Chen                                                                                  implemenation of DeepPhysiNet: Bridging Deep Learning and Atmospheric Physics for Accurate and Continuous Weather Modeling
DeepPhysiNet: Bridging Deep Learning and Atmospheric Physics for Accurate and Continuous Weather Modeling                                                                                  Wenyuan Li                                                                                  implemenation of DeepPhysiNet: Bridging Deep Learning and Atmospheric Physics for Accurate and Continuous Weather Modeling
DeepPhysiNet: Bridging Deep Learning and Atmospheric Physics for Accurate and Continuous Weather Modeling                                                                                  Keyan Chen                                                                                  implemenation of DeepPhysiNet: Bridging Deep Learning and Atmospheric Physics for Accurate and Continuous Weather Modeling
DeepPhysiNet: Bridging Deep Learning and Atmospheric Physics for Accurate and Continuous Weather Modeling                                                                                  Zhengxia Zou                                                                                  implemenation of DeepPhysiNet: Bridging Deep Learning and Atmospheric Physics for Accurate and Continuous Weather Modeling
DeepPhysiNet: Bridging Deep Learning and Atmospheric Physics for Accurate and Continuous Weather Modeling                                                                                  Zhenwei Shi                                                                                  implemenation of DeepPhysiNet: Bridging Deep Learning and Atmospheric Physics for Accurate and Continuous Weather Modeling
Differentiable Visual Computing for Inverse Problems and Machine Learning                                                                                  Krishna Murthy Jatavallabhula                                                                                  implemenation of Differentiable Visual Computing for Inverse Problems and Machine Learning
Differentiable Visual Computing for Inverse Problems and Machine Learning                                                                                  Konstantinos Rematas                                                                                  implemenation of Differentiable Visual Computing for Inverse Problems and Machine Learning
Differentiable Visual Computing for Inverse Problems and Machine Learning                                                                                  Derek Nowrouzezahrai                                                                                  implemenation of Differentiable Visual Computing for Inverse Problems and Machine Learning
Differentiable Visual Computing for Inverse Problems and Machine Learning                                                                                  Andrew Spielberg                                                                                  implemenation of Differentiable Visual Computing for Inverse Problems and Machine Learning
Differentiable Visual Computing for Inverse Problems and Machine Learning                                                                                  Tzu-Mao Li                                                                                  implemenation of Differentiable Visual Computing for Inverse Problems and Machine Learning
Differentiable Visual Computing for Inverse Problems and Machine Learning                                                                                  Fangcheng Zhong                                                                                  implemenation of Differentiable Visual Computing for Inverse Problems and Machine Learning
Differentiable Visual Computing for Inverse Problems and Machine Learning                                                                                  Cengiz Oztireli                                                                                  implemenation of Differentiable Visual Computing for Inverse Problems and Machine Learning
Does a Neural Network Really Encode Symbolic Concepts?                                                                                  Mingjie Li                                                                                  implemenation of Does a Neural Network Really Encode Symbolic Concepts?
Does a Neural Network Really Encode Symbolic Concepts?                                                                                  Quanshi Zhang                                                                                  implemenation of Does a Neural Network Really Encode Symbolic Concepts?
Double-Condensing Attention Condenser: Leveraging Attention in Deep Learning to Detect Skin Cancer from Skin Lesion Images                                                                                  Chi-en Amy Tai                                                                                  implemenation of Double-Condensing Attention Condenser: Leveraging Attention in Deep Learning to Detect Skin Cancer from Skin Lesion Images
Double-Condensing Attention Condenser: Leveraging Attention in Deep Learning to Detect Skin Cancer from Skin Lesion Images                                                                                  Chris Czarnecki                                                                                  implemenation of Double-Condensing Attention Condenser: Leveraging Attention in Deep Learning to Detect Skin Cancer from Skin Lesion Images
Double-Condensing Attention Condenser: Leveraging Attention in Deep Learning to Detect Skin Cancer from Skin Lesion Images                                                                                  Elizabeth Janes                                                                                  implemenation of Double-Condensing Attention Condenser: Leveraging Attention in Deep Learning to Detect Skin Cancer from Skin Lesion Images
Double-Condensing Attention Condenser: Leveraging Attention in Deep Learning to Detect Skin Cancer from Skin Lesion Images                                                                                  Alexander Wong                                                                                  implemenation of Double-Condensing Attention Condenser: Leveraging Attention in Deep Learning to Detect Skin Cancer from Skin Lesion Images
Efficient Multi-domain Text Recognition Deep Neural Network Parameterization with Residual Adapters                                                                                  Jiayou Chao                                                                                  implemenation of Efficient Multi-domain Text Recognition Deep Neural Network Parameterization with Residual Adapters
Efficient Multi-domain Text Recognition Deep Neural Network Parameterization with Residual Adapters                                                                                  Wei Zhu                                                                                  implemenation of Efficient Multi-domain Text Recognition Deep Neural Network Parameterization with Residual Adapters
Emotion-Oriented Behavior Model Using Deep Learning                                                                                  Adel Khelifi                                                                                  implemenation of Emotion-Oriented Behavior Model Using Deep Learning
Emotion-Oriented Behavior Model Using Deep Learning                                                                                  Muhammad Arslan Raza                                                                                  implemenation of Emotion-Oriented Behavior Model Using Deep Learning
Emotion-Oriented Behavior Model Using Deep Learning                                                                                  Muhammad Shoaib Farooq                                                                                  implemenation of Emotion-Oriented Behavior Model Using Deep Learning
Emotion-Oriented Behavior Model Using Deep Learning                                                                                  Atif Alvi                                                                                  implemenation of Emotion-Oriented Behavior Model Using Deep Learning
EquiReact: An equivariant neural network for chemical reactions                                                                                  Clemence Corminboeuf                                                                                  implemenation of EquiReact: An equivariant neural network for chemical reactions
EquiReact: An equivariant neural network for chemical reactions                                                                                  Ksenia R. Briling                                                                                  implemenation of EquiReact: An equivariant neural network for chemical reactions
EquiReact: An equivariant neural network for chemical reactions                                                                                  Puck van Gerwen                                                                                  implemenation of EquiReact: An equivariant neural network for chemical reactions
EquiReact: An equivariant neural network for chemical reactions                                                                                  Ruben Laplaza                                                                                  implemenation of EquiReact: An equivariant neural network for chemical reactions
EquiReact: An equivariant neural network for chemical reactions                                                                                  Charlotte Bunne                                                                                  implemenation of EquiReact: An equivariant neural network for chemical reactions
