Result of /data/leuven/370/vsc37064/new_queries/query_37.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
workTitle                                                                         authorName                                                                        implementationName
An Interpretable and Sparse Neural Network Model for Nonlinear Granger Causality Discovery                                                                                  Ali Shojaie                                                                                  implemenation of An Interpretable and Sparse Neural Network Model for Nonlinear Granger Causality Discovery
An Interpretable and Sparse Neural Network Model for Nonlinear Granger Causality Discovery                                                                                  Alex Tank                                                                                  implemenation of An Interpretable and Sparse Neural Network Model for Nonlinear Granger Causality Discovery
An Interpretable and Sparse Neural Network Model for Nonlinear Granger Causality Discovery                                                                                  Ian Cover                                                                                  implemenation of An Interpretable and Sparse Neural Network Model for Nonlinear Granger Causality Discovery
An Interpretable and Sparse Neural Network Model for Nonlinear Granger Causality Discovery                                                                                  Nicholas J. Foti                                                                                  implemenation of An Interpretable and Sparse Neural Network Model for Nonlinear Granger Causality Discovery
An All-In-One Convolutional Neural Network for Face Analysis                                                                                  Rajeev Ranjan                                                                                  implemenation of An All-In-One Convolutional Neural Network for Face Analysis
An All-In-One Convolutional Neural Network for Face Analysis                                                                                  Rama Chellappa                                                                                  implemenation of An All-In-One Convolutional Neural Network for Face Analysis
An All-In-One Convolutional Neural Network for Face Analysis                                                                                  Carlos D. Castillo                                                                                  implemenation of An All-In-One Convolutional Neural Network for Face Analysis
An All-In-One Convolutional Neural Network for Face Analysis                                                                                  Swami Sankaranarayanan                                                                                  implemenation of An All-In-One Convolutional Neural Network for Face Analysis
A machine learning framework for computationally expensive transient models                                                                                  Ahmad Sheikh                                                                                  implemenation of A machine learning framework for computationally expensive transient models
A machine learning framework for computationally expensive transient models                                                                                  Kushal Sinha                                                                                  implemenation of A machine learning framework for computationally expensive transient models
A machine learning framework for computationally expensive transient models                                                                                  Laurie Mlinar                                                                                  implemenation of A machine learning framework for computationally expensive transient models
A machine learning framework for computationally expensive transient models                                                                                  Raimundo Ho                                                                                  implemenation of A machine learning framework for computationally expensive transient models
A machine learning framework for computationally expensive transient models                                                                                  Yujin Shin                                                                                  implemenation of A machine learning framework for computationally expensive transient models
A machine learning framework for computationally expensive transient models                                                                                  Prashant Kumar                                                                                  implemenation of A machine learning framework for computationally expensive transient models
A machine learning framework for computationally expensive transient models                                                                                  Nandkishor Nere                                                                                  implemenation of A machine learning framework for computationally expensive transient models
Adaptive Deep Learning for High-Dimensional Hamilton-Jacobi-Bellman Equations                                                                                  Wei Kang                                                                                  implemenation of Adaptive Deep Learning for High-Dimensional Hamilton-Jacobi-Bellman Equations
Adaptive Deep Learning for High-Dimensional Hamilton-Jacobi-Bellman Equations                                                                                  Qi Gong                                                                                  implemenation of Adaptive Deep Learning for High-Dimensional Hamilton-Jacobi-Bellman Equations
Adaptive Deep Learning for High-Dimensional Hamilton-Jacobi-Bellman Equations                                                                                  Tenavi Nakamura-Zimmerer                                                                                  implemenation of Adaptive Deep Learning for High-Dimensional Hamilton-Jacobi-Bellman Equations
An Enhanced Electrocardiogram Biometric Authentication System Using Machine Learning                                                                                  Ebrahim Al Alkeem                                                                                  implemenation of An Enhanced Electrocardiogram Biometric Authentication System Using Machine Learning
An Enhanced Electrocardiogram Biometric Authentication System Using Machine Learning                                                                                  Kin Poon                                                                                  implemenation of An Enhanced Electrocardiogram Biometric Authentication System Using Machine Learning
An Enhanced Electrocardiogram Biometric Authentication System Using Machine Learning                                                                                  M. Jamal Zemerly                                                                                  implemenation of An Enhanced Electrocardiogram Biometric Authentication System Using Machine Learning
An Enhanced Electrocardiogram Biometric Authentication System Using Machine Learning                                                                                  Paul D. Yoo                                                                                  implemenation of An Enhanced Electrocardiogram Biometric Authentication System Using Machine Learning
An Enhanced Electrocardiogram Biometric Authentication System Using Machine Learning                                                                                  Chan Yeob Yeun                                                                                  implemenation of An Enhanced Electrocardiogram Biometric Authentication System Using Machine Learning
An Enhanced Electrocardiogram Biometric Authentication System Using Machine Learning                                                                                  Song-Kyoo Kim                                                                                  implemenation of An Enhanced Electrocardiogram Biometric Authentication System Using Machine Learning
A Fast Fully Octave Convolutional Neural Network for Document Image Segmentation                                                                                  Byron Leite Dantas Bezerra                                                                                  implemenation of A Fast Fully Octave Convolutional Neural Network for Document Image Segmentation
A Fast Fully Octave Convolutional Neural Network for Document Image Segmentation                                                                                  Luiz Felipe Verçosa                                                                                  implemenation of A Fast Fully Octave Convolutional Neural Network for Document Image Segmentation
A Fast Fully Octave Convolutional Neural Network for Document Image Segmentation                                                                                  Ricardo Batista das Neves Junior                                                                                  implemenation of A Fast Fully Octave Convolutional Neural Network for Document Image Segmentation
A Fast Fully Octave Convolutional Neural Network for Document Image Segmentation                                                                                  Cleber Zanchettin                                                                                  implemenation of A Fast Fully Octave Convolutional Neural Network for Document Image Segmentation
A Fast Fully Octave Convolutional Neural Network for Document Image Segmentation                                                                                  David Macêdo                                                                                  implemenation of A Fast Fully Octave Convolutional Neural Network for Document Image Segmentation
ARDA: Automatic Relational Data Augmentation for Machine Learning                                                                                  Raul Castro Fernandez                                                                                  implemenation of ARDA: Automatic Relational Data Augmentation for Machine Learning
ARDA: Automatic Relational Data Augmentation for Machine Learning                                                                                  Ryan Marcus                                                                                  implemenation of ARDA: Automatic Relational Data Augmentation for Machine Learning
ARDA: Automatic Relational Data Augmentation for Machine Learning                                                                                  Emanuel Zgraggen                                                                                  implemenation of ARDA: Automatic Relational Data Augmentation for Machine Learning
ARDA: Automatic Relational Data Augmentation for Machine Learning                                                                                  Tim Kraska                                                                                  implemenation of ARDA: Automatic Relational Data Augmentation for Machine Learning
ARDA: Automatic Relational Data Augmentation for Machine Learning                                                                                  David Karger                                                                                  implemenation of ARDA: Automatic Relational Data Augmentation for Machine Learning
ARDA: Automatic Relational Data Augmentation for Machine Learning                                                                                  Nadiia Chepurko                                                                                  implemenation of ARDA: Automatic Relational Data Augmentation for Machine Learning
A Deep Convolutional Neural Network for COVID-19 Detection Using Chest X-Rays                                                                                  Romis Attux                                                                                  implemenation of A Deep Convolutional Neural Network for COVID-19 Detection Using Chest X-Rays
A Deep Convolutional Neural Network for COVID-19 Detection Using Chest X-Rays                                                                                  Pedro R. A. S. Bassi                                                                                  implemenation of A Deep Convolutional Neural Network for COVID-19 Detection Using Chest X-Rays
A modified deep convolutional neural network for detecting COVID-19 and pneumonia from chest X-ray images based on the concatenation of Xception and ResNet50V2                                                                                  Abolfazl Attar                                                                                  implemenation of A modified deep convolutional neural network for detecting COVID-19 and pneumonia from chest X-ray images based on the concatenation of Xception and ResNet50V2
A modified deep convolutional neural network for detecting COVID-19 and pneumonia from chest X-ray images based on the concatenation of Xception and ResNet50V2                                                                                  Mohammad Rahimzadeh                                                                                  implemenation of A modified deep convolutional neural network for detecting COVID-19 and pneumonia from chest X-ray images based on the concatenation of Xception and ResNet50V2
A modified deep convolutional neural network for detecting COVID-19 and pneumonia from chest X-ray images based on the concatenation of Xception and ResNet50V2                                                                                  Abolfazl                                                                                  implemenation of A modified deep convolutional neural network for detecting COVID-19 and pneumonia from chest X-ray images based on the concatenation of Xception and ResNet50V2
A modified deep convolutional neural network for detecting COVID-19 and pneumonia from chest X-ray images based on the concatenation of Xception and ResNet50V2                                                                                  Mohammad; Attar                                                                                  implemenation of A modified deep convolutional neural network for detecting COVID-19 and pneumonia from chest X-ray images based on the concatenation of Xception and ResNet50V2
A modified deep convolutional neural network for detecting COVID-19 and pneumonia from chest X-ray images based on the concatenation of Xception and ResNet50V2                                                                                  Rahimzadeh                                                                                  implemenation of A modified deep convolutional neural network for detecting COVID-19 and pneumonia from chest X-ray images based on the concatenation of Xception and ResNet50V2
A Bayesian - Deep Learning model for estimating Covid-19 evolution in Spain                                                                                  Stefano Cabras                                                                                  implemenation of A Bayesian - Deep Learning model for estimating Covid-19 evolution in Spain
A Machine Learning System for Retaining Patients in HIV Care                                                                                  Adolfo De Unanue                                                                                  implemenation of A Machine Learning System for Retaining Patients in HIV Care
