Result of /data/leuven/370/vsc37064/new_queries_named_graph_predicated_grouped/query_17.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
workTitle                                                                         abstract                                                                          authorName
 'Evaluation de syst `emes apprenant tout au long de la vie (Evaluation of lifelong learning systems )                                                                                  Aujourd{'}hui les syst{ `e}mes intelligents obtiennent d{'}excellentes performances dans de nombreux domaines lorsqu{'}ils sont entra{ ^ i}n{ 'e}s par des experts en apprentissage automatique. Lorsque ces syst{ `e}mes sont mis en production, leurs performances se d{ 'e}gradent au cours du temps du fait de l{'}{ 'e}volution de leur environnement r{ 'e}el. Une adaptation de leur mod{ `e}le par des experts en apprentissage automatique est possible mais tr{ `e}s co{ ^u}teuse alors que les soci{ 'e}t{ 'e}s utilisant ces syst{ `e}mes disposent d{'}experts du domaine qui pourraient accompagner ces syst{ `e}mes dans un apprentissage tout au long de la vie. Dans cet article nous proposons un cadre d{'}{ 'e}valuation g{ 'e}n{ 'e}rique pour des syst{ `e}mes apprenant tout au long de la vie (SATLV). Nous proposons d{'}{ 'e}valuer l{'}apprentissage assist{ 'e} par l{'}humain (actif ou interactif) et l{'}apprentissage au cours du temps.                                                                                  Lo{ ' i}c Barrault
 'Evaluation de syst `emes apprenant tout au long de la vie (Evaluation of lifelong learning systems )                                                                                  Aujourd{'}hui les syst{ `e}mes intelligents obtiennent d{'}excellentes performances dans de nombreux domaines lorsqu{'}ils sont entra{ ^ i}n{ 'e}s par des experts en apprentissage automatique. Lorsque ces syst{ `e}mes sont mis en production, leurs performances se d{ 'e}gradent au cours du temps du fait de l{'}{ 'e}volution de leur environnement r{ 'e}el. Une adaptation de leur mod{ `e}le par des experts en apprentissage automatique est possible mais tr{ `e}s co{ ^u}teuse alors que les soci{ 'e}t{ 'e}s utilisant ces syst{ `e}mes disposent d{'}experts du domaine qui pourraient accompagner ces syst{ `e}mes dans un apprentissage tout au long de la vie. Dans cet article nous proposons un cadre d{'}{ 'e}valuation g{ 'e}n{ 'e}rique pour des syst{ `e}mes apprenant tout au long de la vie (SATLV). Nous proposons d{'}{ 'e}valuer l{'}apprentissage assist{ 'e} par l{'}humain (actif ou interactif) et l{'}apprentissage au cours du temps.                                                                                  Yevhenii Prokopalo
 'Evaluation de syst `emes apprenant tout au long de la vie (Evaluation of lifelong learning systems )                                                                                  Aujourd{'}hui les syst{ `e}mes intelligents obtiennent d{'}excellentes performances dans de nombreux domaines lorsqu{'}ils sont entra{ ^ i}n{ 'e}s par des experts en apprentissage automatique. Lorsque ces syst{ `e}mes sont mis en production, leurs performances se d{ 'e}gradent au cours du temps du fait de l{'}{ 'e}volution de leur environnement r{ 'e}el. Une adaptation de leur mod{ `e}le par des experts en apprentissage automatique est possible mais tr{ `e}s co{ ^u}teuse alors que les soci{ 'e}t{ 'e}s utilisant ces syst{ `e}mes disposent d{'}experts du domaine qui pourraient accompagner ces syst{ `e}mes dans un apprentissage tout au long de la vie. Dans cet article nous proposons un cadre d{'}{ 'e}valuation g{ 'e}n{ 'e}rique pour des syst{ `e}mes apprenant tout au long de la vie (SATLV). Nous proposons d{'}{ 'e}valuer l{'}apprentissage assist{ 'e} par l{'}humain (actif ou interactif) et l{'}apprentissage au cours du temps.                                                                                  Anthony Larcher
 'Evaluation de syst `emes apprenant tout au long de la vie (Evaluation of lifelong learning systems )                                                                                  Aujourd{'}hui les syst{ `e}mes intelligents obtiennent d{'}excellentes performances dans de nombreux domaines lorsqu{'}ils sont entra{ ^ i}n{ 'e}s par des experts en apprentissage automatique. Lorsque ces syst{ `e}mes sont mis en production, leurs performances se d{ 'e}gradent au cours du temps du fait de l{'}{ 'e}volution de leur environnement r{ 'e}el. Une adaptation de leur mod{ `e}le par des experts en apprentissage automatique est possible mais tr{ `e}s co{ ^u}teuse alors que les soci{ 'e}t{ 'e}s utilisant ces syst{ `e}mes disposent d{'}experts du domaine qui pourraient accompagner ces syst{ `e}mes dans un apprentissage tout au long de la vie. Dans cet article nous proposons un cadre d{'}{ 'e}valuation g{ 'e}n{ 'e}rique pour des syst{ `e}mes apprenant tout au long de la vie (SATLV). Nous proposons d{'}{ 'e}valuer l{'}apprentissage assist{ 'e} par l{'}humain (actif ou interactif) et l{'}apprentissage au cours du temps.                                                                                  Sylvain Meignier
 'Evaluation de syst `emes apprenant tout au long de la vie (Evaluation of lifelong learning systems )                                                                                  Aujourd{'}hui les syst{ `e}mes intelligents obtiennent d{'}excellentes performances dans de nombreux domaines lorsqu{'}ils sont entra{ ^ i}n{ 'e}s par des experts en apprentissage automatique. Lorsque ces syst{ `e}mes sont mis en production, leurs performances se d{ 'e}gradent au cours du temps du fait de l{'}{ 'e}volution de leur environnement r{ 'e}el. Une adaptation de leur mod{ `e}le par des experts en apprentissage automatique est possible mais tr{ `e}s co{ ^u}teuse alors que les soci{ 'e}t{ 'e}s utilisant ces syst{ `e}mes disposent d{'}experts du domaine qui pourraient accompagner ces syst{ `e}mes dans un apprentissage tout au long de la vie. Dans cet article nous proposons un cadre d{'}{ 'e}valuation g{ 'e}n{ 'e}rique pour des syst{ `e}mes apprenant tout au long de la vie (SATLV). Nous proposons d{'}{ 'e}valuer l{'}apprentissage assist{ 'e} par l{'}humain (actif ou interactif) et l{'}apprentissage au cours du temps.                                                                                  Olivier Galibert
 'Evaluation objective de plongements pour la synth `ese de parole guid 'ee par r 'eseaux de neurones (Objective evaluation of embeddings for speech synthesis guided by neural networks)                                                                                  L{'}{ 'e}valuation de plongements issus de r{ 'e}seaux de neurones est un proc{ 'e}d{ 'e} complexe. La qualit{ 'e} des plongements est li{ 'e}e { `a} la t{ ^a}che sp{ 'e}cifique pour laquelle ils ont { 'e}t{ 'e} entra{ ^ i}n{ 'e}s et l{'}{ 'e}valuation de cette t{ ^a}che peut { ^e}tre un proc{ 'e}d{ 'e} long et on{ 'e}reux s{'}il y a besoin d{'}annotateurs humains. Il peut donc { ^e}tre pr{ 'e}f{ 'e}rable d{'}estimer leur qualit{ 'e} gr{ ^a}ce { `a} des mesures objectives rapides et reproductibles sur des t{ ^a}ches annexes. Cet article propose une m{ 'e}thode g{ 'e}n{ 'e}rique pour estimer la qualit{ 'e} d{'}un plongement. Appliqu{ 'e}e { `a} la synth{ `e}se de parole par s{ 'e}lection d{'}unit{ 'e}s guid{ 'e}e par r{ 'e}seaux de neurones, cette m{ 'e}thode permet de comparer deux syst{ `e}mes distincts.                                                                                  Damien Lolive
 'Evaluation objective de plongements pour la synth `ese de parole guid 'ee par r 'eseaux de neurones (Objective evaluation of embeddings for speech synthesis guided by neural networks)                                                                                  L{'}{ 'e}valuation de plongements issus de r{ 'e}seaux de neurones est un proc{ 'e}d{ 'e} complexe. La qualit{ 'e} des plongements est li{ 'e}e { `a} la t{ ^a}che sp{ 'e}cifique pour laquelle ils ont { 'e}t{ 'e} entra{ ^ i}n{ 'e}s et l{'}{ 'e}valuation de cette t{ ^a}che peut { ^e}tre un proc{ 'e}d{ 'e} long et on{ 'e}reux s{'}il y a besoin d{'}annotateurs humains. Il peut donc { ^e}tre pr{ 'e}f{ 'e}rable d{'}estimer leur qualit{ 'e} gr{ ^a}ce { `a} des mesures objectives rapides et reproductibles sur des t{ ^a}ches annexes. Cet article propose une m{ 'e}thode g{ 'e}n{ 'e}rique pour estimer la qualit{ 'e} d{'}un plongement. Appliqu{ 'e}e { `a} la synth{ `e}se de parole par s{ 'e}lection d{'}unit{ 'e}s guid{ 'e}e par r{ 'e}seaux de neurones, cette m{ 'e}thode permet de comparer deux syst{ `e}mes distincts.                                                                                  Laurent Amsaleg
 'Evaluation objective de plongements pour la synth `ese de parole guid 'ee par r 'eseaux de neurones (Objective evaluation of embeddings for speech synthesis guided by neural networks)                                                                                  L{'}{ 'e}valuation de plongements issus de r{ 'e}seaux de neurones est un proc{ 'e}d{ 'e} complexe. La qualit{ 'e} des plongements est li{ 'e}e { `a} la t{ ^a}che sp{ 'e}cifique pour laquelle ils ont { 'e}t{ 'e} entra{ ^ i}n{ 'e}s et l{'}{ 'e}valuation de cette t{ ^a}che peut { ^e}tre un proc{ 'e}d{ 'e} long et on{ 'e}reux s{'}il y a besoin d{'}annotateurs humains. Il peut donc { ^e}tre pr{ 'e}f{ 'e}rable d{'}estimer leur qualit{ 'e} gr{ ^a}ce { `a} des mesures objectives rapides et reproductibles sur des t{ ^a}ches annexes. Cet article propose une m{ 'e}thode g{ 'e}n{ 'e}rique pour estimer la qualit{ 'e} d{'}un plongement. Appliqu{ 'e}e { `a} la synth{ `e}se de parole par s{ 'e}lection d{'}unit{ 'e}s guid{ 'e}e par r{ 'e}seaux de neurones, cette m{ 'e}thode permet de comparer deux syst{ `e}mes distincts.                                                                                  Gw{ 'e}nol{ 'e} Lecorv{ 'e}
 'Evaluation objective de plongements pour la synth `ese de parole guid 'ee par r 'eseaux de neurones (Objective evaluation of embeddings for speech synthesis guided by neural networks)                                                                                  L{'}{ 'e}valuation de plongements issus de r{ 'e}seaux de neurones est un proc{ 'e}d{ 'e} complexe. La qualit{ 'e} des plongements est li{ 'e}e { `a} la t{ ^a}che sp{ 'e}cifique pour laquelle ils ont { 'e}t{ 'e} entra{ ^ i}n{ 'e}s et l{'}{ 'e}valuation de cette t{ ^a}che peut { ^e}tre un proc{ 'e}d{ 'e} long et on{ 'e}reux s{'}il y a besoin d{'}annotateurs humains. Il peut donc { ^e}tre pr{ 'e}f{ 'e}rable d{'}estimer leur qualit{ 'e} gr{ ^a}ce { `a} des mesures objectives rapides et reproductibles sur des t{ ^a}ches annexes. Cet article propose une m{ 'e}thode g{ 'e}n{ 'e}rique pour estimer la qualit{ 'e} d{'}un plongement. Appliqu{ 'e}e { `a} la synth{ `e}se de parole par s{ 'e}lection d{'}unit{ 'e}s guid{ 'e}e par r{ 'e}seaux de neurones, cette m{ 'e}thode permet de comparer deux syst{ `e}mes distincts.                                                                                  Antoine Perquin
 'Evolution phonologique des langues et r 'eseaux de neurones : travaux pr 'eliminaires (Sound change and neural networks: preliminary experiments )                                                                                  La pr{ 'e}diction de cognats est une t{ ^a}che clef de la linguistique historique et pr{ 'e}sente de nombreuses similitudes avec les t{ ^a}ches de traduction automatique. Cependant, alors que cette seconde discipline a vu fleurir l{'}utilisation de m{ 'e}thodes neuronales, celles-ci restent largement absentes des outils utilis{ 'e}s en linguistique historique. Dans ce papier, nous { 'e}tudions donc la performance des m{ 'e}thodes neuronales utilis{ 'e}es en traduction (les r{ 'e}seaux encodeur-d{ 'e}codeur) pour la t{ ^a}che de pr{ 'e}diction de cognats. Nous nous int{ 'e}ressons notamment aux types de donn{ 'e}es utilisables pour cet apprentissage et comparons les r{ 'e}sultats obtenus, sur diff{ 'e}rents types de donn{ 'e}es, entre des m{ 'e}thodes statistiques et des m{ 'e}thodes neuronales. Nous montrons que l{'}apprentissage de correspondances phon{ 'e}tiques n{'}est possible que sur des paires de cognats, et que les m{ 'e}thodes statistiques et neuronales semblent avoir des forces et faiblesses compl{ 'e}mentaires quant { `a} ce qu{'}elles apprennent des donn{ 'e}es.                                                                                  Cl{ 'e}mentine Fourrier
 emph{Lifted} RDT based capacity analysis of the 1-hidden layer treelike emph{sign} perceptrons neural networks                                                                                  We consider the memorization capabilities of multilayered emph{sign} perceptrons neural networks (SPNNs). A recent rigorous upper-bounding capacity characterization, obtained in cite{Stojnictcmspnncaprdt23} utilizing the Random Duality Theory (RDT), demonstrated that adding neurons in a network configuration may indeed be very beneficial. Moreover, for particular emph{treelike committee machines} (TCM) architectures with $d leq 5$ neurons in the hidden layer, cite{Stojnictcmspnncaprdt23} made a very first mathematically rigorous progress in over 30 years by lowering the previously best known capacity bounds of cite{MitchDurb89}. Here, we first establish that the RDT bounds from cite{Stojnictcmspnncaprdt23} scale as $ sim sqrt{d}$ and can not on their own emph{universally} (over the entire range of $d$) beat the best known $ sim log(d)$ scaling of the bounds from cite{MitchDurb89}. After recognizing that the progress from cite{Stojnictcmspnncaprdt23} is therefore promising, but yet without a complete concretization, we then proceed by considering the recently developed fully lifted RDT (fl RDT) as an alternative. While the fl RDT is indeed a powerful juggernaut, it typically relies on heavy numerical evaluations. To avoid such heavy numerics, we here focus on a simplified, emph{partially lifted}, variant and show that it allows for very neat, closed form, analytical capacity characterizations. Moreover, we obtain the concrete capacity bounds that emph{universally} improve for emph{any} $d$ over the best known ones of cite{MitchDurb89}.                                                                                  Mihailo Stojnic
#ContextMatters: Advantages and Limitations of Using Machine Learning to Support Women in Politics                                                                                  The United Nations identified gender equality as a Sustainable Development Goal in 2015, recognizing the underrepresentation of women in politics as a specific barrier to achieving gender equality. Political systems around the world experience gender inequality across all levels of elected government as fewer women run for office than men. This is due in part to online abuse, particularly on social media platforms like Twitter, where women seeking or in power tend to be targeted with more toxic maltreatment than their male counterparts. In this paper, we present reflections on ParityBOT - the first natural language processing-based intervention designed to affect online discourse for women in politics for the better, at scale. Deployed across elections in Canada, the United States and New Zealand, ParityBOT was used to analyse and classify more than 12 million tweets directed at women candidates and counter toxic tweets with supportive ones. From these elections we present three case studies highlighting the current limitations of, and future research and application opportunities for, using a natural language processing-based system to detect online toxicity, specifically with regards to contextually important microaggressions. We examine the rate of false negatives, where ParityBOT failed to pick up on insults directed at specific high profile women, which would be obvious to human users. We examine the unaddressed harms of microaggressions and the potential of yet unseen damage they cause for women in these communities, and for progress towards gender equality overall, in light of these technological blindspots. This work concludes with a discussion on the benefits of partnerships between nonprofit social groups and technology experts to develop responsible, socially impactful approaches to addressing online hate.                                                                                  Jacqueline Comer
