Result of /data/leuven/370/vsc37064/new_queries_named_graph_predicated_grouped/query_32.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
characteristicName                                                                featureCount
FCFP6_1024_103 data-type                                                                                  1083
FCFP6_1024_103 number of missing values                                                                                  1083
FCFP6_1024_104 data-type                                                                                  1083
FCFP6_1024_104 number of missing values                                                                                  1083
FCFP6_1024_105 data-type                                                                                  1083
FCFP6_1024_105 number of missing values                                                                                  1083
FCFP6_1024_106 data-type                                                                                  1083
FCFP6_1024_106 number of missing values                                                                                  1083
FCFP6_1024_107 data-type                                                                                  1083
FCFP6_1024_107 number of missing values                                                                                  1083
FCFP6_1024_108 data-type                                                                                  1083
FCFP6_1024_108 number of missing values                                                                                  1083
FCFP6_1024_10 data-type                                                                                  1083
FCFP6_1024_10 number of missing values                                                                                  1083
FCFP6_1024_109 data-type                                                                                  1083
FCFP6_1024_109 number of missing values                                                                                  1083
FCFP6_1024_110 data-type                                                                                  1083
FCFP6_1024_110 number of missing values                                                                                  1083
FCFP6_1024_111 data-type                                                                                  1083
FCFP6_1024_111 number of missing values                                                                                  1083
FCFP6_1024_113 data-type                                                                                  1083
FCFP6_1024_113 number of missing values                                                                                  1083
FCFP6_1024_114 data-type                                                                                  1083
FCFP6_1024_114 number of missing values                                                                                  1083
FCFP6_1024_115 data-type                                                                                  1083
FCFP6_1024_115 number of missing values                                                                                  1083
FCFP6_1024_116 data-type                                                                                  1083
FCFP6_1024_116 number of missing values                                                                                  1083
FCFP6_1024_118 data-type                                                                                  1083
FCFP6_1024_118 number of missing values                                                                                  1083
FCFP6_1024_11 data-type                                                                                  1083
FCFP6_1024_11 number of missing values                                                                                  1083
FCFP6_1024_119 data-type                                                                                  1083
FCFP6_1024_119 number of missing values                                                                                  1083
FCFP6_1024_120 data-type                                                                                  1083
FCFP6_1024_120 number of missing values                                                                                  1083
FCFP6_1024_121 data-type                                                                                  1083
FCFP6_1024_121 number of missing values                                                                                  1083
FCFP6_1024_122 data-type                                                                                  1083
FCFP6_1024_122 number of missing values                                                                                  1083
FCFP6_1024_123 data-type                                                                                  1083
FCFP6_1024_123 number of missing values                                                                                  1083
FCFP6_1024_124 data-type                                                                                  1083
FCFP6_1024_124 number of missing values                                                                                  1083
FCFP6_1024_125 data-type                                                                                  1083
FCFP6_1024_125 number of missing values                                                                                  1083
FCFP6_1024_126 data-type                                                                                  1083
FCFP6_1024_126 number of missing values                                                                                  1083
FCFP6_1024_127 data-type                                                                                  1083
FCFP6_1024_127 number of missing values                                                                                  1083
FCFP6_1024_128 data-type                                                                                  1083
FCFP6_1024_128 number of missing values                                                                                  1083
FCFP6_1024_12 data-type                                                                                  1083
FCFP6_1024_12 number of missing values                                                                                  1083
FCFP6_1024_129 data-type                                                                                  1083
FCFP6_1024_129 number of missing values                                                                                  1083
FCFP6_1024_130 data-type                                                                                  1083
FCFP6_1024_130 number of missing values                                                                                  1083
FCFP6_1024_131 data-type                                                                                  1083
FCFP6_1024_131 number of missing values                                                                                  1083
FCFP6_1024_132 data-type                                                                                  1083
FCFP6_1024_132 number of missing values                                                                                  1083
FCFP6_1024_133 data-type                                                                                  1083
FCFP6_1024_133 number of missing values                                                                                  1083
FCFP6_1024_134 data-type                                                                                  1083
FCFP6_1024_134 number of missing values                                                                                  1083
FCFP6_1024_135 data-type                                                                                  1083
FCFP6_1024_135 number of missing values                                                                                  1083
FCFP6_1024_136 data-type                                                                                  1083
FCFP6_1024_136 number of missing values                                                                                  1083
FCFP6_1024_137 data-type                                                                                  1083
FCFP6_1024_137 number of missing values                                                                                  1083
FCFP6_1024_138 data-type                                                                                  1083
FCFP6_1024_138 number of missing values                                                                                  1083
FCFP6_1024_13 data-type                                                                                  1083
FCFP6_1024_13 number of missing values                                                                                  1083
FCFP6_1024_139 data-type                                                                                  1083
FCFP6_1024_139 number of missing values                                                                                  1083
FCFP6_1024_140 data-type                                                                                  1083
FCFP6_1024_140 number of missing values                                                                                  1083
FCFP6_1024_141 data-type                                                                                  1083
FCFP6_1024_141 number of missing values                                                                                  1083
FCFP6_1024_142 data-type                                                                                  1083
FCFP6_1024_142 number of missing values                                                                                  1083
FCFP6_1024_143 data-type                                                                                  1083
FCFP6_1024_143 number of missing values                                                                                  1083
FCFP6_1024_144 data-type                                                                                  1083
FCFP6_1024_144 number of missing values                                                                                  1083
FCFP6_1024_145 data-type                                                                                  1083
FCFP6_1024_145 number of missing values                                                                                  1083
FCFP6_1024_146 data-type                                                                                  1083
FCFP6_1024_146 number of missing values                                                                                  1083
FCFP6_1024_147 data-type                                                                                  1083
FCFP6_1024_147 number of missing values                                                                                  1083
FCFP6_1024_148 data-type                                                                                  1083
FCFP6_1024_148 number of missing values                                                                                  1083
FCFP6_1024_14 data-type                                                                                  1083
FCFP6_1024_14 number of missing values                                                                                  1083
FCFP6_1024_149 data-type                                                                                  1083
FCFP6_1024_149 number of missing values                                                                                  1083
FCFP6_1024_150 data-type                                                                                  1083
FCFP6_1024_150 number of missing values                                                                                  1083
FCFP6_1024_151 data-type                                                                                  1083
FCFP6_1024_151 number of missing values                                                                                  1083
FCFP6_1024_152 data-type                                                                                  1083
FCFP6_1024_152 number of missing values                                                                                  1083
FCFP6_1024_153 data-type                                                                                  1083
FCFP6_1024_153 number of missing values                                                                                  1083
FCFP6_1024_154 data-type                                                                                  1083
FCFP6_1024_154 number of missing values                                                                                  1083
FCFP6_1024_155 data-type                                                                                  1083
FCFP6_1024_155 number of missing values                                                                                  1083
FCFP6_1024_156 data-type                                                                                  1083
FCFP6_1024_156 number of missing values                                                                                  1083
FCFP6_1024_157 data-type                                                                                  1083
FCFP6_1024_157 number of missing values                                                                                  1083
FCFP6_1024_158 data-type                                                                                  1083
FCFP6_1024_158 number of missing values                                                                                  1083
FCFP6_1024_15 data-type                                                                                  1083
FCFP6_1024_15 number of missing values                                                                                  1083
FCFP6_1024_159 data-type                                                                                  1083
FCFP6_1024_159 number of missing values                                                                                  1083
FCFP6_1024_161 data-type                                                                                  1083
FCFP6_1024_161 number of missing values                                                                                  1083
FCFP6_1024_162 data-type                                                                                  1083
FCFP6_1024_162 number of missing values                                                                                  1083
FCFP6_1024_163 data-type                                                                                  1083
FCFP6_1024_163 number of missing values                                                                                  1083
FCFP6_1024_164 data-type                                                                                  1083
FCFP6_1024_164 number of missing values                                                                                  1083
FCFP6_1024_165 data-type                                                                                  1083
FCFP6_1024_165 number of missing values                                                                                  1083
FCFP6_1024_166 data-type                                                                                  1083
FCFP6_1024_166 number of missing values                                                                                  1083
FCFP6_1024_167 data-type                                                                                  1083
FCFP6_1024_167 number of missing values                                                                                  1083
FCFP6_1024_168 data-type                                                                                  1083
FCFP6_1024_168 number of missing values                                                                                  1083
FCFP6_1024_16 data-type                                                                                  1083
FCFP6_1024_16 number of missing values                                                                                  1083
FCFP6_1024_169 data-type                                                                                  1083
FCFP6_1024_169 number of missing values                                                                                  1083
FCFP6_1024_170 data-type                                                                                  1083
FCFP6_1024_170 number of missing values                                                                                  1083
FCFP6_1024_171 data-type                                                                                  1083
FCFP6_1024_171 number of missing values                                                                                  1083
FCFP6_1024_172 data-type                                                                                  1083
FCFP6_1024_172 number of missing values                                                                                  1083
FCFP6_1024_173 data-type                                                                                  1083
FCFP6_1024_173 number of missing values                                                                                  1083
FCFP6_1024_174 data-type                                                                                  1083
FCFP6_1024_174 number of missing values                                                                                  1083
FCFP6_1024_175 data-type                                                                                  1083
FCFP6_1024_175 number of missing values                                                                                  1083
FCFP6_1024_177 data-type                                                                                  1083
FCFP6_1024_177 number of missing values                                                                                  1083
FCFP6_1024_178 data-type                                                                                  1083
FCFP6_1024_178 number of missing values                                                                                  1083
FCFP6_1024_17 data-type                                                                                  1083
FCFP6_1024_17 number of missing values                                                                                  1083
FCFP6_1024_179 data-type                                                                                  1083
FCFP6_1024_179 number of missing values                                                                                  1083
FCFP6_1024_180 data-type                                                                                  1083
FCFP6_1024_180 number of missing values                                                                                  1083
FCFP6_1024_181 data-type                                                                                  1083
FCFP6_1024_181 number of missing values                                                                                  1083
FCFP6_1024_182 data-type                                                                                  1083
FCFP6_1024_182 number of missing values                                                                                  1083
FCFP6_1024_183 data-type                                                                                  1083
FCFP6_1024_183 number of missing values                                                                                  1083
FCFP6_1024_184 data-type                                                                                  1083
FCFP6_1024_184 number of missing values                                                                                  1083
FCFP6_1024_185 data-type                                                                                  1083
FCFP6_1024_185 number of missing values                                                                                  1083
FCFP6_1024_186 data-type                                                                                  1083
FCFP6_1024_186 number of missing values                                                                                  1083
FCFP6_1024_188 data-type                                                                                  1083
FCFP6_1024_188 number of missing values                                                                                  1083
FCFP6_1024_18 data-type                                                                                  1083
FCFP6_1024_18 number of missing values                                                                                  1083
FCFP6_1024_189 data-type                                                                                  1083
FCFP6_1024_189 number of missing values                                                                                  1083
FCFP6_1024_190 data-type                                                                                  1083
FCFP6_1024_190 number of missing values                                                                                  1083
FCFP6_1024_191 data-type                                                                                  1083
FCFP6_1024_191 number of missing values                                                                                  1083
FCFP6_1024_192 data-type                                                                                  1083
FCFP6_1024_192 number of missing values                                                                                  1083
FCFP6_1024_193 data-type                                                                                  1083
FCFP6_1024_193 number of missing values                                                                                  1083
FCFP6_1024_194 data-type                                                                                  1083
FCFP6_1024_194 number of missing values                                                                                  1083
FCFP6_1024_195 data-type                                                                                  1083
FCFP6_1024_195 number of missing values                                                                                  1083
FCFP6_1024_196 data-type                                                                                  1083
FCFP6_1024_196 number of missing values                                                                                  1083
FCFP6_1024_197 data-type                                                                                  1083
FCFP6_1024_197 number of missing values                                                                                  1083
FCFP6_1024_198 data-type                                                                                  1083
FCFP6_1024_198 number of missing values                                                                                  1083
FCFP6_1024_19 data-type                                                                                  1083
FCFP6_1024_19 number of missing values                                                                                  1083
FCFP6_1024_199 data-type                                                                                  1083
FCFP6_1024_199 number of missing values                                                                                  1083
FCFP6_1024_200 data-type                                                                                  1083
FCFP6_1024_200 number of missing values                                                                                  1083
FCFP6_1024_201 data-type                                                                                  1083
FCFP6_1024_201 number of missing values                                                                                  1083
FCFP6_1024_202 data-type                                                                                  1083
FCFP6_1024_202 number of missing values                                                                                  1083
FCFP6_1024_203 data-type                                                                                  1083
FCFP6_1024_203 number of missing values                                                                                  1083
FCFP6_1024_204 data-type                                                                                  1083
FCFP6_1024_204 number of missing values                                                                                  1083
FCFP6_1024_205 data-type                                                                                  1083
FCFP6_1024_205 number of missing values                                                                                  1083
FCFP6_1024_206 data-type                                                                                  1083
FCFP6_1024_206 number of missing values                                                                                  1083
FCFP6_1024_207 data-type                                                                                  1083
FCFP6_1024_207 number of missing values                                                                                  1083
FCFP6_1024_208 data-type                                                                                  1083
FCFP6_1024_208 number of missing values                                                                                  1083
FCFP6_1024_209 data-type                                                                                  1083
FCFP6_1024_209 number of missing values                                                                                  1083
FCFP6_1024_210 data-type                                                                                  1083
FCFP6_1024_210 number of missing values                                                                                  1083
FCFP6_1024_211 data-type                                                                                  1083
FCFP6_1024_211 number of missing values                                                                                  1083
FCFP6_1024_212 data-type                                                                                  1083
FCFP6_1024_212 number of missing values                                                                                  1083
FCFP6_1024_213 data-type                                                                                  1083
FCFP6_1024_213 number of missing values                                                                                  1083
FCFP6_1024_214 data-type                                                                                  1083
FCFP6_1024_214 number of missing values                                                                                  1083
FCFP6_1024_215 data-type                                                                                  1083
FCFP6_1024_215 number of missing values                                                                                  1083
FCFP6_1024_216 data-type                                                                                  1083
FCFP6_1024_216 number of missing values                                                                                  1083
FCFP6_1024_217 data-type                                                                                  1083
FCFP6_1024_217 number of missing values                                                                                  1083
FCFP6_1024_21 data-type                                                                                  1083
FCFP6_1024_21 number of missing values                                                                                  1083
FCFP6_1024_219 data-type                                                                                  1083
FCFP6_1024_219 number of missing values                                                                                  1083
FCFP6_1024_220 data-type                                                                                  1083
FCFP6_1024_220 number of missing values                                                                                  1083
FCFP6_1024_221 data-type                                                                                  1083
FCFP6_1024_221 number of missing values                                                                                  1083
FCFP6_1024_222 data-type                                                                                  1083
FCFP6_1024_222 number of missing values                                                                                  1083
FCFP6_1024_223 data-type                                                                                  1083
FCFP6_1024_223 number of missing values                                                                                  1083
FCFP6_1024_224 data-type                                                                                  1083
FCFP6_1024_224 number of missing values                                                                                  1083
FCFP6_1024_225 data-type                                                                                  1083
FCFP6_1024_225 number of missing values                                                                                  1083
FCFP6_1024_226 data-type                                                                                  1083
FCFP6_1024_226 number of missing values                                                                                  1083
FCFP6_1024_227 data-type                                                                                  1083
FCFP6_1024_227 number of missing values                                                                                  1083
FCFP6_1024_228 data-type                                                                                  1083
FCFP6_1024_228 number of missing values                                                                                  1083
FCFP6_1024_22 data-type                                                                                  1083
FCFP6_1024_22 number of missing values                                                                                  1083
FCFP6_1024_229 data-type                                                                                  1083
FCFP6_1024_229 number of missing values                                                                                  1083
FCFP6_1024_230 data-type                                                                                  1083
FCFP6_1024_230 number of missing values                                                                                  1083
FCFP6_1024_231 data-type                                                                                  1083
FCFP6_1024_231 number of missing values                                                                                  1083
FCFP6_1024_232 data-type                                                                                  1083
FCFP6_1024_232 number of missing values                                                                                  1083
FCFP6_1024_233 data-type                                                                                  1083
FCFP6_1024_233 number of missing values                                                                                  1083
FCFP6_1024_234 data-type                                                                                  1083
FCFP6_1024_234 number of missing values                                                                                  1083
FCFP6_1024_235 data-type                                                                                  1083
FCFP6_1024_235 number of missing values                                                                                  1083
FCFP6_1024_237 data-type                                                                                  1083
FCFP6_1024_237 number of missing values                                                                                  1083
FCFP6_1024_238 data-type                                                                                  1083
FCFP6_1024_238 number of missing values                                                                                  1083
FCFP6_1024_239 data-type                                                                                  1083
FCFP6_1024_239 number of missing values                                                                                  1083
FCFP6_1024_240 data-type                                                                                  1083
FCFP6_1024_240 number of missing values                                                                                  1083
FCFP6_1024_241 data-type                                                                                  1083
FCFP6_1024_241 number of missing values                                                                                  1083
FCFP6_1024_242 data-type                                                                                  1083
FCFP6_1024_242 number of missing values                                                                                  1083
FCFP6_1024_243 data-type                                                                                  1083
FCFP6_1024_243 number of missing values                                                                                  1083
FCFP6_1024_244 data-type                                                                                  1083
FCFP6_1024_244 number of missing values                                                                                  1083
FCFP6_1024_245 data-type                                                                                  1083
FCFP6_1024_245 number of missing values                                                                                  1083
FCFP6_1024_246 data-type                                                                                  1083
FCFP6_1024_246 number of missing values                                                                                  1083
FCFP6_1024_247 data-type                                                                                  1083
FCFP6_1024_247 number of missing values                                                                                  1083
FCFP6_1024_248 data-type                                                                                  1083
FCFP6_1024_248 number of missing values                                                                                  1083
FCFP6_1024_24 data-type                                                                                  1083
FCFP6_1024_24 number of missing values                                                                                  1083
FCFP6_1024_249 data-type                                                                                  1083
FCFP6_1024_249 number of missing values                                                                                  1083
FCFP6_1024_250 data-type                                                                                  1083
FCFP6_1024_250 number of missing values                                                                                  1083
FCFP6_1024_251 data-type                                                                                  1083
FCFP6_1024_251 number of missing values                                                                                  1083
FCFP6_1024_252 data-type                                                                                  1083
FCFP6_1024_252 number of missing values                                                                                  1083
FCFP6_1024_253 data-type                                                                                  1083
FCFP6_1024_253 number of missing values                                                                                  1083
FCFP6_1024_254 data-type                                                                                  1083
FCFP6_1024_254 number of missing values                                                                                  1083
FCFP6_1024_255 data-type                                                                                  1083
FCFP6_1024_255 number of missing values                                                                                  1083
FCFP6_1024_257 data-type                                                                                  1083
FCFP6_1024_257 number of missing values                                                                                  1083
FCFP6_1024_258 data-type                                                                                  1083
FCFP6_1024_258 number of missing values                                                                                  1083
FCFP6_1024_25 data-type                                                                                  1083
FCFP6_1024_25 number of missing values                                                                                  1083
FCFP6_1024_259 data-type                                                                                  1083
FCFP6_1024_259 number of missing values                                                                                  1083
FCFP6_1024_260 data-type                                                                                  1083
FCFP6_1024_260 number of missing values                                                                                  1083
FCFP6_1024_261 data-type                                                                                  1083
FCFP6_1024_261 number of missing values                                                                                  1083
FCFP6_1024_262 data-type                                                                                  1083
FCFP6_1024_262 number of missing values                                                                                  1083
FCFP6_1024_263 data-type                                                                                  1083
FCFP6_1024_263 number of missing values                                                                                  1083
FCFP6_1024_264 data-type                                                                                  1083
FCFP6_1024_264 number of missing values                                                                                  1083
FCFP6_1024_265 data-type                                                                                  1083
FCFP6_1024_265 number of missing values                                                                                  1083
FCFP6_1024_266 data-type                                                                                  1083
FCFP6_1024_266 number of missing values                                                                                  1083
FCFP6_1024_267 data-type                                                                                  1083
FCFP6_1024_267 number of missing values                                                                                  1083
FCFP6_1024_268 data-type                                                                                  1083
FCFP6_1024_268 number of missing values                                                                                  1083
FCFP6_1024_26 data-type                                                                                  1083
FCFP6_1024_26 number of missing values                                                                                  1083
FCFP6_1024_269 data-type                                                                                  1083
FCFP6_1024_269 number of missing values                                                                                  1083
FCFP6_1024_270 data-type                                                                                  1083
FCFP6_1024_270 number of missing values                                                                                  1083
FCFP6_1024_271 data-type                                                                                  1083
FCFP6_1024_271 number of missing values                                                                                  1083
FCFP6_1024_272 data-type                                                                                  1083
FCFP6_1024_272 number of missing values                                                                                  1083
FCFP6_1024_273 data-type                                                                                  1083
FCFP6_1024_273 number of missing values                                                                                  1083
FCFP6_1024_274 data-type                                                                                  1083
FCFP6_1024_274 number of missing values                                                                                  1083
FCFP6_1024_275 data-type                                                                                  1083
FCFP6_1024_275 number of missing values                                                                                  1083
FCFP6_1024_276 data-type                                                                                  1083
FCFP6_1024_276 number of missing values                                                                                  1083
FCFP6_1024_277 data-type                                                                                  1083
FCFP6_1024_277 number of missing values                                                                                  1083
FCFP6_1024_278 data-type                                                                                  1083
FCFP6_1024_278 number of missing values                                                                                  1083
FCFP6_1024_27 data-type                                                                                  1083
FCFP6_1024_27 number of missing values                                                                                  1083
FCFP6_1024_279 data-type                                                                                  1083
FCFP6_1024_279 number of missing values                                                                                  1083
FCFP6_1024_280 data-type                                                                                  1083
FCFP6_1024_280 number of missing values                                                                                  1083
FCFP6_1024_281 data-type                                                                                  1083
FCFP6_1024_281 number of missing values                                                                                  1083
FCFP6_1024_282 data-type                                                                                  1083
FCFP6_1024_282 number of missing values                                                                                  1083
FCFP6_1024_283 data-type                                                                                  1083
FCFP6_1024_283 number of missing values                                                                                  1083
FCFP6_1024_284 data-type                                                                                  1083
FCFP6_1024_284 number of missing values                                                                                  1083
FCFP6_1024_285 data-type                                                                                  1083
FCFP6_1024_285 number of missing values                                                                                  1083
FCFP6_1024_286 data-type                                                                                  1083
FCFP6_1024_286 number of missing values                                                                                  1083
FCFP6_1024_287 data-type                                                                                  1083
FCFP6_1024_287 number of missing values                                                                                  1083
FCFP6_1024_288 data-type                                                                                  1083
FCFP6_1024_288 number of missing values                                                                                  1083
FCFP6_1024_28 data-type                                                                                  1083
FCFP6_1024_28 number of missing values                                                                                  1083
FCFP6_1024_289 data-type                                                                                  1083
FCFP6_1024_289 number of missing values                                                                                  1083
FCFP6_1024_290 data-type                                                                                  1083
FCFP6_1024_290 number of missing values                                                                                  1083
FCFP6_1024_291 data-type                                                                                  1083
FCFP6_1024_291 number of missing values                                                                                  1083
FCFP6_1024_292 data-type                                                                                  1083
FCFP6_1024_292 number of missing values                                                                                  1083
FCFP6_1024_293 data-type                                                                                  1083
FCFP6_1024_293 number of missing values                                                                                  1083
FCFP6_1024_294 data-type                                                                                  1083
FCFP6_1024_294 number of missing values                                                                                  1083
FCFP6_1024_295 data-type                                                                                  1083
FCFP6_1024_295 number of missing values                                                                                  1083
FCFP6_1024_296 data-type                                                                                  1083
FCFP6_1024_296 number of missing values                                                                                  1083
FCFP6_1024_297 data-type                                                                                  1083
FCFP6_1024_297 number of missing values                                                                                  1083
FCFP6_1024_298 data-type                                                                                  1083
FCFP6_1024_298 number of missing values                                                                                  1083
FCFP6_1024_2 data-type                                                                                  1083
FCFP6_1024_2 number of missing values                                                                                  1083
FCFP6_1024_29 data-type                                                                                  1083
FCFP6_1024_29 number of missing values                                                                                  1083
FCFP6_1024_299 data-type                                                                                  1083
FCFP6_1024_299 number of missing values                                                                                  1083
FCFP6_1024_300 data-type                                                                                  1083
FCFP6_1024_300 number of missing values                                                                                  1083
FCFP6_1024_302 data-type                                                                                  1083
FCFP6_1024_302 number of missing values                                                                                  1083
FCFP6_1024_303 data-type                                                                                  1083
FCFP6_1024_303 number of missing values                                                                                  1083
FCFP6_1024_304 data-type                                                                                  1083
FCFP6_1024_304 number of missing values                                                                                  1083
FCFP6_1024_305 data-type                                                                                  1083
FCFP6_1024_305 number of missing values                                                                                  1083
FCFP6_1024_306 data-type                                                                                  1083
FCFP6_1024_306 number of missing values                                                                                  1083
FCFP6_1024_307 data-type                                                                                  1083
FCFP6_1024_307 number of missing values                                                                                  1083
FCFP6_1024_308 data-type                                                                                  1083
FCFP6_1024_308 number of missing values                                                                                  1083
FCFP6_1024_30 data-type                                                                                  1083
FCFP6_1024_30 number of missing values                                                                                  1083
FCFP6_1024_309 data-type                                                                                  1083
FCFP6_1024_309 number of missing values                                                                                  1083
FCFP6_1024_310 data-type                                                                                  1083
FCFP6_1024_310 number of missing values                                                                                  1083
FCFP6_1024_311 data-type                                                                                  1083
FCFP6_1024_311 number of missing values                                                                                  1083
FCFP6_1024_312 data-type                                                                                  1083
FCFP6_1024_312 number of missing values                                                                                  1083
FCFP6_1024_313 data-type                                                                                  1083
FCFP6_1024_313 number of missing values                                                                                  1083
FCFP6_1024_314 data-type                                                                                  1083
FCFP6_1024_314 number of missing values                                                                                  1083
FCFP6_1024_315 data-type                                                                                  1083
FCFP6_1024_315 number of missing values                                                                                  1083
FCFP6_1024_316 data-type                                                                                  1083
FCFP6_1024_316 number of missing values                                                                                  1083
FCFP6_1024_317 data-type                                                                                  1083
FCFP6_1024_317 number of missing values                                                                                  1083
FCFP6_1024_318 data-type                                                                                  1083
FCFP6_1024_318 number of missing values                                                                                  1083
FCFP6_1024_31 data-type                                                                                  1083
FCFP6_1024_31 number of missing values                                                                                  1083
FCFP6_1024_319 data-type                                                                                  1083
FCFP6_1024_319 number of missing values                                                                                  1083
FCFP6_1024_320 data-type                                                                                  1083
FCFP6_1024_320 number of missing values                                                                                  1083
FCFP6_1024_321 data-type                                                                                  1083
FCFP6_1024_321 number of missing values                                                                                  1083
FCFP6_1024_322 data-type                                                                                  1083
FCFP6_1024_322 number of missing values                                                                                  1083
FCFP6_1024_324 data-type                                                                                  1083
FCFP6_1024_324 number of missing values                                                                                  1083
FCFP6_1024_325 data-type                                                                                  1083
FCFP6_1024_325 number of missing values                                                                                  1083
FCFP6_1024_326 data-type                                                                                  1083
FCFP6_1024_326 number of missing values                                                                                  1083
FCFP6_1024_327 data-type                                                                                  1083
FCFP6_1024_327 number of missing values                                                                                  1083
FCFP6_1024_328 data-type                                                                                  1083
FCFP6_1024_328 number of missing values                                                                                  1083
FCFP6_1024_32 data-type                                                                                  1083
FCFP6_1024_32 number of missing values                                                                                  1083
FCFP6_1024_329 data-type                                                                                  1083
FCFP6_1024_329 number of missing values                                                                                  1083
FCFP6_1024_330 data-type                                                                                  1083
FCFP6_1024_330 number of missing values                                                                                  1083
FCFP6_1024_331 data-type                                                                                  1083
FCFP6_1024_331 number of missing values                                                                                  1083
FCFP6_1024_332 data-type                                                                                  1083
FCFP6_1024_332 number of missing values                                                                                  1083
FCFP6_1024_333 data-type                                                                                  1083
FCFP6_1024_333 number of missing values                                                                                  1083
FCFP6_1024_334 data-type                                                                                  1083
FCFP6_1024_334 number of missing values                                                                                  1083
FCFP6_1024_335 data-type                                                                                  1083
FCFP6_1024_335 number of missing values                                                                                  1083
FCFP6_1024_336 data-type                                                                                  1083
FCFP6_1024_336 number of missing values                                                                                  1083
FCFP6_1024_337 data-type                                                                                  1083
FCFP6_1024_337 number of missing values                                                                                  1083
FCFP6_1024_338 data-type                                                                                  1083
FCFP6_1024_338 number of missing values                                                                                  1083
FCFP6_1024_33 data-type                                                                                  1083
FCFP6_1024_33 number of missing values                                                                                  1083
FCFP6_1024_339 data-type                                                                                  1083
FCFP6_1024_339 number of missing values                                                                                  1083
FCFP6_1024_340 data-type                                                                                  1083
FCFP6_1024_340 number of missing values                                                                                  1083
FCFP6_1024_341 data-type                                                                                  1083
FCFP6_1024_341 number of missing values                                                                                  1083
FCFP6_1024_342 data-type                                                                                  1083
